dataset,split,comparison_role,method,baseline,metric,direction,baseline_value,method_value,delta,favorable,protocol_note
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Dice,up,0.897112,0.9028583903,0.0057463903,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,IoU,up,0.819215,0.8263687488,0.0071537488,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Boundary IoU,up,0.239893,0.2452454478,0.0053524478,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Boundary F1,up,0.379017,0.3867457633,0.0077287633,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Surface Dice 2px,up,0.654511,0.6684083882,0.0138973882,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Surface Dice 5px,up,0.896460,0.9133118653,0.0168518653,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,HD95 px,down,54.3414,14.0084409464,-40.3329590536,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,ASSD px,down,14.1738,4.0475264594,-10.1262735406,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Gap-region FP,down,0.205547,0.1817369076,-0.0238100924,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Merge rate,down,0.572917,0.500000,-0.072917,true,R201 single-seed development
TSRS_RSNA-Epiphysis,original-val (96),best established,R317 seam prior/loss,mature nnU-Net,Component-count MAE,down,5.670000,1.8541666667,-3.8158333333,true,R201 single-seed development
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overall DSC,up,0.9793616844,0.9798843313,0.0005226469,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overall IoU,up,0.9600028731,0.9610004119,0.0009975388,true,two corrections selected on validation; no test tuning
