dataset,split,comparison_role,method,baseline,metric,direction,baseline_value,method_value,delta,favorable,protocol_note
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Dice,up,0.897112,0.9028583903,0.0057463903,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,IoU,up,0.819215,0.8263687488,0.0071537488,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Boundary IoU,up,0.239893,0.2452454478,0.0053524478,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Boundary F1,up,0.379017,0.3867457633,0.0077287633,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Surface Dice 2px,up,0.654511,0.6684083882,0.0138973882,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Surface Dice 5px,up,0.896460,0.9133118653,0.0168518653,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,HD95 px,down,54.3414,14.0084409464,-40.3329590536,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,ASSD px,down,14.1738,4.0475264594,-10.1262735406,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Gap-region FP,down,0.205547,0.1817369076,-0.0238100924,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Merge rate,down,0.572917,0.500000,-0.072917,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
TSRS_RSNA-Epiphysis,original-val (96),historical unmatched comparator,R317 seam prior/loss,mature nnU-Net,Component-count MAE,down,5.670000,1.8541666667,-3.8158333333,,DO NOT USE as matched native gain; historical baseline inference path differs; see R350 matched native recheck
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overall DSC,up,0.9793616844,0.9798843313,0.0005226469,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overall IoU,up,0.9600028731,0.9610004119,0.0009975388,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overall NSD 2px,up,0.8884336301,0.8946037695,0.0061701394,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overall MSD px,down,1.3075739661,1.1300056497,-0.1775683163,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overlap DSC,up,0.8706365066,0.8745310886,0.0038945820,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overlap IoU,up,0.7721340271,0.7782227500,0.0060887228,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overlap NSD 2px,up,0.7803556385,0.7897042996,0.0093486611,true,two corrections selected on validation; no test tuning
RAM-W600,locked test (124),best established,R332 iterative overlap prior,R325 native nnU-Net,Overlap MSD px,down,1.9099035840,1.8049068314,-0.1049967526,true,two corrections selected on validation; no test tuning
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Overall DSC,up,0.979388727876,0.979409321784,2.05939074678e-05,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Overall IoU,up,0.960100006027,0.96013608611,3.60800829381e-05,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Overlap DSC,up,0.877005342293,0.877764717434,0.00075937514099,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Overlap IoU,up,0.782391425208,0.783591186377,0.00119976116894,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Overlap NSD 2px,up,0.787648847765,0.788474025791,0.000825178025301,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Overlap MSD px,down,1.8189993199,1.80896066256,-0.0100386573365,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Pair DSC,up,0.83557642664,0.836959201382,0.00138277474254,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Pair IoU,up,0.743370646851,0.744836832787,0.00146618593566,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Pair NSD 2px,up,0.787524646637,0.789107392781,0.00158274614398,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Pair MSD px,down,1.66313624337,1.65435788556,-0.00877835781067,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,latest loss,R350 unified interaction PCGrad,R332 two-step anchor,Seam FP,down,0.0109710046896,0.0101082318617,-0.000862772827901,,epoch 29 exact; LEGACY model-dependent ROI; not fixed-region causal improvement; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Overall DSC,up,0.978857744427,0.979409321784,0.00055157735708,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Overall IoU,up,0.959100518307,0.96013608611,0.00103556780311,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Overlap DSC,up,0.873730919631,0.877764717434,0.00403379780289,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Overlap IoU,up,0.777344548508,0.783591186377,0.00624663786925,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Overlap NSD 2px,up,0.780397702304,0.788474025791,0.00807632348646,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Overlap MSD px,down,1.94637797038,1.80896066256,-0.137417307824,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Pair DSC,up,0.833630153466,0.836959201382,0.00332904791619,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Pair IoU,up,0.738824653515,0.744836832787,0.00601217927241,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Pair NSD 2px,up,0.78283414464,0.789107392781,0.00627324814185,true,epoch 29 exact from remote result.json; test locked
RAM-W600,validation,full-chain comparison,R350 unified interaction PCGrad,R325 native nnU-Net,Pair MSD px,down,1.74242189359,1.65435788556,-0.0880640080375,true,epoch 29 exact from remote result.json; test locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Dice,up,0.9036632775,0.9036457376,-0.0000175398,false,exact R350 inference and R201 path; clean-test-v2 locked
