rank,image,dice,precision,recall,boundary_iou,component_delta,error_in_disagreement_share,disagreement_pixel_oracle_dice,primary_tag,auto_tags,human_tag,human_notes,suggested_action,panel
1,4818.png,0.8530497195827158,0.8412907663208574,0.8651420488034893,0.19361994295975493,-1,0.3703776942851493,0.909684007488512,candidate_shared_failure,candidate_shared_failure,,,visual/label review or collect matching hard train examples; do not use candidate readout alone,panels/01_4818_audit.jpg
2,12936.png,0.8592208449279028,0.8770819883795997,0.8420726416263791,0.30808685245341083,-1,0.6931716082659479,0.9580028285064256,candidate_fixable,candidate_fixable,,,candidate-guided training only if matching train/val examples can be curated,panels/02_12936_audit.jpg
3,3665.png,0.8759767187173145,0.8407501889644747,0.914284246487375,0.19757470186252177,-8,0.5452921916856831,0.9433463131219482,under_separated_bridge,under_separated_bridge,,,inspect bridge/low-contrast pattern; consider hard-case data curation before new model,panels/03_3665_audit.jpg
4,9194.png,0.8778888098258206,0.915650209745079,0.8431186118374139,0.2764052583862194,-3,0.5046871041297187,0.9411197783332831,underreach_high_precision,underreach_high_precision,,,inspect label extent; consider boundary/recall protocol review,panels/04_9194_audit.jpg
5,2136.png,0.8797212625168355,0.8809335327058961,0.8785123242010467,0.2351130081869708,-1,0.47322297955209347,0.9369298475707499,mixed_boundary_bridge,mixed_boundary_bridge,,,manual review before experiment,panels/05_2136_audit.jpg
6,8435.png,0.8848507602778299,0.93650162918223,0.838599487617421,0.30505972352704336,0,0.6987283990870558,0.967098703888335,underreach_high_precision,underreach_high_precision;candidate_fixable,,,candidate-guided training only if matching train/val examples can be curated,panels/06_8435_audit.jpg
7,7484.png,0.8865558688232675,0.8955928646379853,0.8776994270603791,0.28598031391327483,-2,0.5765206017004578,0.952790638328898,candidate_fixable,candidate_fixable,,,candidate-guided training only if matching train/val examples can be curated,panels/07_7484_audit.jpg
8,1897.png,0.8897094485472428,0.8717683658721799,0.9084045067718995,0.10043528186503592,-1,0.3608894732069997,0.9302354353016863,severe_boundary_shift,severe_boundary_shift;candidate_shared_failure,,,visual/label review or collect matching hard train examples; do not use candidate readout alone,panels/08_1897_audit.jpg
9,2050.png,0.890068981601916,0.8208199596307204,0.972079079883222,0.17433593083442353,-5,0.3246838025295798,0.9246595295317166,under_separated_bridge,under_separated_bridge;overmask_low_precision;candidate_shared_failure,,,visual/label review or collect matching hard train examples; do not use candidate readout alone,panels/09_2050_audit.jpg
10,2075.png,0.8923308096861816,0.829899308417243,0.9649195900341638,0.1713984663115378,-7,0.3079262837716944,0.9250779630813334,under_separated_bridge,under_separated_bridge;overmask_low_precision;candidate_shared_failure,,,visual/label review or collect matching hard train examples; do not use candidate readout alone,panels/10_2075_audit.jpg
