rank,split,image,hardcase_similarity_score,nearest_prototype,nearest_prototype_count,component_count,fg_frac,nearest_bbox_gap,nearest_center_gap,fg_bg_contrast,image_std,roi_std,top_contributors,panel
1,train,2103.png,0.321976,candidate_shared_failure,6,22,0.035041,0.000000,0.031629,0.044541,0.044450,0.044116,aspect_median;layout_width;layout_cy_median;compactness_median,panels/01_train_2103_candidate.jpg
2,train,3796.png,0.357759,under_separated_bridge,6,26,0.043856,0.000000,0.028951,0.050345,0.054292,0.035226,component_count;component_area_min;compactness_median;layout_cy_median,panels/02_train_3796_candidate.jpg
3,train,2904.png,0.374908,under_separated_bridge,6,25,0.038093,0.000000,0.031616,0.048967,0.046280,0.054861,nearest_center_gap;compactness_median;thin_component_frac;component_area_iqr,panels/03_train_2904_candidate.jpg
4,train,2516.png,0.379698,under_separated_bridge,6,23,0.037420,0.000000,0.027044,0.047734,0.050827,0.032427,aspect_median;layout_width;component_area_max;compactness_median,panels/04_train_2516_candidate.jpg
5,train,2393.png,0.397956,under_separated_bridge,6,24,0.041316,0.000000,0.030368,0.054682,0.051975,0.051008,compactness_median;component_area_iqr;layout_width;component_area_max,panels/05_train_2393_candidate.jpg
6,train,1387.png,0.400525,severe_boundary_shift,6,23,0.048571,0.000000,0.028586,0.226617,0.140109,0.134347,image_mean;bg_mean;layout_cy_median;component_count,panels/06_train_1387_candidate.jpg
7,val,13454.png,0.412624,underreach_high_precision,4,25,0.021676,0.000000,0.036241,0.306186,0.203648,0.185682,layout_width;compactness_median;thin_component_frac;fg_mean,panels/07_val_13454_candidate.jpg
8,train,15440.png,0.413200,underreach_high_precision,4,25,0.020006,0.000000,0.031128,0.255318,0.161655,0.148707,nearest_center_gap;compactness_median;image_mean;bg_mean,panels/08_train_15440_candidate.jpg
9,val,2024.png,0.421656,under_separated_bridge,6,26,0.033758,0.000000,0.029610,0.036481,0.067424,0.024959,component_count;compactness_median;thin_component_frac;layout_width,panels/09_val_2024_candidate.jpg
10,train,2108.png,0.430956,overmask_low_precision,7,21,0.036926,0.000000,0.030974,0.047195,0.052384,0.028072,component_count;aspect_median;nearest_center_gap;thin_component_frac,panels/10_train_2108_candidate.jpg
11,train,14302.png,0.432135,mixed_boundary_bridge,2,27,0.026058,0.000000,0.037832,0.211809,0.124043,0.117785,nearest_center_gap;layout_height;layout_cy_span;layout_cy_median,panels/11_train_14302_candidate.jpg
12,train,14050.png,0.440845,underreach_high_precision,4,24,0.018978,0.000000,0.034849,0.266122,0.179491,0.153778,layout_width;nearest_center_gap;component_area_min;aspect_median,panels/12_train_14050_candidate.jpg
13,train,3906.png,0.441718,under_separated_bridge,6,26,0.036551,0.000000,0.027042,0.041940,0.043569,0.038844,layout_width;component_count;compactness_median;layout_cy_median,panels/13_train_3906_candidate.jpg
14,train,15362.png,0.446901,underreach_high_precision,4,26,0.023520,0.000000,0.031371,0.303046,0.173513,0.159567,nearest_center_gap;layout_width;bg_mean;component_area_iqr,panels/14_train_15362_candidate.jpg
15,train,4878.png,0.447940,underreach_high_precision,4,26,0.022846,0.000000,0.033758,0.227817,0.233191,0.149278,perimeter_area_median;layout_cy_median;nearest_center_gap;image_std,panels/15_train_4878_candidate.jpg
16,train,15003.png,0.450207,underreach_high_precision,4,26,0.020909,0.000000,0.036571,0.331060,0.211537,0.195664,fg_mean;component_area_min;image_mean;thin_component_frac,panels/16_train_15003_candidate.jpg
17,train,2163.png,0.459619,candidate_shared_failure,6,23,0.041085,0.000000,0.029718,0.041288,0.049370,0.030955,aspect_median;layout_width;component_area_cv;compactness_median,panels/17_train_2163_candidate.jpg
18,train,8717.png,0.459944,underreach_high_precision,4,24,0.024237,0.000000,0.035883,0.275451,0.178920,0.160149,compactness_median;component_area_cv;layout_cy_median;layout_width,panels/18_train_8717_candidate.jpg
19,train,2976.png,0.466114,under_separated_bridge,6,23,0.045256,0.000000,0.025498,0.050133,0.053603,0.031280,nearest_center_gap;compactness_median;component_area_iqr;perimeter_area_median,panels/19_train_2976_candidate.jpg
20,train,15380.png,0.467414,underreach_high_precision,4,24,0.017033,0.000000,0.040214,0.293971,0.185724,0.180684,layout_width;component_area_min;layout_height;layout_cy_span,panels/20_train_15380_candidate.jpg
21,train,4140.png,0.474268,under_separated_bridge,6,23,0.040437,0.000000,0.027405,0.044712,0.040318,0.028064,compactness_median;aspect_median;layout_cy_median;thin_component_frac,panels/21_train_4140_candidate.jpg
22,train,3181.png,0.474904,candidate_shared_failure,6,20,0.043596,0.000000,0.029901,0.045755,0.057864,0.043508,thin_component_frac;component_count;layout_cy_median;component_area_cv,panels/22_train_3181_candidate.jpg
23,train,4181.png,0.475694,all_hard,24,23,0.029970,0.000000,0.032508,0.078106,0.085581,0.041915,thin_component_frac;fg_mean;fg_bg_contrast;layout_cy_median,panels/23_train_4181_candidate.jpg
24,train,2123.png,0.477968,candidate_shared_failure,6,21,0.044143,0.000000,0.029541,0.046181,0.051092,0.028268,compactness_median;component_area_max;component_area_cv;thin_component_frac,panels/24_train_2123_candidate.jpg
25,train,15317.png,0.478073,underreach_high_precision,4,26,0.022515,0.000000,0.029531,0.308045,0.184318,0.170092,nearest_center_gap;thin_component_frac;layout_cy_median;component_area_cv,panels/25_train_15317_candidate.jpg
26,train,5117.png,0.486132,candidate_fixable,7,22,0.016588,0.000000,0.031941,0.251324,0.172300,0.156752,thin_component_frac;layout_cy_median;perimeter_area_median;nearest_center_gap,panels/26_train_5117_candidate.jpg
27,train,2741.png,0.488222,under_separated_bridge,6,26,0.042902,0.000000,0.031999,0.045507,0.055379,0.026379,nearest_center_gap;compactness_median;component_count;component_area_median,panels/27_train_2741_candidate.jpg
