split,image,reason,nearest_prototype,hardcase_similarity_score,component_count,fg_frac,nearest_center_gap,fg_bg_contrast,panel
train,3796.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.357759,26,0.043856,0.028951,0.050345,panels/02_train_3796_candidate.jpg
train,2904.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.374908,25,0.038093,0.031616,0.048967,panels/03_train_2904_candidate.jpg
train,2516.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.379698,23,0.037420,0.027044,0.047734,panels/04_train_2516_candidate.jpg
train,2393.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.397956,24,0.041316,0.030368,0.054682,panels/05_train_2393_candidate.jpg
train,3906.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.441718,26,0.036551,0.027042,0.041940,panels/13_train_3906_candidate.jpg
train,2976.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.466114,23,0.045256,0.025498,0.050133,panels/19_train_2976_candidate.jpg
train,4140.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.474268,23,0.040437,0.027405,0.044712,panels/21_train_4140_candidate.jpg
train,2741.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.488222,26,0.042902,0.031999,0.045507,panels/27_train_2741_candidate.jpg
train,2509.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.494256,26,0.038395,0.031300,0.047103,panels/29_train_2509_candidate.jpg
train,2906.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.517795,26,0.030218,0.027344,0.045218,panels/40_train_2906_candidate.jpg
train,3053.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.519992,26,0.033324,0.027064,0.046099,panels/42_train_3053_candidate.jpg
train,3003.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.521554,22,0.031397,0.028492,0.047215,panels/44_train_3003_candidate.jpg
train,3547.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.533799,25,0.030897,0.026992,0.092127,panels/51_train_3547_candidate.jpg
train,3495.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.548861,26,0.036231,0.028260,0.082063,panels/63_train_3495_candidate.jpg
train,3521.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.564398,26,0.035914,0.025428,0.037649,panels/74_train_3521_candidate.jpg
train,3942.png,r124_hardcase_similarity_train_candidate,under_separated_bridge,0.568955,24,0.036125,0.022576,0.088246,panels/77_train_3942_candidate.jpg
train,15440.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.413200,25,0.020006,0.031128,0.255318,panels/08_train_15440_candidate.jpg
train,14050.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.440845,24,0.018978,0.034849,0.266122,panels/12_train_14050_candidate.jpg
train,15362.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.446901,26,0.023520,0.031371,0.303046,panels/14_train_15362_candidate.jpg
train,4878.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.447940,26,0.022846,0.033758,0.227817,panels/15_train_4878_candidate.jpg
train,15003.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.450207,26,0.020909,0.036571,0.331060,panels/16_train_15003_candidate.jpg
train,8717.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.459944,24,0.024237,0.035883,0.275451,panels/18_train_8717_candidate.jpg
train,15380.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.467414,24,0.017033,0.040214,0.293971,panels/20_train_15380_candidate.jpg
train,15317.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.478073,26,0.022515,0.029531,0.308045,panels/25_train_15317_candidate.jpg
train,5925.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.497218,23,0.016819,0.036382,0.264235,panels/30_train_5925_candidate.jpg
train,15177.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.497849,23,0.015810,0.032004,0.293527,panels/32_train_15177_candidate.jpg
train,11779.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.515642,25,0.020823,0.032842,0.271736,panels/39_train_11779_candidate.jpg
train,10621.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.522314,26,0.020129,0.033980,0.376314,panels/45_train_10621_candidate.jpg
train,10910.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.522480,26,0.022777,0.030421,0.324454,panels/46_train_10910_candidate.jpg
train,9789.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.525970,24,0.025310,0.036532,0.311981,panels/48_train_9789_candidate.jpg
train,5692.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.533998,26,0.022676,0.031636,0.354597,panels/52_train_5692_candidate.jpg
train,15509.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.536558,22,0.020702,0.039018,0.252599,panels/55_train_15509_candidate.jpg
train,15587.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.549465,25,0.020690,0.030124,0.294069,panels/64_train_15587_candidate.jpg
train,15174.png,r124_hardcase_similarity_train_candidate,underreach_high_precision,0.557853,25,0.024766,0.034001,0.268543,panels/71_train_15174_candidate.jpg
train,2103.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.321976,22,0.035041,0.031629,0.044541,panels/01_train_2103_candidate.jpg
train,2163.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.459619,23,0.041085,0.029718,0.041288,panels/17_train_2163_candidate.jpg
train,3181.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.474904,20,0.043596,0.029901,0.045755,panels/22_train_3181_candidate.jpg
train,2123.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.477968,21,0.044143,0.029541,0.046181,panels/24_train_2123_candidate.jpg
train,2152.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.492852,22,0.033758,0.026114,0.048705,panels/28_train_2152_candidate.jpg
train,4339.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.498756,21,0.033230,0.026923,0.050791,panels/33_train_4339_candidate.jpg
train,2148.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.525252,24,0.039435,0.027917,0.041671,panels/47_train_2148_candidate.jpg
train,2099.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.547499,23,0.045047,0.024650,0.071760,panels/62_train_2099_candidate.jpg
train,4245.png,r124_hardcase_similarity_train_candidate,candidate_shared_failure,0.557753,23,0.042418,0.028724,0.039573,panels/70_train_4245_candidate.jpg
train,2108.png,r124_hardcase_similarity_train_candidate,overmask_low_precision,0.430956,21,0.036926,0.030974,0.047195,panels/10_train_2108_candidate.jpg
train,3141.png,r124_hardcase_similarity_train_candidate,overmask_low_precision,0.500469,23,0.033045,0.026597,0.044075,panels/34_train_3141_candidate.jpg
