source,image,split,rank,primary_tag,priority,hardcase_similarity_score,dice,precision,recall,boundary_iou,component_delta,component_count,fg_frac,nearest_center_gap,fg_bg_contrast,panel,review_action,allowed_use,review_status,human_decision,human_notes
R122/R123 clean-test-v2 reference only,4818.png,clean-test-v2/test,1,candidate_shared_failure,reference_only,,0.8530497195827158,0.8412907663208574,0.8651420488034893,0.19361994295975493,-1,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/01_4818_audit.jpg,review label/protocol or collect stronger examples; candidates do not provide a reliable correction,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,12936.png,clean-test-v2/test,2,candidate_fixable,reference_only,,0.8592208449279028,0.8770819883795997,0.8420726416263791,0.30808685245341083,-1,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/02_12936_audit.jpg,compare candidate masks against label; use only after finding train-side analogues,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,3665.png,clean-test-v2/test,3,under_separated_bridge,reference_only,,0.8759767187173145,0.8407501889644747,0.914284246487375,0.19757470186252177,-8,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/03_3665_audit.jpg,check whether adjacent epiphysis/carpal regions should be separated; confirm bridge pixels and instance boundaries,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,9194.png,clean-test-v2/test,4,underreach_high_precision,reference_only,,0.8778888098258206,0.915650209745079,0.8431186118374139,0.2764052583862194,-3,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/04_9194_audit.jpg,check whether GT includes narrow/small epiphysis extent that models consistently miss,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,2136.png,clean-test-v2/test,5,mixed_boundary_bridge,reference_only,,0.8797212625168355,0.8809335327058961,0.8785123242010467,0.2351130081869708,-1,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/05_2136_audit.jpg,check whether adjacent epiphysis/carpal regions should be separated; confirm bridge pixels and instance boundaries,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,8435.png,clean-test-v2/test,6,underreach_high_precision,reference_only,,0.8848507602778299,0.93650162918223,0.838599487617421,0.30505972352704336,0,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/06_8435_audit.jpg,check whether GT includes narrow/small epiphysis extent that models consistently miss,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,7484.png,clean-test-v2/test,7,candidate_fixable,reference_only,,0.8865558688232675,0.8955928646379853,0.8776994270603791,0.28598031391327483,-2,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/07_7484_audit.jpg,compare candidate masks against label; use only after finding train-side analogues,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,1897.png,clean-test-v2/test,8,severe_boundary_shift,reference_only,,0.8897094485472428,0.8717683658721799,0.9084045067718995,0.10043528186503592,-1,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/08_1897_audit.jpg,check contour placement and label extent; mark protocol ambiguity if boundary is subjective,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,2050.png,clean-test-v2/test,9,under_separated_bridge,reference_only,,0.890068981601916,0.8208199596307204,0.972079079883222,0.17433593083442353,-5,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/09_2050_audit.jpg,check whether adjacent epiphysis/carpal regions should be separated; confirm bridge pixels and instance boundaries,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
R122/R123 clean-test-v2 reference only,2075.png,clean-test-v2/test,10,under_separated_bridge,reference_only,,0.8923308096861816,0.829899308417243,0.9649195900341638,0.1713984663115378,-7,,,,,outputs/analysis/r122_r110_hard_case_audit_pack/panels/10_2075_audit.jpg,check whether adjacent epiphysis/carpal regions should be separated; confirm bridge pixels and instance boundaries,diagnostic_reference_only_do_not_train_or_tune,pending_human_review,,
