run_id,split,rank,image,priority_reason,priority_score,label_dice,orig_fg_frac,reann_fg_frac,fg_frac_ratio,orig_component_count,reann_component_count,component_count_delta,panel,human_decision,human_notes
R168,train,1,15057.png,新标注为空,10.333333,0.000000,0.01474570,0.00000000,0.000000,28,0,-28,panels/train/001_15057_r168.jpg,,
R168,train,2,15087.png,新标注为空,10.166667,0.000000,0.02441321,0.00000000,0.000000,26,0,-26,panels/train/002_15087_r168.jpg,,
R168,train,3,15113.png,新标注为空,10.166667,0.000000,0.02221593,0.00000000,0.000000,26,0,-26,panels/train/003_15113_r168.jpg,,
R168,train,4,15047.png,新标注为空,10.000000,0.000000,0.01268647,0.00000000,0.000000,24,0,-24,panels/train/004_15047_r168.jpg,,
R168,train,5,1683.png,新标注面积明显膨胀,9.918304,0.000000,0.00100626,0.01521384,15.119139,2,26,24,panels/train/005_1683_r168.jpg,,
R168,train,6,15118.png,新标注为空,9.833333,0.000000,0.01418656,0.00000000,0.000000,22,0,-22,panels/train/006_15118_r168.jpg,,
R168,train,7,1672.png,新标注面积明显膨胀,9.080676,0.017490,0.00254119,0.03012329,11.854018,7,26,19,panels/train/007_1672_r168.jpg,,
R168,train,8,2808.png,新标注面积明显缩小,8.197920,0.185429,0.02227314,0.00244121,0.109603,23,2,-21,panels/train/008_2808_r168.jpg,,
R168,train,9,1677.png,新标注面积明显膨胀,6.199037,0.042808,0.00841821,0.03877661,4.606276,24,26,2,panels/train/009_1677_r168.jpg,,
R168,train,10,2082.png,新标注面积明显膨胀,6.184831,0.260238,0.01374387,0.08099906,5.893468,24,32,8,panels/train/010_2082_r168.jpg,,
R168,train,11,1702.png,新标注面积明显膨胀,5.960413,0.087875,0.00432879,0.01705997,3.941044,22,26,4,panels/train/011_1702_r168.jpg,,
R168,train,12,1663.png,新标注面积明显膨胀,5.641582,0.018461,0.00948520,0.02775044,2.925657,24,26,2,panels/train/012_1663_r168.jpg,,
R168,train,13,2101.png,新标注面积明显膨胀,5.464177,0.289103,0.02861306,0.14797327,5.171529,26,23,-3,panels/train/013_2101_r168.jpg,,
R168,train,14,2118.png,新标注面积明显膨胀,5.457031,0.341740,0.03581139,0.15974969,4.460862,21,13,-8,panels/train/014_2118_r168.jpg,,
R168,train,15,1711.png,新标注面积明显膨胀,5.343759,0.006197,0.00964141,0.02489509,2.582100,26,26,0,panels/train/015_1711_r168.jpg,,
R168,train,16,1662.png,新标注面积明显膨胀,5.193029,0.161826,0.01137815,0.03426176,3.011190,23,26,3,panels/train/016_1662_r168.jpg,,
R168,train,17,1837.png,新标注面积明显缩小,5.108948,0.488075,0.03823339,0.01372606,0.359007,21,2,-19,panels/train/017_1837_r168.jpg,,
R168,train,18,1699.png,原标签和新标注重合度低,4.998527,0.001630,0.02151179,0.04075113,1.894363,25,26,1,panels/train/018_1699_r168.jpg,,
R168,train,19,2175.png,新标注面积明显膨胀,4.956103,0.396558,0.00304123,0.00836089,2.749184,10,23,13,panels/train/019_2175_r168.jpg,,
R168,train,20,2096.png,新标注面积明显膨胀,4.918204,0.374602,0.04243459,0.15121393,3.563460,20,27,7,panels/train/020_2096_r168.jpg,,
R168,train,21,1818.png,新标注面积明显缩小,4.898068,0.514458,0.03680571,0.01341669,0.364527,19,1,-18,panels/train/021_1818_r168.jpg,,
R168,train,22,2100.png,新标注面积明显膨胀,4.689802,0.351366,0.02679843,0.10201768,3.806853,26,24,-2,panels/train/022_2100_r168.jpg,,
R168,train,23,1690.png,原标签和新标注重合度低,4.557088,0.041116,0.03253554,0.05364963,1.648955,26,26,0,panels/train/023_1690_r168.jpg,,
R168,train,24,1688.png,原标签和新标注重合度低,4.536580,0.042528,0.04460155,0.06870680,1.540458,25,26,1,panels/train/024_1688_r168.jpg,,
R168,train,25,1713.png,原标签和新标注重合度低,4.467980,0.012654,0.04340066,0.04396372,1.012973,20,26,6,panels/train/025_1713_r168.jpg,,
R168,train,26,1701.png,原标签和新标注重合度低,4.461081,0.021255,0.04099165,0.04232261,1.032469,20,26,6,panels/train/026_1701_r168.jpg,,
R168,train,27,2108.png,新标注面积明显膨胀,4.459874,0.379996,0.03692595,0.13748109,3.723156,21,20,-1,panels/train/027_2108_r168.jpg,,
R168,train,28,1665.png,原标签和新标注重合度低,4.439377,0.030693,0.04744078,0.03213129,0.677293,26,26,0,panels/train/028_1665_r168.jpg,,
R168,train,29,2104.png,新标注面积明显膨胀,4.376923,0.370843,0.01754826,0.06371462,3.630823,24,24,0,panels/train/029_2104_r168.jpg,,
R168,train,30,2022.png,新标注面积明显膨胀,4.351381,0.506837,0.02552812,0.07451243,2.918838,27,17,-10,panels/train/030_2022_r168.jpg,,
R168,train,31,1656.png,原标签和新标注重合度低,4.345424,0.038564,0.04795296,0.03806870,0.793876,24,26,2,panels/train/031_1656_r168.jpg,,
R168,train,32,2099.png,新标注面积明显膨胀,4.334595,0.433325,0.04504684,0.14149247,3.141008,23,18,-5,panels/train/032_2099_r168.jpg,,
R168,train,33,1668.png,原标签和新标注重合度低,4.305323,0.020513,0.03254394,0.04256780,1.308010,26,26,0,panels/train/033_1668_r168.jpg,,
R168,train,34,1659.png,原标签和新标注重合度低,4.297803,0.086861,0.05252057,0.03993452,0.760360,24,27,3,panels/train/034_1659_r168.jpg,,
R168,train,35,1689.png,原标签和新标注重合度低,4.253265,0.024104,0.03120516,0.02748742,0.880861,25,27,2,panels/train/035_1689_r168.jpg,,
R168,train,36,1685.png,原标签和新标注重合度低,4.128589,0.020198,0.04695995,0.04061602,0.864908,26,26,0,panels/train/036_1685_r168.jpg,,
R168,train,37,1794.png,新标注面积明显缩小,4.112508,0.573872,0.03967136,0.01777810,0.448134,19,4,-15,panels/train/037_1794_r168.jpg,,
R168,train,38,2039.png,新标注面积明显膨胀,3.998600,0.561996,0.02745599,0.06902117,2.513883,27,16,-11,panels/train/038_2039_r168.jpg,,
R168,train,39,1691.png,原标签和新标注重合度低,3.918054,0.162795,0.02542554,0.03360895,1.321858,24,26,2,panels/train/039_1691_r168.jpg,,
R168,train,40,1679.png,原标签和新标注重合度低,3.907606,0.041804,0.04104742,0.03897285,0.949459,26,26,0,panels/train/040_1679_r168.jpg,,
R168,train,41,1697.png,原标签和新标注重合度低,3.868699,0.068328,0.03588750,0.03959983,1.103444,26,26,0,panels/train/041_1697_r168.jpg,,
R168,train,42,1680.png,原标签和新标注重合度低,3.824637,0.185347,0.06264396,0.05032062,0.803280,23,26,3,panels/train/042_1680_r168.jpg,,
R168,train,43,1708.png,原标签和新标注重合度低,3.815557,0.124727,0.03102194,0.03857732,1.243550,26,26,0,panels/train/043_1708_r168.jpg,,
R168,train,44,1396.png,连通域数量变化很大,3.778572,0.644749,0.04218779,0.02328269,0.551882,20,2,-18,panels/train/044_1396_r168.jpg,,
R168,train,45,1754.png,连通域数量变化很大,3.752170,0.643137,0.03025864,0.01612497,0.532905,21,4,-17,panels/train/045_1754_r168.jpg,,
R168,train,46,1648.png,原标签和新标注重合度低,3.689009,0.121982,0.05218935,0.04891075,0.937179,25,26,1,panels/train/046_1648_r168.jpg,,
R168,train,47,2178.png,原标签和新标注重合度低,3.671186,0.492394,0.00661120,0.01375936,2.081220,16,23,7,panels/train/047_2178_r168.jpg,,
R168,train,48,1722.png,连通域数量变化很大,3.511100,0.661997,0.06482517,0.03657352,0.564187,17,1,-16,panels/train/048_1722_r168.jpg,,
R168,train,49,1728.png,连通域数量变化很大,3.435144,0.648823,0.04158503,0.02156901,0.518672,17,4,-13,panels/train/049_1728_r168.jpg,,
R168,train,50,1748.png,连通域数量变化很大,3.423868,0.660496,0.03618963,0.01940452,0.536190,18,4,-14,panels/train/050_1748_r168.jpg,,
R168,train,51,14090.png,原标签和新标注重合度低,3.367386,0.524007,0.04381808,0.02247177,0.512842,19,25,6,panels/train/051_14090_r168.jpg,,
R168,train,52,3061.png,原标签和新标注重合度低,3.287599,0.546229,0.00982460,0.02042477,2.078941,22,17,-5,panels/train/052_3061_r168.jpg,,
R168,train,53,1377.png,连通域数量变化很大,3.271498,0.727655,0.05924418,0.03485150,0.588269,20,3,-17,panels/train/053_1377_r168.jpg,,
R168,train,54,1675.png,原标签和新标注重合度低,3.255273,0.218161,0.02797342,0.03056696,1.092714,27,27,0,panels/train/054_1675_r168.jpg,,
R168,train,55,2006.png,原标签和新标注重合度低,3.232753,0.624927,0.01835451,0.03842184,2.093319,24,16,-8,panels/train/055_2006_r168.jpg,,
R168,train,56,3055.png,原标签和新标注重合度低,3.229294,0.513297,0.00741128,0.01606152,2.167173,22,20,-2,panels/train/056_3055_r168.jpg,,
R168,train,57,13780.png,原标签和新标注重合度低,3.047269,0.488094,0.00521235,0.00928506,1.781357,25,23,-2,panels/train/057_13780_r168.jpg,,
R168,train,58,2035.png,原标签和新标注重合度低,2.941533,0.612729,0.03858678,0.07588882,1.966705,19,14,-5,panels/train/058_2035_r168.jpg,,
R168,train,59,3079.png,原标签和新标注重合度低,2.935839,0.556866,0.01511807,0.03016577,1.995345,24,22,-2,panels/train/059_3079_r168.jpg,,
R168,train,60,2109.png,原标签和新标注重合度低,2.824643,0.574649,0.04405909,0.07617647,1.728961,18,22,4,panels/train/060_2109_r168.jpg,,
R168,train,61,1833.png,原标签和新标注重合度低,2.820046,0.621948,0.05565149,0.03000598,0.539177,22,17,-5,panels/train/061_1833_r168.jpg,,
R168,train,62,13798.png,原标签和新标注重合度低,2.763617,0.523448,0.01708432,0.02921581,1.710095,26,27,1,panels/train/062_13798_r168.jpg,,
R168,train,63,3041.png,原标签和新标注重合度低,2.752907,0.578462,0.01522052,0.03009321,1.977147,21,20,-1,panels/train/063_3041_r168.jpg,,
R168,train,64,1772.png,协议差异候选,2.698796,0.689475,0.00660050,0.00381727,0.578332,23,15,-8,panels/train/064_1772_r168.jpg,,
R168,train,65,3330.png,协议差异候选,2.649304,0.681799,0.04677006,0.02859477,0.611390,21,29,8,panels/train/065_3330_r168.jpg,,
R168,train,66,3081.png,协议差异候选,2.569797,0.652588,0.02438222,0.03480537,1.427489,25,17,-8,panels/train/066_3081_r168.jpg,,
R168,train,67,1840.png,原标签和新标注重合度低,2.564884,0.649098,0.00181250,0.00090964,0.501872,9,7,-2,panels/train/067_1840_r168.jpg,,
R168,train,68,3344.png,协议差异候选,2.560284,0.704338,0.04568875,0.02791172,0.610910,19,27,8,panels/train/068_3344_r168.jpg,,
R168,train,69,1729.png,协议差异候选,2.558858,0.721800,0.00911135,0.00595846,0.653960,24,14,-10,panels/train/069_1729_r168.jpg,,
R168,train,70,3104.png,原标签和新标注重合度低,2.492746,0.608434,0.01230170,0.02083016,1.693275,23,21,-2,panels/train/070_3104_r168.jpg,,
R168,train,71,3329.png,连通域数量变化很大,2.476692,0.762547,0.05204275,0.03612052,0.694055,18,30,12,panels/train/071_3329_r168.jpg,,
R168,train,72,13821.png,原标签和新标注重合度低,2.376773,0.555156,0.01263835,0.01703545,1.347917,24,26,2,panels/train/072_13821_r168.jpg,,
R168,train,73,3116.png,原标签和新标注重合度低,2.367986,0.648814,0.01196137,0.01747092,1.460612,26,21,-5,panels/train/073_3116_r168.jpg,,
R168,train,74,3405.png,协议差异候选,2.320445,0.715516,0.03925318,0.02591227,0.660132,21,28,7,panels/train/074_3405_r168.jpg,,
R168,train,75,3331.png,协议差异候选,2.314800,0.711079,0.04395465,0.02627272,0.597723,21,26,5,panels/train/075_3331_r168.jpg,,
R168,train,76,1967.png,协议差异候选,2.289468,0.726563,0.03648563,0.05909554,1.619694,24,18,-6,panels/train/076_1967_r168.jpg,,
R168,train,77,12905.png,协议差异候选,2.285470,0.784958,0.03509739,0.04993315,1.422703,9,20,11,panels/train/077_12905_r168.jpg,,
R168,train,78,2070.png,协议差异候选,2.234553,0.660363,0.01238002,0.02144565,1.732280,24,23,-1,panels/train/078_2070_r168.jpg,,
R168,train,79,13698.png,原标签和新标注重合度低,2.207551,0.623714,0.01777734,0.02730405,1.535891,22,23,1,panels/train/079_13698_r168.jpg,,
R168,train,80,3214.png,协议差异候选,2.184840,0.735896,0.03927067,0.02851444,0.726100,19,27,8,panels/train/080_3214_r168.jpg,,
R168,val,1,1518.png,新标注面积明显膨胀,6.891216,0.278545,0.00096393,0.00516607,5.359370,2,21,19,panels/val/001_1518_r168.jpg,,
R168,val,2,1560.png,新标注面积明显缩小,5.739199,0.315743,0.01492466,0.00443046,0.296855,27,12,-15,panels/val/002_1560_r168.jpg,,
R168,val,3,1418.png,原标签和新标注重合度低,2.648319,0.624479,0.00539324,0.00344598,0.638945,16,22,6,panels/val/003_1418_r168.jpg,,
R168,val,4,1884.png,协议差异候选,1.810980,0.678693,0.00526689,0.00637624,1.210626,19,22,3,panels/val/004_1884_r168.jpg,,
R168,val,5,1522.png,协议差异候选,1.797115,0.725402,0.00403604,0.00519935,1.288231,19,23,4,panels/val/005_1522_r168.jpg,,
R168,val,6,1855.png,协议差异候选,1.651296,0.845038,0.03848993,0.03166819,0.822766,17,26,9,panels/val/006_1855_r168.jpg,,
R168,val,7,1399.png,协议差异候选,1.525027,0.794033,0.00793313,0.00614777,0.774949,18,22,4,panels/val/007_1399_r168.jpg,,
R168,val,8,1678.png,协议差异候选,1.169188,0.851865,0.02190433,0.01960517,0.895037,27,22,-5,panels/val/008_1678_r168.jpg,,
R168,val,9,1694.png,协议差异候选,1.072596,0.850238,0.02931582,0.02818246,0.961340,25,20,-5,panels/val/009_1694_r168.jpg,,
R168,val,10,1452.png,协议差异候选,0.913433,0.869298,0.03691573,0.03348719,0.907125,21,24,3,panels/val/010_1452_r168.jpg,,
R168,val,11,1828.png,协议差异候选,0.912937,0.852781,0.02130808,0.02024186,0.949962,26,29,3,panels/val/011_1828_r168.jpg,,
R168,val,12,1812.png,协议差异候选,0.894762,0.839580,0.03487068,0.03284333,0.941861,20,22,2,panels/val/012_1812_r168.jpg,,
R168,val,13,1666.png,协议差异候选,0.811528,0.879530,0.04336080,0.03872892,0.893178,25,23,-2,panels/val/013_1666_r168.jpg,,
R168,val,14,1585.png,协议差异候选,0.803897,0.852135,0.02634203,0.02408713,0.914399,24,25,1,panels/val/014_1585_r168.jpg,,
R168,val,15,1827.png,协议差异候选,0.781337,0.849320,0.02885138,0.02909133,1.008317,19,21,2,panels/val/015_1827_r168.jpg,,
R168,val,16,1736.png,协议差异候选,0.754723,0.849091,0.04243564,0.03821637,0.900573,25,25,0,panels/val/016_1736_r168.jpg,,
