anchor_components,boundary_f1,boundary_iou,bridge_risk,component_delta,component_error,dice,false_bridge,fn_pixels,fp_pixels,gt_components,image,iou,missing_anchor,precision,recall,risk_pixels,sep_fp_pixels,sep_fp_rate,sep_pixels,split
27,0.41459386933636083,0.2615064123429464,1,-1,1,0.9095946886544949,1,2482,4272,28,10003.png,0.8341803540300999,0,0.8883108055112552,0.9319235305411558,6512,4262,0.199906191369606,21320,train
24,0.3512148005052381,0.21301428507052408,1,-1,1,0.9192808910373009,1,5523,7435,25,10004.png,0.8506196322554614,0,0.9084607618625495,0.9303618711385702,11061,6915,0.250153745975473,27643,train
25,0.40644418872266974,0.25505488157134604,1,-6,6,0.9095509531052325,1,2404,3959,31,10015.png,0.8341067890290959,0,0.8898809523809523,0.9301101840276769,6110,3872,0.19894158146226174,19463,train
28,0.4207320862593997,0.26640957028175666,1,-1,1,0.9055863867929483,1,2137,3256,29,10043.png,0.8274626483667659,0,0.8881868131868131,0.9236812970965322,5209,3206,0.17607644991212654,18208,train
29,0.26303702115932265,0.15143501868697554,0,1,1,0.8968614286488911,0,9346,11577,28,10055.png,0.813008856675574,0,0.8871054248295903,0.9068344032856175,15986,9040,0.25853686438254303,34966,train
30,0.3400942035951168,0.20488765346305304,0,2,2,0.8958176254047102,0,3602,5794,28,10066.png,0.8112949871465296,0,0.8745615934184888,0.918132642392836,8479,5259,0.22721970187945562,23145,train
25,0.28539972298185173,0.16645262852645099,1,-1,1,0.9146073334402125,1,6636,8278,26,10144.png,0.8426511083211125,0,0.9060886927518804,0.9232876712328767,12849,7854,0.26854036311416557,29247,train
19,0.39580602883355176,0.24673202614379086,1,-4,4,0.8303670420727082,1,910,1997,23,10390.png,0.7099381361005788,0,0.780838454784899,0.8866043613707165,2565,1708,0.1886459023635962,9054,train
25,0.22517856169238318,0.1268739247972475,0,3,3,0.9141210549463882,0,11455,16858,22,10474.png,0.8418259319884469,0,0.8993816549682472,0.9293516137189236,20607,13290,0.35275381552753815,37675,train
26,0.35511255969074507,0.21588866872494356,0,3,3,0.9285465235112356,0,4034,7852,23,10526.png,0.8666232775259213,0,0.9077125596483393,0.9503593227013192,10655,7504,0.2868501529051988,26160,train
22,0.556551661686136,0.38557089084065244,1,-5,5,0.927992288938028,1,770,1770,27,10542.png,0.8656582218226054,0,0.9024094392677952,0.9550679815603664,2531,1770,0.14068833955965346,12581,train
26,0.3156546793298474,0.1874049670552458,1,-2,2,0.8806611835077974,1,2868,6070,28,10621.png,0.7867690912994728,0,0.8445542779584625,0.9199933048790694,8292,5757,0.281364547187332,20461,train
25,0.28378165801478683,0.16535288725939504,1,-1,1,0.8687738378460028,1,2698,7727,26,10685.png,0.7679930564828416,0,0.8170518041481201,0.9274867632434757,9183,6885,0.33811324461032266,20363,train
26,0.25325724130505006,0.14498828751078782,1,-1,1,0.8599740596627756,1,2440,8356,27,10693.png,0.7543460453262947,0,0.798689409270502,0.9314452685996853,9597,7549,0.3767342050104801,20038,train
22,0.39597608980901006,0.24686420650790766,1,-1,1,0.9162958843159066,1,3768,4660,23,10727.png,0.8455221965614576,0,0.9082496554439851,0.9244859513407351,7513,4337,0.1980365296803653,21900,train
25,0.5604218706633362,0.38929590498958894,1,-1,1,0.943759414532706,1,2267,1952,26,10779.png,0.893508001413499,0,0.9477390163583305,0.9398130940370626,4182,1951,0.09983114158522233,19543,train
28,0.48627450980392156,0.32124352331606215,0,3,3,0.9343038408423063,0,4016,2311,25,10833.png,0.8767075238225149,0,0.951142681972897,0.9180508509162143,5629,2255,0.10331714468981948,21826,train
34,0.28711846870150026,0.1676230745998188,0,10,10,0.9261967415038351,0,9911,9862,24,10852.png,0.8625385834654209,0,0.9263661681587062,0.9260273768118106,15836,8826,0.2442845280929975,36130,train
26,0.505949962268532,0.33864325122387134,0,0,0,0.9289430674883421,0,2393,2346,26,10910.png,0.8673143689102923,0,0.9295981754343846,0.9282888822295475,4635,2346,0.12381253958201394,18948,train
33,0.44456268161912166,0.2858120197873908,0,6,6,0.927413440549425,0,3219,5194,27,11013.png,0.8646513723092764,0,0.911874989395816,0.9434906256583105,7889,4898,0.1887766900485624,25946,train
27,0.5146753631781796,0.3465069860279441,0,3,3,0.877256822953114,0,1558,3704,24,11023.png,0.781351283969085,0,0.8354362893193531,0.9234849228955898,3298,1782,0.120397270454699,14801,train
31,0.4420126917503623,0.2837075048107761,0,4,4,0.9180316649176439,0,4499,2687,27,11112.png,0.8484829316633985,0,0.9374068207230712,0.8994412159141708,6386,2628,0.11862417622099847,22154,train
28,0.4679017664799655,0.30539932508436446,0,2,2,0.9204042646986791,0,1702,3173,26,11115.png,0.8525452950606455,0,0.8988169265601582,0.943054068522484,4820,3145,0.17295424549054114,18184,train
26,0.5120481927710844,0.3441295546558704,0,2,2,0.9232660767997892,0,2094,1401,24,11142.png,0.8574691081114147,0,0.9375306550140455,0.9094290657439447,3443,1401,0.09200157604412923,15228,train
16,0.1348139255702281,0.07227907575465019,0,9,9,0.7663889740099628,0,8457,24324,7,11152.png,0.6212565856363804,0,0.6885331967475511,0.8640965481776692,10507,7530,0.46953919062168736,16037,train
28,0.506373582254341,0.3390229151266716,0,3,3,0.9361258017988437,0,2998,2449,25,11201.png,0.879921520215158,0,0.942191483334907,0.9301377205042761,5285,2448,0.11609048228766539,21087,train
24,0.5128058785760148,0.34481435287345297,0,0,0,0.923974311133806,0,2159,1712,24,11237.png,0.858691684310433,0,0.9321577174559144,0.915933338525037,3715,1712,0.10779498803677119,15882,train
27,0.4592137788055179,0.2980386068415877,1,-1,1,0.9352566306581483,1,4480,3617,28,11283.png,0.878386902973866,0,0.941755233494364,0.9288471006781761,7602,3605,0.13531266421439833,26642,train
28,0.4789224526600541,0.3148573545757688,0,2,2,0.9245722185388424,0,2113,3234,26,11285.png,0.8597250642740962,0,0.9101791417858631,0.93942781791079,5219,3232,0.16496529195590037,19592,train
23,0.5009309335934037,0.33416134374260703,0,0,0,0.9103721390716907,0,1527,1551,23,11336.png,0.8354890432923571,0,0.9097363673398126,0.9110088000466228,3005,1542,0.11854243542435425,13008,train
23,0.5183089483469404,0.3498090561920349,0,0,0,0.9258253142409871,0,1240,1982,23,11355.png,0.8618945563651951,0,0.9102761430511543,0.9419149334832303,3213,1974,0.14024866785079929,14075,train
26,0.45949971357647507,0.29827953790470524,0,0,0,0.9443550801841136,0,4568,3423,26,11382.png,0.8945764455995462,0,0.9519450800915332,0.9368851553000995,7755,3310,0.11887659818991524,27844,train
22,0.5659708546671918,0.39467179346333425,0,0,0,0.9222057613168724,0,1123,1240,22,11383.png,0.8556417618669436,0,0.9186671913944641,0.9257716967413576,2304,1234,0.10563259715802088,11682,train
25,0.473812671615987,0.31045512094355965,1,-1,1,0.9289047424127244,1,3332,2747,26,11488.png,0.8672475541579315,0,0.9353038153556288,0.9225926356138925,5789,2706,0.12651954366934728,21388,train
28,0.4741368565374548,0.31073354027119754,0,4,4,0.90858021591765,0,3951,1875,24,11612.png,0.8324754866722259,0,0.9391747226367352,0.8799161145219135,4713,1868,0.10477312244096697,17829,train
27,0.44037424674912784,0.28235892221657344,0,3,3,0.8935862961856389,0,2707,1567,24,11630.png,0.8076421081056753,0,0.919690446904469,0.8689231067208987,3896,1561,0.10761806273698725,14505,train
26,0.47118737890949347,0.3082047939749439,1,-1,1,0.9224413570640333,1,3684,1798,27,11662.png,0.8560474764980831,0,0.9477295191580906,0.898467644140668,5143,1797,0.08942523015675541,20095,train
27,0.5580376697328077,0.3869987849331713,0,2,2,0.9460469476431168,0,2295,1964,25,11666.png,0.8976177311954614,0,0.9500305312436393,0.9420966317648543,4239,1964,0.0972903353643434,20187,train
28,0.5069243156199678,0.33951682484900775,0,2,2,0.9293482617641557,0,3055,2233,26,11779.png,0.8680210647165997,0,0.9396682157138225,0.9192525241845959,4826,2185,0.10683551730882065,20452,train
25,0.4343212732857314,0.2774012738853503,0,0,0,0.9346601347213717,0,4485,4051,25,11784.png,0.8773351727309306,0,0.9377755249374069,0.9315653752841906,8161,4029,0.15340973993831628,26263,train
26,0.49066080678072516,0.32508319467554075,0,0,0,0.935795933386352,0,2859,2550,26,11795.png,0.8793388061033283,0,0.9392408682599062,0.9323761767349449,5278,2546,0.12082384206529992,21072,train
27,0.4323504633529907,0.27579535683576956,0,1,1,0.9365011439011143,0,3654,4062,26,11830.png,0.8805850034821636,0,0.9333672347894556,0.9396561689759384,7500,4050,0.15953675254077052,25386,train
