anchor_components,boundary_f1,boundary_iou,bridge_risk,component_delta,component_error,dice,false_bridge,fn_pixels,fp_pixels,gt_components,image,iou,missing_anchor,precision,recall,risk_pixels,sep_fp_pixels,sep_fp_rate,sep_pixels,split
27,0.41459386933636083,0.2615064123429464,1,-1,1,0.9095946886544949,1,2482,4272,28,10003.png,0.8341803540300999,0,0.8883108055112552,0.9319235305411558,6512,4262,0.199906191369606,21320,train
24,0.3512148005052381,0.21301428507052408,1,-1,1,0.9192808910373009,1,5523,7435,25,10004.png,0.8506196322554614,0,0.9084607618625495,0.9303618711385702,11061,6915,0.250153745975473,27643,train
25,0.40644418872266974,0.25505488157134604,1,-6,6,0.9095509531052325,1,2404,3959,31,10015.png,0.8341067890290959,0,0.8898809523809523,0.9301101840276769,6110,3872,0.19894158146226174,19463,train
28,0.4207320862593997,0.26640957028175666,1,-1,1,0.9055863867929483,1,2137,3256,29,10043.png,0.8274626483667659,0,0.8881868131868131,0.9236812970965322,5209,3206,0.17607644991212654,18208,train
29,0.26303702115932265,0.15143501868697554,0,1,1,0.8968614286488911,0,9346,11577,28,10055.png,0.813008856675574,0,0.8871054248295903,0.9068344032856175,15986,9040,0.25853686438254303,34966,train
30,0.3400942035951168,0.20488765346305304,0,2,2,0.8958176254047102,0,3602,5794,28,10066.png,0.8112949871465296,0,0.8745615934184888,0.918132642392836,8479,5259,0.22721970187945562,23145,train
25,0.28539972298185173,0.16645262852645099,1,-1,1,0.9146073334402125,1,6636,8278,26,10144.png,0.8426511083211125,0,0.9060886927518804,0.9232876712328767,12849,7854,0.26854036311416557,29247,train
19,0.39580602883355176,0.24673202614379086,1,-4,4,0.8303670420727082,1,910,1997,23,10390.png,0.7099381361005788,0,0.780838454784899,0.8866043613707165,2565,1708,0.1886459023635962,9054,train
25,0.22517856169238318,0.1268739247972475,0,3,3,0.9141210549463882,0,11455,16858,22,10474.png,0.8418259319884469,0,0.8993816549682472,0.9293516137189236,20607,13290,0.35275381552753815,37675,train
26,0.35511255969074507,0.21588866872494356,0,3,3,0.9285465235112356,0,4034,7852,23,10526.png,0.8666232775259213,0,0.9077125596483393,0.9503593227013192,10655,7504,0.2868501529051988,26160,train
22,0.556551661686136,0.38557089084065244,1,-5,5,0.927992288938028,1,770,1770,27,10542.png,0.8656582218226054,0,0.9024094392677952,0.9550679815603664,2531,1770,0.14068833955965346,12581,train
26,0.3156546793298474,0.1874049670552458,1,-2,2,0.8806611835077974,1,2868,6070,28,10621.png,0.7867690912994728,0,0.8445542779584625,0.9199933048790694,8292,5757,0.281364547187332,20461,train
25,0.28378165801478683,0.16535288725939504,1,-1,1,0.8687738378460028,1,2698,7727,26,10685.png,0.7679930564828416,0,0.8170518041481201,0.9274867632434757,9183,6885,0.33811324461032266,20363,train
26,0.25325724130505006,0.14498828751078782,1,-1,1,0.8599740596627756,1,2440,8356,27,10693.png,0.7543460453262947,0,0.798689409270502,0.9314452685996853,9597,7549,0.3767342050104801,20038,train
22,0.39597608980901006,0.24686420650790766,1,-1,1,0.9162958843159066,1,3768,4660,23,10727.png,0.8455221965614576,0,0.9082496554439851,0.9244859513407351,7513,4337,0.1980365296803653,21900,train
25,0.5604218706633362,0.38929590498958894,1,-1,1,0.943759414532706,1,2267,1952,26,10779.png,0.893508001413499,0,0.9477390163583305,0.9398130940370626,4182,1951,0.09983114158522233,19543,train
28,0.48627450980392156,0.32124352331606215,0,3,3,0.9343038408423063,0,4016,2311,25,10833.png,0.8767075238225149,0,0.951142681972897,0.9180508509162143,5629,2255,0.10331714468981948,21826,train
34,0.28711846870150026,0.1676230745998188,0,10,10,0.9261967415038351,0,9911,9862,24,10852.png,0.8625385834654209,0,0.9263661681587062,0.9260273768118106,15836,8826,0.2442845280929975,36130,train
26,0.505949962268532,0.33864325122387134,0,0,0,0.9289430674883421,0,2393,2346,26,10910.png,0.8673143689102923,0,0.9295981754343846,0.9282888822295475,4635,2346,0.12381253958201394,18948,train
33,0.44456268161912166,0.2858120197873908,0,6,6,0.927413440549425,0,3219,5194,27,11013.png,0.8646513723092764,0,0.911874989395816,0.9434906256583105,7889,4898,0.1887766900485624,25946,train
27,0.4405509908168197,0.2825042615837595,1,-3,3,0.9032545366831187,1,2635,2579,30,10375.png,0.8235771807538743,0,0.904194063672499,0.9023169601482854,5081,2559,0.14027298141753,18243,val
27,0.4067627425291659,0.2553058187798575,0,1,1,0.8978390408500251,0,2119,3573,26,10520.png,0.8146169880145909,0,0.8750043729228616,0.9218974604695735,5544,3530,0.19581738503356078,18027,val
34,0.32100347921626077,0.19118769767695495,0,5,5,0.887309708141001,0,5865,4950,29,10618.png,0.7974453580057311,0,0.8958508668574314,0.8789298763495241,9261,4691,0.19642408508500125,23882,val
28,0.25453825988029877,0.1458286102924507,1,-2,2,0.8540182462664885,1,3390,9171,30,10624.png,0.7452284850820436,0,0.8002526517544051,0.9155287551081431,10651,7870,0.36384650947757746,21630,val
25,0.4074658742687343,0.2558600583090379,0,0,0,0.8740158949292937,0,5629,7877,25,11852.png,0.7762240079529451,0,0.8560647589811059,0.892736003658676,7638,4528,0.1966558089033659,23025,val
26,0.47368661698139086,0.31034689353543826,1,-1,1,0.9385887158933252,1,2880,3494,27,11945.png,0.8842837172993483,0,0.9330689807099208,0.9441741456512047,6255,3487,0.14813713411784699,23539,val
24,0.46324232835381557,0.30144136378872766,1,-2,2,0.949538762663638,1,4952,3401,26,12498.png,0.903925560424646,0,0.958519837543145,0.9407244260372029,7931,3389,0.11954566298634872,28349,val
26,0.4960895130444711,0.32986638323716977,0,1,1,0.9166579243162233,0,3055,2506,25,12627.png,0.846138948067399,0,0.9242625725338491,0.9091773939411957,4915,2483,0.12812838639764693,19379,val
26,0.3761073723432569,0.23160852259424022,0,3,3,0.9260635284507859,0,4944,6280,23,12827.png,0.8623075507575293,0,0.917984615585535,0.9342859041669436,9915,5952,0.21777468808312905,27331,val
28,0.532550268763687,0.3629086962420296,0,6,6,0.9076537100044678,0,1930,757,22,13220.png,0.8309212182230052,0,0.9457814066752614,0.8724810042946812,2518,757,0.06374736842105264,11875,val
28,0.36293846216668707,0.2217011723621851,0,1,1,0.9164383014420965,0,6037,4422,27,13436.png,0.8457647613991623,0,0.9284176446782679,0.9047641583846032,9093,4346,0.16296074093516819,26669,val
24,0.48805302913519344,0.32279771615008157,0,1,1,0.9166860276009479,0,2575,1011,23,13441.png,0.8461868405250065,0,0.951251265731231,0.8845446800878806,3509,988,0.06545213646902948,15095,val
25,0.4445218360381695,0.28577825541823393,0,0,0,0.9065630020428807,0,2860,1851,25,13454.png,0.8290948666787593,0,0.9250758955676989,0.8887765419615774,4453,1837,0.1132482584304297,16221,val
26,0.45546520423600606,0.2948882767064585,0,0,0,0.9246086462811258,0,4943,2493,26,13480.png,0.8597880604894973,0,0.9481607785240481,0.902198215310342,6592,2490,0.10695876288659793,23280,val
24,0.2624370594159114,0.15103744059348556,1,-5,5,0.7885912362005953,1,914,4697,29,13517.png,0.650970390644439,0,0.6902123730378578,0.9196765972405309,5192,4303,0.38120127569099926,11288,val
30,0.26477599671187835,0.1525889431048368,0,1,1,0.8735794963904528,0,5305,9335,29,13840.png,0.7755358621324093,0,0.8442011449171354,0.9050763147064612,12277,8288,0.3180841264967762,26056,val
25,0.2765512855455619,0.16046389035318925,1,-7,7,0.8642395660403295,1,5492,7347,32,13867.png,0.7609347360580951,0,0.8476137141434883,0.8815306958885197,10462,6418,0.2733157311983647,23482,val
25,0.22410996988184415,0.12619586014959122,0,7,7,0.8042814788978025,0,6103,2875,18,1399.png,0.6726344576116682,0,0.8651627427070632,0.7514052953156822,5676,1162,0.08092485549132948,14359,val
23,0.45057283142389526,0.2907996197316996,1,-1,1,0.9393912788996196,1,2540,5744,24,14041.png,0.8857095554758423,0,0.9178748105573189,0.9619407234259343,7931,5517,0.21675244568420227,25453,val
16,0.17589803012746233,0.09642993266421039,0,0,0,0.6708300806661462,0,7667,1188,16,1418.png,0.504698512137823,0,0.8836548819900107,0.5406231276213301,4736,825,0.07548723579467471,10929,val
