anchor_components,boundary_f1,boundary_iou,bridge_risk,component_delta,component_error,dice,false_bridge,fn_pixels,fp_pixels,gt_components,image,iou,missing_anchor,precision,recall,risk_pixels,sep_fp_pixels,sep_fp_rate,sep_pixels,split
27,0.41408872592057017,0.2611045981503191,1,-1,1,0.9096801842824235,1,2497,4247,28,10003.png,0.8343241782538201,0,0.8888481771310425,0.931512109492855,6422,4157,0.2639365079365079,15750,train
23,0.35039589606334337,0.21241211465657112,1,-2,2,0.9192866175380456,1,5523,7434,25,10004.png,0.8506294383473209,0,0.9084719469102818,0.9303618711385702,10441,6295,0.3027024427774572,20796,train
25,0.4062841687287794,0.254928865458222,1,-6,6,0.9095768120886463,1,2404,3957,31,10015.png,0.8341502841946081,0,0.8899304589707928,0.9301101840276769,5872,3634,0.2528175873104216,14374,train
28,0.4216283405842138,0.26712868168215465,1,-1,1,0.9057290937106037,1,2137,3247,29,10043.png,0.8277009728622632,0,0.8884614063412456,0.9236812970965322,5107,3104,0.2324571257395342,13353,train
29,0.2630805048400931,0.15146384479717814,0,1,1,0.8968438284297048,0,9372,11549,28,10055.png,0.8129799311670317,0,0.8873191339896384,0.9065752222975397,14880,7919,0.30380572393155836,26066,train
30,0.3401923076923077,0.20495886919244583,0,2,2,0.8958901678976201,0,3605,5783,28,10066.png,0.8114139932906129,0,0.874761781011781,0.9180644574753398,8028,4805,0.281586966713549,17064,train
25,0.2860390763765542,0.16688774664234787,1,-1,1,0.9146555180115686,1,6651,8251,26,10144.png,0.8427329140107223,0,0.9063503773906135,0.9231142708513959,12159,7152,0.3269037389158058,21878,train
19,0.39878995133499934,0.24905536389025792,1,-4,4,0.8340759849906192,1,912,1918,23,10390.png,0.7153776526199336,0,0.7876204185582992,0.8863551401869159,2459,1600,0.243531202435312,6570,train
25,0.2275628784985542,0.12838981746544773,0,3,3,0.9150814969674134,0,11568,16378,22,10474.png,0.8434564388104347,0,0.9018993596923648,0.9286546894369715,18603,11201,0.3923017652003362,28552,train
26,0.3555454476537033,0.21620874054951134,0,3,3,0.9287896281329677,0,4037,7805,23,10526.png,0.867046896226521,0,0.908211026437106,0.9503224059854302,10080,6929,0.34919115053167366,19843,train
22,0.5570859006886553,0.3860838985179603,1,-5,5,0.9280771412365286,1,775,1761,27,10542.png,0.8658059053868135,0,0.9028306571759642,0.9547762152068624,2527,1761,0.19122597459007493,9209,train
26,0.31496903694213113,0.18692180965657076,1,-2,2,0.8806420597190321,1,2874,6064,28,10621.png,0.7867385650545203,0,0.8446601941747572,0.9198259268558039,7758,5217,0.3458860969303189,15083,train
25,0.28373557187827914,0.165321594521888,1,-1,1,0.8688043710893731,1,2702,7719,26,10685.png,0.7680407781685439,0,0.8171892762410004,0.9273792565915016,8369,6067,0.40216094392151663,15086,train
26,0.25340584782725756,0.1450857072388704,1,-1,1,0.85999636825858,1,2440,8354,27,10693.png,0.7543803759158968,0,0.7987278947622031,0.9314452685996853,8674,6626,0.4487943646708209,14764,train
22,0.3978410969561412,0.2483156297420334,1,-1,1,0.9167652938426806,1,3809,4560,23,10727.png,0.8463219361709942,0,0.9099686074749749,0.9236642751212474,7203,3997,0.2429934950452915,16449,train
25,0.5612125923047027,0.39005942733657484,1,-1,1,0.9438726535836177,1,2267,1943,26,10779.png,0.8937110252720342,0,0.9479674361308982,0.9398130940370626,4163,1932,0.13308534821244059,14517,train
28,0.48675013828128927,0.32165880241908684,0,3,3,0.934436955415468,0,4018,2295,25,10833.png,0.8769419699421064,0,0.9514624706554152,0.9180100395869893,5522,2146,0.1333416179942836,16094,train
34,0.2871030832949839,0.1676125868959264,0,10,10,0.9255691965119668,0,10114,9808,24,10852.png,0.8614507267542945,0,0.9266285645890062,0.9245122479138989,14962,7894,0.2919486667406339,27039,train
26,0.5065040650406504,0.3391399020141535,0,0,0,0.9291319678895641,0,2409,2314,26,10910.png,0.8676437619100997,0,0.93045830202855,0.9278094096493856,4569,2264,0.16177206145051803,13995,train
33,0.44348859120888123,0.2849247289188336,0,6,6,0.9267348965755495,0,3313,5170,27,11013.png,0.8634724949303119,0,0.9121062205674844,0.9418404606418088,7619,4588,0.23735126745990687,19330,train
25,0.5178412132024978,0.3493830875714716,0,1,1,0.8838542890716804,0,1558,3384,24,11023.png,0.791880737808473,0,0.8474851270957274,0.9234849228955898,3241,1725,0.15910348644161593,10842,train
31,0.4422125618348074,0.2838722093918399,0,4,4,0.9180630810471682,0,4499,2684,27,11112.png,0.8485366059379217,0,0.937472335468841,0.8994412159141708,6223,2465,0.15086602607258706,16339,train
28,0.4690096633224595,0.3063439736270805,0,2,2,0.9205219066903996,0,1703,3164,26,11115.png,0.8527471862519665,0,0.899071740725382,0.9430206102783726,4730,3054,0.2289698605488079,13338,train
26,0.5120481927710844,0.3441295546558704,0,2,2,0.9232660767997892,0,2094,1401,24,11142.png,0.8574691081114147,0,0.9375306550140455,0.9094290657439447,3434,1392,0.12493268712977922,11142,train
15,0.1366993582758203,0.07336409123399831,0,8,8,0.7702082243981405,0,8464,23617,7,11152.png,0.6262915720193372,0,0.6947958801256122,0.8639840586231279,9028,6051,0.500620501365103,12087,train
28,0.506373582254341,0.3390229151266716,0,3,3,0.9361258017988437,0,2998,2449,25,11201.png,0.879921520215158,0,0.942191483334907,0.9301377205042761,5259,2422,0.153300841825432,15799,train
24,0.5124875124875125,0.3445265278710544,0,0,0,0.9238867828170729,0,2164,1711,24,11237.png,0.858540503048224,0,0.9321812200245749,0.9157386496378787,3670,1664,0.14311516298271265,11627,train
27,0.4597655315415902,0.29850359861233366,1,-1,1,0.9352516834882196,1,4492,3604,28,11283.png,0.8783781753721814,0,0.9419412001610955,0.9286565125549926,7488,3486,0.1745006757771437,19977,train
