rank,image,failure_type,priority_score,panel,missing_models
1,1897.png,clean_bridge_candidate,2.4670262463045294,panels/001_1897_clean_bridge_candidate.jpg,
2,2495.png,clean_bridge_candidate,2.4433167992591907,panels/002_2495_clean_bridge_candidate.jpg,
3,4099.png,clean_bridge_candidate,2.4162556427875184,panels/003_4099_clean_bridge_candidate.jpg,
4,14169.png,clean_bridge_candidate,2.407335963146368,panels/004_14169_clean_bridge_candidate.jpg,
5,1744.png,clean_bridge_candidate,2.2367431113923217,panels/005_1744_clean_bridge_candidate.jpg,
6,2017.png,clean_bridge_candidate,2.2189017331534404,panels/006_2017_clean_bridge_candidate.jpg,
7,12936.png,clean_bridge_candidate,2.2149874597553985,panels/007_12936_clean_bridge_candidate.jpg,
8,15071.png,clean_bridge_candidate,2.2143910748302775,panels/008_15071_clean_bridge_candidate.jpg,
9,3665.png,fragmentation_risk_high_component_error,1.5556739558608152,panels/009_3665_fragmentation_risk_high_component_error.jpg,
10,3858.png,fragmentation_risk_high_component_error,1.4382998434546084,panels/010_3858_fragmentation_risk_high_component_error.jpg,
11,2075.png,fragmentation_risk_high_component_error,0.932536088310218,panels/011_2075_fragmentation_risk_high_component_error.jpg,
12,1801.png,fragmentation_risk_high_component_error,0.8584897921761174,panels/012_1801_fragmentation_risk_high_component_error.jpg,
13,1468.png,fragmentation_risk_high_component_error,0.8279354565090259,panels/013_1468_fragmentation_risk_high_component_error.jpg,
14,3660.png,fragmentation_risk_high_component_error,0.6597088576363188,panels/014_3660_fragmentation_risk_high_component_error.jpg,
15,2168.png,fragmentation_risk_high_component_error,0.624062197446389,panels/015_2168_fragmentation_risk_high_component_error.jpg,
16,3736.png,fragmentation_risk_high_component_error,0.6091062865460615,panels/016_3736_fragmentation_risk_high_component_error.jpg,
17,2982.png,gap_fp_candidate,0.48096188658359273,panels/017_2982_gap_fp_candidate.jpg,
18,6671.png,gap_fp_candidate,0.469608779561555,panels/018_6671_gap_fp_candidate.jpg,
19,15464.png,mixed_or_low_priority,0.4226109981837641,panels/019_15464_mixed_or_low_priority.jpg,
20,3407.png,mixed_or_low_priority,0.4197837325239532,panels/020_3407_mixed_or_low_priority.jpg,
21,7252.png,mixed_or_low_priority,0.41710548050535723,panels/021_7252_mixed_or_low_priority.jpg,
22,2498.png,mixed_or_low_priority,0.40843518248953975,panels/022_2498_mixed_or_low_priority.jpg,
23,7035.png,mixed_or_low_priority,0.3974768157679199,panels/023_7035_mixed_or_low_priority.jpg,
24,9194.png,recall_risk_do_not_cut_aggressively,0.39294073149379155,panels/024_9194_recall_risk_do_not_cut_aggressively.jpg,
25,2050.png,gap_fp_candidate,0.3129925403871676,panels/025_2050_gap_fp_candidate.jpg,
26,14543.png,mixed_or_low_priority,0.21315184053523745,panels/026_14543_mixed_or_low_priority.jpg,
27,1954.png,mixed_or_low_priority,0.20782458895433806,panels/027_1954_mixed_or_low_priority.jpg,
28,7484.png,recall_risk_do_not_cut_aggressively,0.19906119998762828,panels/028_7484_recall_risk_do_not_cut_aggressively.jpg,
29,14289.png,mixed_or_low_priority,0.19732230144674553,panels/029_14289_mixed_or_low_priority.jpg,
30,3900.png,gap_fp_candidate,0.10595407211539173,panels/030_3900_gap_fp_candidate.jpg,
31,3503.png,gap_fp_candidate,0.07791191328890258,panels/031_3503_gap_fp_candidate.jpg,
32,1789.png,gap_fp_candidate,0.0771627593132635,panels/032_1789_gap_fp_candidate.jpg,
