group,rank,image,accepted_cut_pixels,delta_dice,delta_recall,delta_boundary_iou,delta_boundary_f1,delta_gap_region_fp_rate,delta_component_count_mae,delta_pred_component_count
safe_gap_gain,1,3840.png,170.0,0.0006950780496981501,-0.0006712002119579896,0.003577796575739617,0.004789798264113687,-0.00532322630099652,0.0,0.0
safe_gap_gain,2,2248.png,131.0,0.000550865203006401,-0.0008413866051252272,0.0038149334521750677,0.004959016379713133,-0.004938779709846741,0.0,0.0
safe_gap_gain,3,6698.png,36.0,0.00045197635372318246,-0.0002069022593726988,0.0028608685286237723,0.0033202936831531193,-0.0019051130776794323,0.0,0.0
safe_gap_gain,4,2044.png,162.0,-0.0007364278856256679,-0.0020786262991413507,-0.0005516155909587317,-0.0007428219975365025,-0.0018251505749224406,0.0,0.0
safe_gap_gain,5,3700.png,82.0,0.0004069747441879379,-3.6828795207277665e-05,0.0005171338613313703,0.0007628589326296731,-0.001558210284187872,0.0,0.0
safe_gap_gain,6,15067.png,46.0,0.00025971646999722875,-7.986582541330556e-05,0.0016040999329915984,0.0019279091345384969,-0.0015450126238836515,0.0,0.0
safe_gap_gain,7,2246.png,22.0,-5.463602191690953e-05,-0.00028487593652959387,0.00022910435878595314,0.00038284528156865005,-0.0013343711775825606,0.0,0.0
safe_gap_gain,8,6605.png,177.0,-0.0007003468462497553,-0.0016795471095346626,-0.004657747731620032,-0.005777556399515327,-0.0012531328320802004,0.0,0.0
safe_gap_gain,9,14041.png,54.0,-8.225848636955746e-05,-0.00046450298180955585,0.0007832458711168333,0.0009347350272972399,-0.0009036262915962656,0.0,0.0
safe_gap_gain,10,3678.png,16.0,0.00022695116279891625,0.0,0.0003000057346151386,0.00034709329779974984,-0.0008964087623956479,0.0,0.0
safe_gap_gain,11,1828.png,122.0,-0.0003106015558889119,-0.0008145800884401533,-0.0021604393987803006,-0.003058147713821291,-0.0008702975856260398,1.0,0.0
safe_gap_gain,12,3269.png,26.0,-3.183587131860843e-05,-0.00038553931018125986,0.00020454894703592075,0.00023585679810483873,-0.0007211405114550401,0.0,0.0
boundary_gain,1,2248.png,131.0,0.000550865203006401,-0.0008413866051252272,0.0038149334521750677,0.004959016379713133,-0.004938779709846741,0.0,0.0
boundary_gain,2,3840.png,170.0,0.0006950780496981501,-0.0006712002119579896,0.003577796575739617,0.004789798264113687,-0.00532322630099652,0.0,0.0
boundary_gain,3,6698.png,36.0,0.00045197635372318246,-0.0002069022593726988,0.0028608685286237723,0.0033202936831531193,-0.0019051130776794323,0.0,0.0
boundary_gain,4,15067.png,46.0,0.00025971646999722875,-7.986582541330556e-05,0.0016040999329915984,0.0019279091345384969,-0.0015450126238836515,0.0,0.0
boundary_gain,5,14041.png,54.0,-8.225848636955746e-05,-0.00046450298180955585,0.0007832458711168333,0.0009347350272972399,-0.0009036262915962656,0.0,0.0
boundary_gain,6,15369.png,28.0,-8.81649402546536e-05,-0.0003748043300924042,0.0005838537866470483,0.0006624111254738829,-0.0004729352078765292,0.0,0.0
boundary_gain,7,3700.png,82.0,0.0004069747441879379,-3.6828795207277665e-05,0.0005171338613313703,0.0007628589326296731,-0.001558210284187872,0.0,0.0
boundary_gain,8,13867.png,20.0,1.3730895622399153e-05,-0.00017256999870574052,0.00042238648363251974,0.0006269703913667213,-0.0005110297248956952,0.0,0.0
boundary_gain,9,7654.png,28.0,-3.2327718782920734e-05,-0.00041014823929219624,0.00035081903945999304,0.00040881608323273255,-0.0006885020163273359,0.0,0.0
boundary_gain,10,3678.png,16.0,0.00022695116279891625,0.0,0.0003000057346151386,0.00034709329779974984,-0.0008964087623956479,0.0,0.0
boundary_gain,11,2246.png,22.0,-5.463602191690953e-05,-0.00028487593652959387,0.00022910435878595314,0.00038284528156865005,-0.0013343711775825606,0.0,0.0
boundary_gain,12,3269.png,26.0,-3.183587131860843e-05,-0.00038553931018125986,0.00020454894703592075,0.00023585679810483873,-0.0007211405114550401,0.0,0.0
component_gain,1,15040.png,96.0,-0.0006895315901468413,-0.0013710470626806526,-0.0017896418253662283,-0.0021789813863340446,-0.00015080681646811867,-1.0,0.0
component_gain,2,3392.png,61.0,-0.000450833999297684,-0.0009926695174098388,-0.002501608442601888,-0.0030885006094909517,-0.00039152564492975217,-1.0,0.0
component_gain,3,13441.png,12.0,-0.0003024088131735603,-0.0005380442092991489,-0.0007975984813403669,-0.0009157483680801715,0.0,0.0,0.0
component_gain,4,13867.png,20.0,1.3730895622399153e-05,-0.00017256999870574052,0.00042238648363251974,0.0006269703913667213,-0.0005110297248956952,0.0,0.0
component_gain,5,14041.png,54.0,-8.225848636955746e-05,-0.00046450298180955585,0.0007832458711168333,0.0009347350272972399,-0.0009036262915962656,0.0,0.0
component_gain,6,15067.png,46.0,0.00025971646999722875,-7.986582541330556e-05,0.0016040999329915984,0.0019279091345384969,-0.0015450126238836515,0.0,0.0
component_gain,7,15369.png,28.0,-8.81649402546536e-05,-0.0003748043300924042,0.0005838537866470483,0.0006624111254738829,-0.0004729352078765292,0.0,0.0
component_gain,8,1620.png,82.0,-0.00049168928179677,-0.0009259050156952275,-0.00269782621388559,-0.0033893919636251435,0.0,0.0,0.0
component_gain,9,1660.png,64.0,-0.00019970026554438913,-0.0003715378765449806,-0.0003830096015864648,-0.0005941537711519618,0.0,0.0,0.0
component_gain,10,1694.png,65.0,-0.00023299905214324568,-0.0004229100112559392,-0.001827481481018578,-0.002890398471979666,0.0,0.0,0.0
component_gain,11,1736.png,38.0,-0.0001632712678649728,-0.0002893650721128571,-3.088976772656904e-05,-4.933331616208125e-05,0.0,0.0,0.0
component_gain,12,1827.png,57.0,-6.5006892898678e-05,-0.0002379976464677025,-0.00045905502394399944,-0.0007130388906310126,-0.0006160164271047375,0.0,0.0
risk_check,1,1828.png,122.0,-0.0003106015558889119,-0.0008145800884401533,-0.0021604393987803006,-0.003058147713821291,-0.0008702975856260398,1.0,0.0
risk_check,2,6605.png,177.0,-0.0007003468462497553,-0.0016795471095346626,-0.004657747731620032,-0.005777556399515327,-0.0012531328320802004,0.0,0.0
risk_check,3,1620.png,82.0,-0.00049168928179677,-0.0009259050156952275,-0.00269782621388559,-0.0033893919636251435,0.0,0.0,0.0
risk_check,4,1694.png,65.0,-0.00023299905214324568,-0.0004229100112559392,-0.001827481481018578,-0.002890398471979666,0.0,0.0,0.0
risk_check,5,3366.png,18.0,-0.00022155702642001618,-0.0005464480874316502,-0.0011459581243704053,-0.0013829176742609084,-0.00032345710958726903,0.0,0.0
risk_check,6,3777.png,38.0,-0.0003084548969843892,-0.000569433413753373,-0.0008072165715854451,-0.001117796744047883,0.0,0.0,0.0
risk_check,7,13441.png,12.0,-0.0003024088131735603,-0.0005380442092991489,-0.0007975984813403669,-0.0009157483680801715,0.0,0.0,0.0
risk_check,8,3460.png,48.0,-0.00011884285112140347,-0.00031814205042557386,-0.0007831464104846031,-0.0010753173696349538,-0.0003747423646243142,0.0,0.0
