bbox_h,bbox_w,candidate_rank,check_all,check_component_cut_frac,check_gradient_support,check_neck_shape,check_piece_area,check_split_gain,component_area,component_id,cut_area,cut_frac_component,dist_ratio,fill,gradient_ratio,image,min_piece_area,min_piece_frac,piece_count,slenderness,split_gain,would_exceed_max_cut_frac
56.0,9.0,1,0.0,1.0,1.0,1.0,0.0,0.0,17815.0,19.0,154.0,0.008644400785854617,0.12149416611778324,0.3055555555555556,2.3946853368399355,11852.png,0.0,0.0,1.0,6.222222222222222,0.0,0.0
36.0,6.0,2,0.0,1.0,1.0,1.0,0.0,0.0,5358.0,20.0,77.0,0.01437103396789847,0.1365591750433737,0.35648148148148145,3.2493168358464777,11852.png,0.0,0.0,1.0,6.0,0.0,0.0
24.0,3.0,3,0.0,1.0,1.0,1.0,0.0,0.0,5358.0,20.0,49.0,0.009145203434117209,0.1367621087979942,0.6805555555555556,2.8088016492446557,11852.png,0.0,0.0,1.0,8.0,0.0,0.0
21.0,3.0,4,0.0,1.0,1.0,1.0,0.0,0.0,2953.0,11.0,42.0,0.014222824246528954,0.1614676778609071,0.6666666666666666,1.9190602173468279,11852.png,0.0,0.0,1.0,7.0,0.0,0.0
15.0,4.0,5,0.0,1.0,1.0,1.0,0.0,0.0,2303.0,14.0,30.0,0.013026487190620929,0.1801776695296637,0.5,2.2941112723476924,11852.png,0.0,0.0,1.0,3.75,0.0,0.0
8.0,33.0,1,0.0,1.0,1.0,1.0,0.0,0.0,4981.0,24.0,66.0,0.013250351335073279,0.16829008720779415,0.25,3.0340807206145146,13480.png,0.0,0.0,1.0,4.125,0.0,0.0
6.0,27.0,2,0.0,1.0,1.0,1.0,0.0,0.0,4981.0,24.0,54.0,0.010841196546878137,0.17048311955924866,0.3333333333333333,3.1206569804169297,13480.png,0.0,0.0,1.0,4.5,0.0,0.0
11.0,2.0,3,0.0,1.0,1.0,1.0,0.0,0.0,2838.0,12.0,22.0,0.007751937984496124,0.16770509831248423,1.0,2.455059136033497,13480.png,0.0,0.0,1.0,5.5,0.0,0.0
3.0,10.0,4,0.0,1.0,1.0,1.0,0.0,0.0,4981.0,24.0,20.0,0.004015257980325236,0.17213366496060648,0.6666666666666666,1.9389288528284547,13480.png,0.0,0.0,1.0,3.3333333333333335,0.0,0.0
19.0,15.0,5,0.0,1.0,1.0,1.0,0.0,0.0,13943.0,21.0,51.0,0.003657749408305243,0.1137178694003392,0.17894736842105263,2.0643069752688863,13480.png,0.0,0.0,1.0,1.2666666666666666,0.0,0.0
23.0,5.0,1,0.0,1.0,1.0,1.0,0.0,0.0,27090.0,20.0,58.0,0.0021410114433370246,0.15367316701419195,0.5043478260869565,2.0007028469025245,15040.png,0.0,0.0,1.0,4.6,0.0,0.0
3.0,18.0,2,0.0,1.0,1.0,1.0,0.0,0.0,27090.0,20.0,38.0,0.0014027316352897747,0.1574577258228791,0.7037037037037037,2.3832952423205667,15040.png,0.0,0.0,1.0,6.0,0.0,0.0
6.0,23.0,3,0.0,1.0,1.0,1.0,0.0,1.0,27090.0,20.0,56.0,0.0020671834625322996,0.12870191947386103,0.4057971014492754,2.4692493907233675,15040.png,0.0,0.0,2.0,3.8333333333333335,1.0,0.0
4.0,17.0,4,0.0,1.0,1.0,1.0,0.0,0.0,27090.0,20.0,40.0,0.0014765596160944998,0.13153060399616368,0.5882352941176471,2.0398101346696955,15040.png,0.0,0.0,1.0,4.25,0.0,0.0
23.0,7.0,5,0.0,1.0,1.0,1.0,0.0,0.0,5972.0,21.0,51.0,0.00853985264567984,0.13445454170862609,0.3167701863354037,3.2658258069221233,15040.png,0.0,0.0,1.0,3.2857142857142856,0.0,0.0
77.0,14.0,1,0.0,1.0,1.0,1.0,0.0,0.0,15390.0,20.0,175.0,0.011371020142949967,0.11444934458734987,0.16233766233766234,3.406553939407328,1560.png,0.0,0.0,7.0,5.5,6.0,0.0
28.0,3.0,2,0.0,1.0,1.0,1.0,0.0,0.0,4748.0,11.0,57.0,0.012005054759898905,0.13566905119975434,0.6785714285714286,2.3117154530483006,1560.png,0.0,0.0,1.0,9.333333333333334,0.0,0.0
21.0,3.0,3,0.0,1.0,1.0,1.0,0.0,0.0,4116.0,12.0,42.0,0.01020408163265306,0.14272301885747893,0.6666666666666666,2.2225940726989233,1560.png,0.0,0.0,1.0,7.0,0.0,0.0
15.0,2.0,4,0.0,1.0,1.0,1.0,0.0,0.0,6853.0,19.0,30.0,0.00437764482708303,0.1212678125181665,1.0,3.6079370163839988,1560.png,0.0,0.0,1.0,7.5,0.0,0.0
3.0,18.0,5,0.0,1.0,1.0,1.0,0.0,0.0,2872.0,26.0,36.0,0.012534818941504178,0.20963661557438965,0.6666666666666666,2.0135348983463626,1560.png,0.0,0.0,1.0,6.0,0.0,0.0
