threshold,image,candidate_prob,candidate_rank,cut_frac_component,delta_dice,delta_boundary_iou,delta_boundary_f1,delta_surface_dice_2px,delta_surface_dice_5px,delta_assd_px,delta_gap_region_fp_rate,delta_recall,label_positive
0.5,15067.png,0.5835032110211272,2.0,0.001750913520097442,0.00025971646999722875,0.0016040999329915984,0.0019279091345384969,0.0015039244204373414,0.00024621853750761424,-0.007158405203608886,-0.0015450126238836515,-7.986582541330556e-05,1.0
0.5,15446.png,0.8176254206172734,1.0,0.00451758631816715,-9.206255139559971e-06,0.00023811216148977854,0.000320975766329612,0.0006207582822296276,-0.00022394756928711956,-0.000558332718898491,-0.0007050860204945025,-0.000299725635764192,1.0
0.5,1620.png,0.7167465558965654,2.0,0.002765039115187483,-0.00049168928179677,-0.00269782621388559,-0.0033893919636251435,-0.005259790053671498,1.4445628227832685e-05,0.011748670832162356,0.0,-0.0009259050156952275,0.0
0.5,2246.png,0.7548472524761815,2.0,0.001545155125442199,0.00025373813490803254,0.0020180960509008777,0.003366838208268691,0.003112496797839981,5.559854159109534e-05,-0.027081634236566288,-0.004225508729011451,0.0,0.0
0.5,2248.png,0.565814083981092,1.0,0.0020262008733624454,0.00034594775948626477,0.002513612611521804,0.0032708609863547067,0.0012462743160025491,-6.6980643577130294e-06,-0.00819391169107897,-0.002417944232945779,-0.00026443579018220476,1.0
0.5,3058.png,0.7022439957784083,2.0,0.0010485615046857593,-0.00034703584123618736,-0.0004268813381034242,-0.0005748307986175316,-0.002920443207920842,2.9978548331643928e-05,0.008484169435654998,0.0,-0.0006460035261025565,0.0
0.5,3468.png,0.7115098453592494,1.0,0.005226480836236934,-0.0008644346040402873,-0.0033947333967553894,-0.003851934296755677,-0.005140131508913903,6.352240663365372e-06,0.012510669543303932,0.0,-0.0015832991262535456,0.0
0.5,6605.png,0.7779746501104623,1.0,0.003118899634258532,-0.00046394721746856327,-0.002482126946986851,-0.0030736002590264766,-0.0030833480374198308,2.735971136569315e-05,0.010539007627784702,-0.0012531328320802004,-0.0012332338916163366,0.0
0.5,7259.png,0.6616383886428511,2.0,0.0057306590257879654,-0.00029930459391269704,-9.334871119046073e-05,-0.00012588496588239462,-0.00022446432070233335,-0.0012386781623194842,0.007172550885243378,0.0,-0.0005429864253393424,0.0
0.5,8253.png,0.7324985971885724,1.0,0.005647590361445783,-0.0003445195175100224,-0.00010043355795338882,-0.00013577542298764955,-0.0019158886888278603,1.626642879404283e-05,0.005781661686028894,0.0,-0.0006181233774261718,0.0
0.55,15067.png,0.5835032110211272,2.0,0.001750913520097442,0.00025971646999722875,0.0016040999329915984,0.0019279091345384969,0.0015039244204373414,0.00024621853750761424,-0.007158405203608886,-0.0015450126238836515,-7.986582541330556e-05,1.0
0.55,15446.png,0.8176254206172734,1.0,0.00451758631816715,-9.206255139559971e-06,0.00023811216148977854,0.000320975766329612,0.0006207582822296276,-0.00022394756928711956,-0.000558332718898491,-0.0007050860204945025,-0.000299725635764192,1.0
0.55,1620.png,0.7167465558965654,2.0,0.002765039115187483,-0.00049168928179677,-0.00269782621388559,-0.0033893919636251435,-0.005259790053671498,1.4445628227832685e-05,0.011748670832162356,0.0,-0.0009259050156952275,0.0
0.55,2246.png,0.7548472524761815,2.0,0.001545155125442199,0.00025373813490803254,0.0020180960509008777,0.003366838208268691,0.003112496797839981,5.559854159109534e-05,-0.027081634236566288,-0.004225508729011451,0.0,0.0
