threshold,max_cut_frac,max_rank,min_gradient,min_dist,min_slenderness,max_fill,accepted,positive,strict_useful,risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.8,0.006,2,1.4,0.09,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.09,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
