accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
1,1,-0.00013038512094937227,-0.00011208973469029049,0.00025320573528397894,-0.0005530973451327303,0.0004242936821069465,0.0,0.0,1,1.0,0.1,0,0.1
2,2,-0.0010307110563345379,-0.0007711633220832403,-0.0001577905591765294,-0.0003259484650872356,-0.0002637731945567823,-0.0005050731794917773,0.0,2,1.0,0.15,0,0.1
6,6,0.00032847205323342327,0.00019343590717788017,6.981748694488236e-05,-0.0008690256625565745,9.701032330448427e-05,-0.00030121260831613333,0.5,3,0.5,0.2,3,0.1
10,10,0.0003229732235632443,0.00018996747171854956,8.162964548630302e-06,-0.0008222168967709747,-1.0553751537134559e-07,-0.0003320608912634304,0.4,5,0.5,0.25,4,0.1
18,18,0.0005271562044719356,0.0003733080799974705,-2.641945203552604e-05,-0.0008065864325528411,-4.6386017442038664e-05,-0.00036374514187348383,0.3888888888888889,9,0.5,0.3,7,0.1
22,22,0.000318448582520257,0.00021657061378833696,-2.0359874723036526e-05,-0.0007914179346046198,-3.5454573401008915e-05,-0.000351096060337624,0.4090909090909091,11,0.5,0.35,9,0.1
29,29,0.00025258051179868516,0.00014214939011213124,-8.374998578031639e-05,-0.0008993026410648069,-0.00014553936078037024,-0.00043864057468406635,0.3103448275862069,16,0.5517241379310345,0.4,9,0.1
37,37,9.964480907555438e-05,1.6557374953564444e-05,-0.00010085975720460501,-0.0008403925869507506,-0.0001749283398831853,-0.00044471954045033346,0.2972972972972973,22,0.5945945945945946,0.45,11,0.1
45,45,-2.737040703971615e-05,-5.937977540115516e-05,-0.00011742032899593931,-0.0007976290622582621,-0.00019818874057629448,-0.00048645334076986076,0.3111111111111111,27,0.6,0.5,14,0.1
51,51,-0.00010832484187550727,-0.0001150108177875227,-0.00014106120162870944,-0.0007578410034961681,-0.00023640077551638792,-0.0005185196801771885,0.29411764705882354,31,0.6078431372549019,0.55,15,0.1
58,58,-0.00010208310056742263,-9.239301853407657e-05,-0.00015349325120493304,-0.0007324818870408561,-0.0002587570198118775,-0.0005369890355490897,0.3103448275862069,35,0.603448275862069,0.6,18,0.1
