accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
1,1,-0.00013038512094937227,-0.00011208973469029049,0.00025320573528397894,-0.0005530973451327303,0.0004242936821069465,0.0,0.0,1,1.0,0.1,0,0.1
4,4,0.0005623879080706162,0.00035437673482882626,0.0001572105021847292,-0.0006665516805079291,0.000230369567712857,-0.00020905335024606897,0.25,3,0.75,0.15,1,0.1
10,10,0.00022246842924340539,0.00011212310073388243,8.866697860884231e-05,-0.000681699058935676,0.00013604401309533776,-0.00020827682041767436,0.3,6,0.6,0.2,3,0.1
13,13,8.609569632820421e-05,2.331477389651602e-05,2.3422476662213413e-05,-0.0006222456573492086,2.6899526395212776e-05,-0.00028476843306484827,0.3076923076923077,8,0.6153846153846154,0.25,4,0.1
16,16,-0.00022814588906412692,-0.00020774028880576195,-2.3693778423997114e-05,-0.0005751444068963015,-4.627220613317301e-05,-0.0003404160986755708,0.3125,10,0.625,0.3,5,0.1
22,22,-0.0002313909103248867,-0.0002077161964026875,-7.1490397281291e-05,-0.0005231565553317645,-0.00012868407165721565,-0.00038332537497066564,0.3181818181818182,14,0.6363636363636364,0.35,7,0.1
29,29,-0.00029292911986254636,-0.0002486755353476407,-8.352556038815733e-05,-0.0005382830466707116,-0.00015290265903227776,-0.00043646448513565616,0.3103448275862069,19,0.6551724137931034,0.4,9,0.1
35,35,-0.00014084734401913887,-0.00015429531741276584,-8.890250582711851e-05,-0.000711028077439992,-0.0001619068581854978,-0.00044875011556147243,0.2857142857142857,23,0.6571428571428571,0.45,10,0.1
38,38,-0.00015561884350430286,-0.00016204638737072187,-0.00010969073536921728,-0.00069159508720376,-0.00019701220153266563,-0.00047756314649317097,0.2894736842105263,25,0.6578947368421053,0.5,11,0.1
43,43,-0.00025353407434618977,-0.0002344866538998882,-0.00013626114836711115,-0.0006668502667387017,-0.00023388761122134337,-0.0004964737103397688,0.2558139534883721,29,0.6744186046511628,0.55,11,0.1
49,49,-0.00018977388703902748,-0.00019059912295159184,-0.0001302423964790563,-0.00066587286293296,-0.000223722045661351,-0.000481166940738026,0.2653061224489796,32,0.6530612244897959,0.6,13,0.1
57,57,-0.00028174222026007193,-0.0002492275968759563,-0.0001226161558227537,-0.000643849460963445,-0.00020924223181466526,-0.00047116016056198155,0.2807017543859649,37,0.6491228070175439,0.65,16,0.1
64,64,-0.00019090279612111755,-0.000170099445021633,-0.00012338116509741717,-0.0007127261438910645,-0.0002092268921566028,-0.00047796907944105613,0.28125,42,0.65625,0.7,18,0.1
66,66,-0.00013656943237124708,-0.0001242582310587485,-0.0001145881995414453,-0.0007316119892255334,-0.00019438410631895478,-0.000471549827813214,0.30303030303030304,42,0.6363636363636364,0.75,20,0.1
75,75,-0.00019952896229037177,-0.00016845026749184606,-0.00012702043330016158,-0.0006603113452341887,-0.00021774223993934472,-0.0004792312772408754,0.25333333333333335,52,0.6933333333333334,0.8,19,0.1
1,1,-0.00013038512094937227,-0.00011208973469029049,0.00025320573528397894,-0.0005530973451327303,0.0004242936821069465,0.0,0.0,1,1.0,0.1,0,0.15
3,3,0.000132858638743479,8.136152890661497e-05,0.0002950853365698188,-0.0005846293176407872,0.00044929497040691047,-5.7523332901913506e-05,0.3333333333333333,2,0.6666666666666666,0.15,1,0.15
9,9,4.152317515355842e-05,-5.799038361848425e-06,0.0001270093096732181,-0.0006560746466941561,0.00019853853014696455,-0.00015768053354424537,0.3333333333333333,5,0.5555555555555556,0.2,3,0.15
12,12,-6.0977638648781106e-05,-7.252752432839599e-05,4.6742183131609494e-05,-0.0005980728980358631,6.467504029225579e-05,-0.0002531955189637077,0.3333333333333333,7,0.5833333333333334,0.25,4,0.15
15,15,-0.0003667539960718706,-0.0002998177982325101,-8.179096920894283e-06,-0.0005526661160820979,-2.0929910517430982e-05,-0.0003188676117687065,0.3333333333333333,9,0.6,0.3,5,0.15
21,21,-0.0003305512258666445,-0.0002734846987359326,-6.26845113913268e-05,-0.0005046250213423554,-0.00011450680648044955,-0.0003699768974798147,0.3333333333333333,13,0.6190476190476191,0.35,7,0.15
27,27,-0.0002576491936459529,-0.00021063654310338702,-6.200510994404642e-05,-0.0005443662809015289,-0.00011650175585745207,-0.0004099230241096395,0.3333333333333333,17,0.6296296296296297,0.4,9,0.15
33,33,-0.00010276487251808317,-0.00011745249236838407,-7.162074003581329e-05,-0.0007264746648875868,-0.0001326700100820477,-0.00042777895838417494,0.30303030303030304,21,0.6363636363636364,0.45,10,0.15
36,36,-0.0001215305501552887,-0.0001287044127443695,-9.50040183684152e-05,-0.0007046748484620423,-0.0001721620542904568,-0.0004599403096879648,0.3055555555555556,23,0.6388888888888888,0.5,11,0.15
41,41,-0.00022837924266617181,-0.00020874444527817226,-0.0001246616121224017,-0.0006771278707476785,-0.00021386677021299793,-0.0004819224665033243,0.2682926829268293,27,0.6585365853658537,0.55,11,0.15
47,47,-0.00016511711100721768,-0.00016627559921995468,-0.00011986753499375424,-0.0006747968407362911,-0.00020582447943875214,-0.00046782195059977684,0.2765957446808511,30,0.6382978723404256,0.6,13,0.15
52,52,-0.00023579080745601458,-0.00021421421272642966,-0.0001197520612775671,-0.0006682597713027571,-0.00020357063900985586,-0.00047000057898792844,0.3076923076923077,32,0.6153846153846154,0.65,16,0.15
59,59,-0.0001815827840033418,-0.00016667049713191837,-0.00011866199966521421,-0.0007084470270117579,-0.0002012379730087339,-0.0004694951346196625,0.3050847457627119,37,0.6271186440677966,0.7,18,0.15
61,61,-0.00012310144001554017,-0.00011718423113567335,-0.00010930302596308736,-0.0007290211913696851,-0.00018544049715645472,-0.00046282754908204293,0.32786885245901637,37,0.6065573770491803,0.75,20,0.15
67,67,-0.00016700266121848776,-0.00014961806926009827,-0.0001187558071917954,-0.000676604625561275,-0.0002039497923725922,-0.0004730778712644188,0.2835820895522388,44,0.6567164179104478,0.8,19,0.15
1,1,-0.00013038512094937227,-0.00011208973469029049,0.00025320573528397894,-0.0005530973451327303,0.0004242936821069465,0.0,0.0,1,1.0,0.1,0,0.2
3,3,0.000132858638743479,8.136152890661497e-05,0.0002950853365698188,-0.0005846293176407872,0.00044929497040691047,-5.7523332901913506e-05,0.3333333333333333,2,0.6666666666666666,0.15,1,0.2
9,9,4.152317515355842e-05,-5.799038361848425e-06,0.0001270093096732181,-0.0006560746466941561,0.00019853853014696455,-0.00015768053354424537,0.3333333333333333,5,0.5555555555555556,0.2,3,0.2
12,12,-6.0977638648781106e-05,-7.252752432839599e-05,4.6742183131609494e-05,-0.0005980728980358631,6.467504029225579e-05,-0.0002531955189637077,0.3333333333333333,7,0.5833333333333334,0.25,4,0.2
15,15,-0.0003667539960718706,-0.0002998177982325101,-8.179096920894283e-06,-0.0005526661160820979,-2.0929910517430982e-05,-0.0003188676117687065,0.3333333333333333,9,0.6,0.3,5,0.2
21,21,-0.0003305512258666445,-0.0002734846987359326,-6.26845113913268e-05,-0.0005046250213423554,-0.00011450680648044955,-0.0003699768974798147,0.3333333333333333,13,0.6190476190476191,0.35,7,0.2
27,27,-0.0002576491936459529,-0.00021063654310338702,-6.200510994404642e-05,-0.0005443662809015289,-0.00011650175585745207,-0.0004099230241096395,0.3333333333333333,17,0.6296296296296297,0.4,9,0.2
