accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
0,0,,,,,,,0.0,0,0.0,0.1,0,0.1
0,0,,,,,,,0.0,0,0.0,0.15,0,0.1
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.1
4,4,0.0011559059100597277,0.000718623413513541,-0.00031350473850882965,-0.0014658051371481198,-0.0005240040206061503,-0.000855201994519661,0.0,4,1.0,0.25,0,0.1
6,6,0.00045976401133563755,0.00021666515898609295,-0.0002081878833645745,-0.001224975382736193,-0.00035196396537501284,-0.0007189207509402847,0.0,5,0.8333333333333334,0.3,0,0.1
12,12,-0.00024545647383373653,-0.0002969173766126885,-0.00017318317023048055,-0.00087830200963458,-0.0002966172717683291,-0.0005816040514218801,0.08333333333333333,10,0.8333333333333334,0.35,1,0.1
24,24,-0.00040650532356411445,-0.000366196510101163,-0.0001626674293479837,-0.0005307792558071305,-0.00027380001110973345,-0.0004883011426870901,0.08333333333333333,21,0.875,0.4,2,0.1
53,53,-0.00044703834241563434,-0.00033460691850774614,-0.00019323409858292817,-0.0005700064613731001,-0.00031308618195101834,-0.0005363915156043556,0.1509433962264151,42,0.7924528301886793,0.45,8,0.1
73,73,-0.0006034071640221694,-0.0004721046825266043,-0.00016568427508323932,-0.0004995701093260614,-0.00027703884622141294,-0.0004932421174478721,0.2054794520547945,56,0.7671232876712328,0.5,15,0.1
83,83,-0.0005050454516659324,-0.00040118126153706454,-0.0001606458331197687,-0.0005336566377061287,-0.00027118668415022196,-0.000494094822728408,0.20481927710843373,62,0.7469879518072289,0.55,17,0.1
90,90,-0.0005013137620730311,-0.00039400384035497254,-0.00014830571673682587,-0.0005578402773103055,-0.00025120032760691955,-0.0004912313972222532,0.2111111111111111,67,0.7444444444444445,0.6,19,0.1
91,91,-0.0004636134277099185,-0.00036316067891330124,-0.0001433178679832603,-0.0005517101643728295,-0.00024264473524024052,-0.00047972501338638403,0.2087912087912088,68,0.7472527472527473,0.65,19,0.1
92,92,-0.00048345897409939596,-0.0003751442274928046,-0.00014443035978120095,-0.0005522918169666994,-0.00024463328998078045,-0.00048063075406410826,0.20652173913043478,69,0.75,0.7,19,0.1
92,92,-0.0005428743195827515,-0.0004158398578337709,-0.00016069826834661443,-0.0005330980723557123,-0.00027273962620737413,-0.0005071420714009821,0.20652173913043478,70,0.7608695652173914,0.75,19,0.1
92,92,-0.0005428743195827515,-0.0004158398578337709,-0.00016069826834661443,-0.0005330980723557123,-0.00027273962620737413,-0.0005071420714009821,0.20652173913043478,70,0.7608695652173914,0.8,19,0.1
0,0,,,,,,,0.0,0,0.0,0.1,0,0.15
0,0,,,,,,,0.0,0,0.0,0.15,0,0.15
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.15
4,4,0.0011559059100597277,0.000718623413513541,-0.00031350473850882965,-0.0014658051371481198,-0.0005240040206061503,-0.000855201994519661,0.0,4,1.0,0.25,0,0.15
6,6,0.00045976401133563755,0.00021666515898609295,-0.0002081878833645745,-0.001224975382736193,-0.00035196396537501284,-0.0007189207509402847,0.0,5,0.8333333333333334,0.3,0,0.15
12,12,-0.00024545647383373653,-0.0002969173766126885,-0.00017318317023048055,-0.00087830200963458,-0.0002966172717683291,-0.0005816040514218801,0.08333333333333333,10,0.8333333333333334,0.35,1,0.15
