accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
0,0,,,,,,,0.0,0,0.0,0.1,0,0.1
0,0,,,,,,,0.0,0,0.0,0.15,0,0.1
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.1
3,3,0.0020703812985153522,0.0015857253832172364,9.3836123127559e-05,-0.0013013945849609336,0.00015373465225794933,-0.00029374921143199284,0.6666666666666666,1,0.3333333333333333,0.25,2,0.1
4,4,-0.0001217626898910723,-9.673237827317882e-05,-0.00019593281592383827,-0.00026360827701609607,-0.00034319085590076015,-0.00045673527262876656,0.25,3,0.75,0.3,1,0.1
9,9,-0.0007786678638731534,-0.0006455733183189141,-0.00024627233316085493,-0.00023580633967099703,-0.00041443513844055226,-0.0005326643044755164,0.1111111111111111,8,0.8888888888888888,0.35,1,0.1
12,12,-0.0004676698805469656,-0.000403339184602277,-0.00021262399519431097,-0.0003573736177018792,-0.0003560787520791031,-0.0004998812898455626,0.16666666666666666,9,0.75,0.4,2,0.1
13,13,-0.0008011075330391424,-0.0006272736720420372,-0.00026929493189545083,-0.0003086723443099152,-0.00045609228736963857,-0.0005877732116219814,0.15384615384615385,11,0.8461538461538461,0.45,2,0.1
16,16,-0.0006503954045862011,-0.0005057097832765643,-0.0003134482323218224,-0.0003867240027407397,-0.0005302395692284578,-0.0006771365231635143,0.125,14,0.875,0.5,2,0.1
20,20,-0.0005092790056862972,-0.000416247678476582,-0.0002560704634426092,-0.0007659614339723186,-0.0004366378377826552,-0.0006616149475814126,0.1,17,0.85,0.55,2,0.1
27,27,-0.0006113752418305344,-0.0004619087036460967,-0.0002863545427615651,-0.0006922622217699942,-0.0004883351367400125,-0.0007117638288317409,0.14814814814814814,22,0.8148148148148148,0.6,4,0.1
34,34,-0.0005716124761821459,-0.0004385875474282952,-0.00022904640047750156,-0.0007089032035365042,-0.0003907510169761717,-0.0006272157617328284,0.17647058823529413,27,0.7941176470588235,0.65,6,0.1
38,38,-0.0005633863085129226,-0.0004237773010221537,-0.0002482116891105738,-0.0007123638366647978,-0.00042558743189624604,-0.0006918252665311127,0.15789473684210525,30,0.7894736842105263,0.7,6,0.1
42,42,-0.00029958868302431575,-0.0002206922526271003,-0.00018697376589968528,-0.0006934395505385118,-0.0003181157841121916,-0.000596557432148275,0.21428571428571427,31,0.7380952380952381,0.75,9,0.1
43,43,-0.0002522724596990105,-0.00019069975239869655,-0.0001915760185772297,-0.0007020666899066832,-0.00032473376963878116,-0.0005987833941501163,0.20930232558139536,32,0.7441860465116279,0.8,9,0.1
0,0,,,,,,,0.0,0,0.0,0.1,0,0.15
0,0,,,,,,,0.0,0,0.0,0.15,0,0.15
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.15
3,3,0.0020703812985153522,0.0015857253832172364,9.3836123127559e-05,-0.0013013945849609336,0.00015373465225794933,-0.00029374921143199284,0.6666666666666666,1,0.3333333333333333,0.25,2,0.15
4,4,-0.0001217626898910723,-9.673237827317882e-05,-0.00019593281592383827,-0.00026360827701609607,-0.00034319085590076015,-0.00045673527262876656,0.25,3,0.75,0.3,1,0.15
9,9,-0.0007786678638731534,-0.0006455733183189141,-0.00024627233316085493,-0.00023580633967099703,-0.00041443513844055226,-0.0005326643044755164,0.1111111111111111,8,0.8888888888888888,0.35,1,0.15
