useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.45,0.15,3,1,1,0,0.3333333333333333,0.0,1.6,1855.png|2044.png|2246.png,2044.png,
0.5,0.15,3,1,1,0,0.3333333333333333,0.0,1.6,1855.png|2044.png|2246.png,2044.png,
0.55,0.15,3,1,1,0,0.3333333333333333,0.0,1.6,1855.png|2044.png|2246.png,2044.png,
0.6,0.15,3,1,1,0,0.3333333333333333,0.0,1.6,1855.png|2044.png|2246.png,2044.png,
0.65,0.15,2,1,1,0,0.5,0.0,1.4,2044.png|2246.png,2044.png,
0.7,0.15,2,1,1,0,0.5,0.0,1.4,2044.png|2246.png,2044.png,
0.1,0.1,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.15,0.1,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.2,0.1,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.25,0.1,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.3,0.1,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.35,0.1,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.75,0.15,1,0,0,0,0.0,0.0,0.2,2246.png,,
0.8,0.15,1,0,0,0,0.0,0.0,0.2,2246.png,,
0.8,0.2,1,0,0,0,0.0,0.0,0.2,2246.png,,
0.8,0.25,1,0,0,0,0.0,0.0,0.2,2246.png,,
0.8,0.3,1,0,0,0,0.0,0.0,0.2,2246.png,,
0.1,0.15,5,1,1,1,0.2,0.2,0.0,13436.png|1855.png|2044.png|2246.png|3493.png,2044.png,13436.png
0.15,0.15,5,1,1,1,0.2,0.2,0.0,13436.png|1855.png|2044.png|2246.png|3493.png,2044.png,13436.png
0.2,0.15,5,1,1,1,0.2,0.2,0.0,13436.png|1855.png|2044.png|2246.png|3493.png,2044.png,13436.png
0.25,0.15,5,1,1,1,0.2,0.2,0.0,13436.png|1855.png|2044.png|2246.png|3493.png,2044.png,13436.png
0.3,0.15,5,1,1,1,0.2,0.2,0.0,13436.png|1855.png|2044.png|2246.png|3493.png,2044.png,13436.png
0.35,0.15,5,1,1,1,0.2,0.2,0.0,13436.png|1855.png|2044.png|2246.png|3493.png,2044.png,13436.png
0.4,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.45,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.5,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.55,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.6,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.65,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.7,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.75,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.8,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.4,0.15,4,1,1,1,0.25,0.25,-0.19999999999999996,13436.png|1855.png|2044.png|2246.png,2044.png,13436.png
0.6,0.25,6,2,2,2,0.3333333333333333,0.3333333333333333,-0.7999999999999998,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png,2044.png|3678.png,1399.png|7259.png
0.6,0.3,6,2,2,2,0.3333333333333333,0.3333333333333333,-0.7999999999999998,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png,2044.png|3678.png,1399.png|7259.png
0.65,0.25,5,2,2,2,0.4,0.4,-1.0,1399.png|2044.png|2246.png|3678.png|7259.png,2044.png|3678.png,1399.png|7259.png
0.65,0.3,5,2,2,2,0.4,0.4,-1.0,1399.png|2044.png|2246.png|3678.png|7259.png,2044.png|3678.png,1399.png|7259.png
0.7,0.25,5,2,2,2,0.4,0.4,-1.0,1399.png|2044.png|2246.png|3678.png|7259.png,2044.png|3678.png,1399.png|7259.png
0.7,0.3,5,2,2,2,0.4,0.4,-1.0,1399.png|2044.png|2246.png|3678.png|7259.png,2044.png|3678.png,1399.png|7259.png
0.75,0.2,2,0,0,1,0.0,0.5,-1.6,2246.png|7259.png,,7259.png
0.75,0.25,2,0,0,1,0.0,0.5,-1.6,2246.png|7259.png,,7259.png
0.75,0.3,2,0,0,1,0.0,0.5,-1.6,2246.png|7259.png,,7259.png
0.8,0.35,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.4,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.45,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.5,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.55,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.6,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.65,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.7,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.75,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.8,0.8,2,0,0,1,0.0,0.5,-1.6,2246.png|3392.png,,3392.png
0.45,0.2,5,1,1,2,0.2,0.4,-2.0,1399.png|1855.png|2044.png|2246.png|7259.png,2044.png,1399.png|7259.png
0.5,0.2,5,1,1,2,0.2,0.4,-2.0,1399.png|1855.png|2044.png|2246.png|7259.png,2044.png,1399.png|7259.png
0.55,0.2,5,1,1,2,0.2,0.4,-2.0,1399.png|1855.png|2044.png|2246.png|7259.png,2044.png,1399.png|7259.png
0.6,0.2,5,1,1,2,0.2,0.4,-2.0,1399.png|1855.png|2044.png|2246.png|7259.png,2044.png,1399.png|7259.png
0.65,0.2,4,1,1,2,0.25,0.5,-2.2,1399.png|2044.png|2246.png|7259.png,2044.png,1399.png|7259.png
0.7,0.2,4,1,1,2,0.25,0.5,-2.2,1399.png|2044.png|2246.png|7259.png,2044.png,1399.png|7259.png
0.45,0.25,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.5,0.25,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.5,0.3,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.55,0.25,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.55,0.3,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.6,0.35,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.5,7,3,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png|7654.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.35,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.4,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.45,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.35,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.4,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.45,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.5,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
