useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.1,0.1,2,0,0,0,0.0,0.0,0.4,1855.png|3493.png,,
0.15,0.1,2,0,0,0,0.0,0.0,0.4,1855.png|3493.png,,
0.2,0.1,2,0,0,0,0.0,0.0,0.4,1855.png|3493.png,,
0.25,0.1,2,0,0,0,0.0,0.0,0.4,1855.png|3493.png,,
0.3,0.1,1,0,0,0,0.0,0.0,0.2,1855.png,,
0.35,0.1,1,0,0,0,0.0,0.0,0.2,1855.png,,
0.4,0.1,1,0,0,0,0.0,0.0,0.2,1855.png,,
0.45,0.1,1,0,0,0,0.0,0.0,0.2,1855.png,,
0.5,0.1,1,0,0,0,0.0,0.0,0.2,1855.png,,
0.55,0.1,1,0,0,0,0.0,0.0,0.2,1855.png,,
0.6,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.65,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.7,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.7,0.15,0,0,0,0,0.0,0.0,0.0,,,
0.75,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.75,0.15,0,0,0,0,0.0,0.0,0.0,,,
0.8,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.8,0.15,0,0,0,0,0.0,0.0,0.0,,,
0.1,0.15,4,1,1,1,0.25,0.25,-0.19999999999999996,1399.png|1855.png|2044.png|3493.png,2044.png,1399.png
0.15,0.15,4,1,1,1,0.25,0.25,-0.19999999999999996,1399.png|1855.png|2044.png|3493.png,2044.png,1399.png
0.2,0.15,4,1,1,1,0.25,0.25,-0.19999999999999996,1399.png|1855.png|2044.png|3493.png,2044.png,1399.png
0.25,0.15,4,1,1,1,0.25,0.25,-0.19999999999999996,1399.png|1855.png|2044.png|3493.png,2044.png,1399.png
0.3,0.15,3,1,1,1,0.3333333333333333,0.3333333333333333,-0.3999999999999999,1399.png|1855.png|2044.png,2044.png,1399.png
0.35,0.15,3,1,1,1,0.3333333333333333,0.3333333333333333,-0.3999999999999999,1399.png|1855.png|2044.png,2044.png,1399.png
0.4,0.15,3,1,1,1,0.3333333333333333,0.3333333333333333,-0.3999999999999999,1399.png|1855.png|2044.png,2044.png,1399.png
0.45,0.15,3,1,1,1,0.3333333333333333,0.3333333333333333,-0.3999999999999999,1399.png|1855.png|2044.png,2044.png,1399.png
0.5,0.15,3,1,1,1,0.3333333333333333,0.3333333333333333,-0.3999999999999999,1399.png|1855.png|2044.png,2044.png,1399.png
0.55,0.15,3,1,1,1,0.3333333333333333,0.3333333333333333,-0.3999999999999999,1399.png|1855.png|2044.png,2044.png,1399.png
