useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.1,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.15,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.2,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.25,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.3,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.35,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.4,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.45,0.2,2,0,0,0,0.0,0.0,0.4,1585.png|3493.png,,
0.1,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.15,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.2,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.25,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.3,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.35,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.4,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.45,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.5,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.5,0.2,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.55,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.55,0.2,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.6,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.6,0.2,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.65,0.15,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.65,0.2,1,0,0,0,0.0,0.0,0.2,3493.png,,
0.1,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.15,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.2,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.25,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.3,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.35,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.4,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.45,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.5,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.55,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.6,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.65,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.7,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.7,0.15,0,0,0,0,0.0,0.0,0.0,,,
0.7,0.2,0,0,0,0,0.0,0.0,0.0,,,
0.75,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.75,0.15,0,0,0,0,0.0,0.0,0.0,,,
0.75,0.2,0,0,0,0,0.0,0.0,0.0,,,
0.8,0.1,0,0,0,0,0.0,0.0,0.0,,,
0.8,0.15,0,0,0,0,0.0,0.0,0.0,,,
0.8,0.2,0,0,0,0,0.0,0.0,0.0,,,
0.75,0.25,2,1,1,1,0.5,0.5,-0.6,2044.png|4193.png,2044.png,4193.png
