accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
19,19,0.5394736842105263,0.00011125007247956316,5.545971898444255e-05,-8.753591997969299e-05,-0.0005411671462916337,-0.0001463817998065626,-0.00031987476936081843,0.47368421052631576,8,0.42105263157894735,0.1,9,0.1
40,40,0.4875,0.0001303944469756353,6.394244746604598e-05,-6.610842533918692e-05,-0.0004724573631369567,-0.0001112173765749791,-0.00026701003984788143,0.425,18,0.45,0.15,17,0.1
57,57,0.49122807017543857,2.1542775214890942e-05,-2.8380823924580485e-05,-5.9720296870595304e-05,-0.00043209617443892335,-0.00010366916618068442,-0.0002666260714330299,0.43859649122807015,27,0.47368421052631576,0.2,25,0.1
66,66,0.5075757575757576,2.9921201264443337e-05,-9.73088761918048e-06,-5.277832867049061e-05,-0.00037265822252073534,-9.313035769336502e-05,-0.00025215998448696597,0.4393939393939394,35,0.5303030303030303,0.25,29,0.1
72,72,0.5277777777777778,-6.793825690178768e-05,-7.87959319371732e-05,-6.390424613030483e-05,-0.0003392583706280984,-0.00011190073329129617,-0.00026153837467605815,0.4166666666666667,40,0.5555555555555556,0.3,30,0.1
81,81,0.5246913580246914,2.8555443282478348e-05,5.269260939786886e-06,-5.520705899224269e-05,-0.0003568253008980577,-9.724720653306901e-05,-0.00024181179670251863,0.43209876543209874,44,0.5432098765432098,0.35,35,0.1
83,83,0.5240963855421686,3.2423801468376235e-05,8.575605249930619e-06,-5.132817910378042e-05,-0.00035224090224419074,-9.097569570155042e-05,-0.00023525812023439396,0.4457831325301205,44,0.5301204819277109,0.4,37,0.1
85,85,0.5264705882352941,-1.858813024571856e-06,-1.9974382135219764e-05,-5.514953815772566e-05,-0.00035099807792812325,-9.786439276580791e-05,-0.00024121522489984435,0.4470588235294118,45,0.5294117647058824,0.45,38,0.1
86,86,0.5377906976744186,-2.364400799575263e-05,-3.8279781562434356e-05,-5.992910332503965e-05,-0.0003656328928204056,-0.00010604742424247571,-0.00025319309212377543,0.45348837209302323,45,0.5232558139534884,0.5,39,0.1
87,87,0.5431034482758621,-4.831739900466503e-05,-5.892626933651846e-05,-6.328672295404932e-05,-0.0003544999658263562,-0.00011187801144808143,-0.0002552110307829979,0.4367816091954023,47,0.5402298850574713,0.55,38,0.1
89,89,0.547752808988764,-5.899713206472784e-05,-6.565806850668577e-05,-6.316249879692686e-05,-0.00036453320878914044,-0.00011271466732043676,-0.00026015177331244026,0.42696629213483145,49,0.550561797752809,0.6,38,0.1
89,89,0.550561797752809,-4.162218682950557e-05,-5.051555207704907e-05,-6.0506438051495325e-05,-0.0003675106066178731,-0.00010819218095646089,-0.00025712905303547937,0.43820224719101125,48,0.5393258426966292,0.65,39,0.1
91,91,0.554945054945055,-4.411591210067698e-05,-5.202822174223162e-05,-6.102115688697465e-05,-0.00036128423122661855,-0.00010887232057503395,-0.00025600227055029584,0.43956043956043955,49,0.5384615384615384,0.7,40,0.1
91,91,0.554945054945055,-4.411591210067698e-05,-5.202822174223162e-05,-6.102115688697465e-05,-0.00036128423122661855,-0.00010887232057503395,-0.00025600227055029584,0.43956043956043955,49,0.5384615384615384,0.75,40,0.1
91,91,0.5494505494505495,-3.59156479468356e-05,-4.556708358558155e-05,-6.01356762924722e-05,-0.00036433216238238784,-0.0001074145526629366,-0.00025600227055029584,0.45054945054945056,48,0.5274725274725275,0.8,41,0.1
