accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
13,13,0.5,0.00047184589802078656,0.0003062558929632343,2.282695315906166e-06,-0.0005428422452439657,-1.8273110489955067e-06,-0.0001620440387806689,0.5384615384615384,5,0.38461538461538464,0.1,7,0.1
25,25,0.56,-0.00050163704382862,-0.0004043227316916642,-0.0001267850536460946,-0.00035474422181441757,-0.00021347953322419676,-0.00033278713184786034,0.32,16,0.64,0.15,8,0.1
43,43,0.5,-0.00015002761638452185,-0.00014466713371701046,-4.011798868875849e-05,-0.0003354898187392279,-7.356745219875179e-05,-0.00022743663813202343,0.3953488372093023,26,0.6046511627906976,0.2,17,0.1
56,56,0.5401785714285714,-8.813962074159352e-05,-9.229219474565042e-05,-4.38130816972102e-05,-0.0003530861804848997,-8.064072788146233e-05,-0.00024354771330054433,0.35714285714285715,35,0.625,0.25,20,0.1
63,63,0.5277777777777778,-8.072392510431758e-05,-8.481453288370086e-05,-4.651981505762693e-05,-0.0003328281200782261,-8.343083697613024e-05,-0.00023306324449753142,0.3333333333333333,41,0.6507936507936508,0.3,21,0.1
69,69,0.5181159420289855,-6.577975362795845e-05,-6.413053793065111e-05,-3.476808593670445e-05,-0.00032067242482826364,-6.379369555852341e-05,-0.0002043478687664638,0.3188405797101449,46,0.6666666666666666,0.35,22,0.1
76,76,0.5197368421052632,-9.394250955068857e-05,-8.85787948582733e-05,-4.048992677156328e-05,-0.00032230780336087156,-7.343215046658045e-05,-0.0002118169219655075,0.32894736842105265,50,0.6578947368421053,0.4,25,0.1
79,79,0.5411392405063291,-0.0001261095802575113,-0.00011682751097200037,-4.750255277474325e-05,-0.00031105044806613953,-8.527969892807574e-05,-0.00022083235845604817,0.3291139240506329,51,0.6455696202531646,0.45,26,0.1
82,82,0.5426829268292683,-0.00013911518008163958,-0.00012791151091404501,-5.2308175978407554e-05,-0.00030649399963864066,-9.337661558961929e-05,-0.00022662149513560733,0.32926829268292684,53,0.6463414634146342,0.5,27,0.1
83,83,0.5512048192771084,-0.00018373272069996594,-0.00016272031395481369,-5.707570007972994e-05,-0.0003027199089560261,-0.0001013960164457095,-0.00023352553822109502,0.3132530120481928,55,0.6626506024096386,0.55,26,0.1
85,85,0.5617647058823529,-0.00018297842355078723,-0.00016253989293716224,-5.782299897472927e-05,-0.0003004219567813209,-0.0001026869501457688,-0.0002331900976892496,0.3058823529411765,57,0.6705882352941176,0.6,26,0.1
86,86,0.5581395348837209,-0.00020993226655853837,-0.00017965469257288602,-5.9881453475667226e-05,-0.0002852501643439146,-0.00010621286323544201,-0.00023169222138823888,0.3023255813953488,58,0.6744186046511628,0.65,26,0.1
88,88,0.5710227272727273,-0.0002445379541606257,-0.00021073420707681622,-6.711052171823959e-05,-0.0002769144421045789,-0.0001181618774828501,-0.00024124239213201132,0.2840909090909091,61,0.6931818181818182,0.7,25,0.1
89,89,0.5758426966292135,-0.00023562444085467937,-0.00020362429304320232,-6.672263732141694e-05,-0.00028564545504346087,-0.00011744992689303155,-0.00024558171507127095,0.29213483146067415,61,0.6853932584269663,0.75,26,0.1
91,91,0.5769230769230769,-0.00022401402308732,-0.00019135749913659443,-6.17823767601626e-05,-0.00028229346036036536,-0.00010989038946758532,-0.0002392217054443172,0.2857142857142857,63,0.6923076923076923,0.8,26,0.1
13,13,0.5,0.00047184589802078656,0.0003062558929632343,2.282695315906166e-06,-0.0005428422452439657,-1.8273110489955067e-06,-0.0001620440387806689,0.5384615384615384,5,0.38461538461538464,0.1,7,0.15
25,25,0.56,-0.00050163704382862,-0.0004043227316916642,-0.0001267850536460946,-0.00035474422181441757,-0.00021347953322419676,-0.00033278713184786034,0.32,16,0.64,0.15,8,0.15
43,43,0.5,-0.00015002761638452185,-0.00014466713371701046,-4.011798868875849e-05,-0.0003354898187392279,-7.356745219875179e-05,-0.00022743663813202343,0.3953488372093023,26,0.6046511627906976,0.2,17,0.15
56,56,0.5401785714285714,-8.813962074159352e-05,-9.229219474565042e-05,-4.38130816972102e-05,-0.0003530861804848997,-8.064072788146233e-05,-0.00024354771330054433,0.35714285714285715,35,0.625,0.25,20,0.15
63,63,0.5277777777777778,-8.072392510431758e-05,-8.481453288370086e-05,-4.651981505762693e-05,-0.0003328281200782261,-8.343083697613024e-05,-0.00023306324449753142,0.3333333333333333,41,0.6507936507936508,0.3,21,0.15
69,69,0.5181159420289855,-6.577975362795845e-05,-6.413053793065111e-05,-3.476808593670445e-05,-0.00032067242482826364,-6.379369555852341e-05,-0.0002043478687664638,0.3188405797101449,46,0.6666666666666666,0.35,22,0.15
76,76,0.5197368421052632,-9.394250955068857e-05,-8.85787948582733e-05,-4.048992677156328e-05,-0.00032230780336087156,-7.343215046658045e-05,-0.0002118169219655075,0.32894736842105265,50,0.6578947368421053,0.4,25,0.15
79,79,0.5411392405063291,-0.0001261095802575113,-0.00011682751097200037,-4.750255277474325e-05,-0.00031105044806613953,-8.527969892807574e-05,-0.00022083235845604817,0.3291139240506329,51,0.6455696202531646,0.45,26,0.15
82,82,0.5426829268292683,-0.00013911518008163958,-0.00012791151091404501,-5.2308175978407554e-05,-0.00030649399963864066,-9.337661558961929e-05,-0.00022662149513560733,0.32926829268292684,53,0.6463414634146342,0.5,27,0.15
83,83,0.5512048192771084,-0.00018373272069996594,-0.00016272031395481369,-5.707570007972994e-05,-0.0003027199089560261,-0.0001013960164457095,-0.00023352553822109502,0.3132530120481928,55,0.6626506024096386,0.55,26,0.15
85,85,0.5617647058823529,-0.00018297842355078723,-0.00016253989293716224,-5.782299897472927e-05,-0.0003004219567813209,-0.0001026869501457688,-0.0002331900976892496,0.3058823529411765,57,0.6705882352941176,0.6,26,0.15
86,86,0.5581395348837209,-0.00020993226655853837,-0.00017965469257288602,-5.9881453475667226e-05,-0.0002852501643439146,-0.00010621286323544201,-0.00023169222138823888,0.3023255813953488,58,0.6744186046511628,0.65,26,0.15
88,88,0.5710227272727273,-0.0002445379541606257,-0.00021073420707681622,-6.711052171823959e-05,-0.0002769144421045789,-0.0001181618774828501,-0.00024124239213201132,0.2840909090909091,61,0.6931818181818182,0.7,25,0.15
89,89,0.5758426966292135,-0.00023562444085467937,-0.00020362429304320232,-6.672263732141694e-05,-0.00028564545504346087,-0.00011744992689303155,-0.00024558171507127095,0.29213483146067415,61,0.6853932584269663,0.75,26,0.15
91,91,0.5769230769230769,-0.00022401402308732,-0.00019135749913659443,-6.17823767601626e-05,-0.00028229346036036536,-0.00010989038946758532,-0.0002392217054443172,0.2857142857142857,63,0.6923076923076923,0.8,26,0.15
12,12,0.4791666666666667,0.0004364437900901824,0.0002799065512010211,-6.307370137144848e-06,-0.00041801501577565817,-1.7477715626527484e-05,-0.00016220125769103588,0.5833333333333334,5,0.4166666666666667,0.1,7,0.2
24,24,0.5520833333333334,-0.0005598998870376473,-0.0004471048452667249,-0.00013645790924603682,-0.00028449318943736594,-0.00023012357810359615,-0.00033998003684751016,0.3333333333333333,16,0.6666666666666666,0.15,8,0.2
43,43,0.5,-0.00015002761638452185,-0.00014466713371701046,-4.011798868875849e-05,-0.0003354898187392279,-7.356745219875179e-05,-0.00022743663813202343,0.3953488372093023,26,0.6046511627906976,0.2,17,0.2
56,56,0.5401785714285714,-8.813962074159352e-05,-9.229219474565042e-05,-4.38130816972102e-05,-0.0003530861804848997,-8.064072788146233e-05,-0.00024354771330054433,0.35714285714285715,35,0.625,0.25,20,0.2
63,63,0.5277777777777778,-8.072392510431758e-05,-8.481453288370086e-05,-4.651981505762693e-05,-0.0003328281200782261,-8.343083697613024e-05,-0.00023306324449753142,0.3333333333333333,41,0.6507936507936508,0.3,21,0.2
69,69,0.5181159420289855,-6.577975362795845e-05,-6.413053793065111e-05,-3.476808593670445e-05,-0.00032067242482826364,-6.379369555852341e-05,-0.0002043478687664638,0.3188405797101449,46,0.6666666666666666,0.35,22,0.2
76,76,0.5197368421052632,-9.394250955068857e-05,-8.85787948582733e-05,-4.048992677156328e-05,-0.00032230780336087156,-7.343215046658045e-05,-0.0002118169219655075,0.32894736842105265,50,0.6578947368421053,0.4,25,0.2
79,79,0.5411392405063291,-0.0001261095802575113,-0.00011682751097200037,-4.750255277474325e-05,-0.00031105044806613953,-8.527969892807574e-05,-0.00022083235845604817,0.3291139240506329,51,0.6455696202531646,0.45,26,0.2
82,82,0.5426829268292683,-0.00013911518008163958,-0.00012791151091404501,-5.2308175978407554e-05,-0.00030649399963864066,-9.337661558961929e-05,-0.00022662149513560733,0.32926829268292684,53,0.6463414634146342,0.5,27,0.2
83,83,0.5512048192771084,-0.00018373272069996594,-0.00016272031395481369,-5.707570007972994e-05,-0.0003027199089560261,-0.0001013960164457095,-0.00023352553822109502,0.3132530120481928,55,0.6626506024096386,0.55,26,0.2
85,85,0.5617647058823529,-0.00018297842355078723,-0.00016253989293716224,-5.782299897472927e-05,-0.0003004219567813209,-0.0001026869501457688,-0.0002331900976892496,0.3058823529411765,57,0.6705882352941176,0.6,26,0.2
86,86,0.5581395348837209,-0.00020993226655853837,-0.00017965469257288602,-5.9881453475667226e-05,-0.0002852501643439146,-0.00010621286323544201,-0.00023169222138823888,0.3023255813953488,58,0.6744186046511628,0.65,26,0.2
88,88,0.5710227272727273,-0.0002445379541606257,-0.00021073420707681622,-6.711052171823959e-05,-0.0002769144421045789,-0.0001181618774828501,-0.00024124239213201132,0.2840909090909091,61,0.6931818181818182,0.7,25,0.2
89,89,0.5758426966292135,-0.00023562444085467937,-0.00020362429304320232,-6.672263732141694e-05,-0.00028564545504346087,-0.00011744992689303155,-0.00024558171507127095,0.29213483146067415,61,0.6853932584269663,0.75,26,0.2
91,91,0.5769230769230769,-0.00022401402308732,-0.00019135749913659443,-6.17823767601626e-05,-0.00028229346036036536,-0.00010989038946758532,-0.0002392217054443172,0.2857142857142857,63,0.6923076923076923,0.8,26,0.2
12,12,0.4791666666666667,0.0004364437900901824,0.0002799065512010211,-6.307370137144848e-06,-0.00041801501577565817,-1.7477715626527484e-05,-0.00016220125769103588,0.5833333333333334,5,0.4166666666666667,0.1,7,0.25
24,24,0.5520833333333334,-0.0005598998870376473,-0.0004471048452667249,-0.00013645790924603682,-0.00028449318943736594,-0.00023012357810359615,-0.00033998003684751016,0.3333333333333333,16,0.6666666666666666,0.15,8,0.25
43,43,0.5,-0.00015002761638452185,-0.00014466713371701046,-4.011798868875849e-05,-0.0003354898187392279,-7.356745219875179e-05,-0.00022743663813202343,0.3953488372093023,26,0.6046511627906976,0.2,17,0.25
56,56,0.5401785714285714,-8.813962074159352e-05,-9.229219474565042e-05,-4.38130816972102e-05,-0.0003530861804848997,-8.064072788146233e-05,-0.00024354771330054433,0.35714285714285715,35,0.625,0.25,20,0.25
63,63,0.5277777777777778,-8.072392510431758e-05,-8.481453288370086e-05,-4.651981505762693e-05,-0.0003328281200782261,-8.343083697613024e-05,-0.00023306324449753142,0.3333333333333333,41,0.6507936507936508,0.3,21,0.25
69,69,0.5181159420289855,-6.577975362795845e-05,-6.413053793065111e-05,-3.476808593670445e-05,-0.00032067242482826364,-6.379369555852341e-05,-0.0002043478687664638,0.3188405797101449,46,0.6666666666666666,0.35,22,0.25
76,76,0.5197368421052632,-9.394250955068857e-05,-8.85787948582733e-05,-4.048992677156328e-05,-0.00032230780336087156,-7.343215046658045e-05,-0.0002118169219655075,0.32894736842105265,50,0.6578947368421053,0.4,25,0.25
79,79,0.5411392405063291,-0.0001261095802575113,-0.00011682751097200037,-4.750255277474325e-05,-0.00031105044806613953,-8.527969892807574e-05,-0.00022083235845604817,0.3291139240506329,51,0.6455696202531646,0.45,26,0.25
82,82,0.5426829268292683,-0.00013911518008163958,-0.00012791151091404501,-5.2308175978407554e-05,-0.00030649399963864066,-9.337661558961929e-05,-0.00022662149513560733,0.32926829268292684,53,0.6463414634146342,0.5,27,0.25
