accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
2,2,0.25,-0.0001830059637606407,-0.00011245938077865392,-4.172690714537852e-05,-0.0010211372421330134,-7.130133421817675e-05,-0.00032236390183892905,0.5,1,0.5,0.1,1,0.1
3,3,0.25,0.00015281280318005241,0.00010236205560674543,-2.871524480507759e-05,-0.0008429115585356824,-4.9060193376434157e-05,-0.0002479436401569742,0.3333333333333333,1,0.3333333333333333,0.15,1,0.1
6,6,0.25,2.794089179161685e-05,3.2207537127543207e-05,-7.276453511717573e-05,-0.0006359318433073746,-0.00012189073054036381,-0.000271382873974176,0.5,2,0.3333333333333333,0.2,3,0.1
11,11,0.29545454545454547,0.00029662159447682324,0.00023325016951506033,-6.430238773853917e-05,-0.0006798963060510537,-0.0001066036183387974,-0.0002698755221542544,0.5454545454545454,3,0.2727272727272727,0.25,6,0.1
19,19,0.27631578947368424,0.0005261272149036816,0.00037463587325015747,-2.2207185015028847e-05,-0.0006927006832281254,-3.761611967373638e-05,-0.0002093303433599504,0.5263157894736842,7,0.3684210526315789,0.3,10,0.1
29,29,0.3103448275862069,0.0003485699289092797,0.00026047764183070914,-8.285437857526695e-07,-0.0005623787142876617,-8.458060762309437e-07,-0.0001562833493811795,0.4482758620689655,15,0.5172413793103449,0.35,13,0.1
50,50,0.32,0.00023293276308387846,0.0001638474462147821,-9.901835050245555e-06,-0.0004276886503215181,-1.728254101150961e-05,-0.00014962490112202742,0.42,27,0.54,0.4,21,0.1
78,78,0.32371794871794873,0.00019854370699778237,0.00014088888609508154,-1.9371652634776928e-05,-0.00034520032936171053,-3.308567235421896e-05,-0.00015091127707267464,0.41025641025641024,42,0.5384615384615384,0.45,32,0.1
88,88,0.32954545454545453,0.0001412951525077261,0.00010047354235010698,-2.4344431843267593e-05,-0.0003158170253431711,-4.161744094632123e-05,-0.00015583718611667785,0.375,50,0.5681818181818182,0.5,33,0.1
90,90,0.3277777777777778,0.00014803581151023531,0.00010596836701117342,-2.3266956869760768e-05,-0.00031614905887828403,-4.0130642664046624e-05,-0.00015713033959479403,0.37777777777777777,51,0.5666666666666667,0.55,34,0.1
92,92,0.33152173913043476,0.0001550728216342061,0.00011022809795624272,-2.3613417872307634e-05,-0.00031591542212384445,-4.047299706150495e-05,-0.00015647155020558803,0.391304347826087,51,0.5543478260869565,0.6,36,0.1
92,92,0.32608695652173914,0.00015615576943931773,0.00011087660391610231,-2.2518368938951e-05,-0.0003219587698484034,-3.92484984453335e-05,-0.00015492331142010052,0.391304347826087,51,0.5543478260869565,0.65,36,0.1
92,92,0.32608695652173914,0.00015615576943931773,0.00011087660391610231,-2.2518368938951e-05,-0.0003219587698484034,-3.92484984453335e-05,-0.00015492331142010052,0.391304347826087,51,0.5543478260869565,0.7,36,0.1
92,92,0.32608695652173914,0.00015615576943931773,0.00011087660391610231,-2.2518368938951e-05,-0.0003219587698484034,-3.92484984453335e-05,-0.00015492331142010052,0.391304347826087,51,0.5543478260869565,0.75,36,0.1
92,92,0.32608695652173914,0.00015615576943931773,0.00011087660391610231,-2.2518368938951e-05,-0.0003219587698484034,-3.92484984453335e-05,-0.00015492331142010052,0.391304347826087,51,0.5543478260869565,0.8,36,0.1
2,2,0.25,-0.0001830059637606407,-0.00011245938077865392,-4.172690714537852e-05,-0.0010211372421330134,-7.130133421817675e-05,-0.00032236390183892905,0.5,1,0.5,0.1,1,0.15
3,3,0.25,0.00015281280318005241,0.00010236205560674543,-2.871524480507759e-05,-0.0008429115585356824,-4.9060193376434157e-05,-0.0002479436401569742,0.3333333333333333,1,0.3333333333333333,0.15,1,0.15
6,6,0.25,2.794089179161685e-05,3.2207537127543207e-05,-7.276453511717573e-05,-0.0006359318433073746,-0.00012189073054036381,-0.000271382873974176,0.5,2,0.3333333333333333,0.2,3,0.15
11,11,0.29545454545454547,0.00029662159447682324,0.00023325016951506033,-6.430238773853917e-05,-0.0006798963060510537,-0.0001066036183387974,-0.0002698755221542544,0.5454545454545454,3,0.2727272727272727,0.25,6,0.15
19,19,0.27631578947368424,0.0005261272149036816,0.00037463587325015747,-2.2207185015028847e-05,-0.0006927006832281254,-3.761611967373638e-05,-0.0002093303433599504,0.5263157894736842,7,0.3684210526315789,0.3,10,0.15
