accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
1,1,0.25,-0.0006062470065930636,-0.0003996149101999913,-0.00017164171748762502,-0.00012799180852424152,-0.00030128210108959497,-0.0003500711081938501,0.0,1,1.0,0.1,0,0.1
1,1,0.25,-0.0006062470065930636,-0.0003996149101999913,-0.00017164171748762502,-0.00012799180852424152,-0.00030128210108959497,-0.0003500711081938501,0.0,1,1.0,0.15,0,0.1
4,4,0.25,-0.0003107431706324826,-0.00019260648895925991,-0.00010933783767974603,-0.0006321836689017618,-0.00018335858140983152,-0.0003420567414906539,0.25,2,0.5,0.2,1,0.1
6,6,0.25,0.00019360947531343875,0.00015276951957389484,-7.165534793627619e-05,-0.0005251515958686106,-0.0001198947535382781,-0.00023405969254619574,0.3333333333333333,3,0.5,0.25,2,0.1
8,8,0.25,0.00023656143800763335,0.00018471554504374127,-5.1488929139156814e-05,-0.0005638060441897526,-8.462781253353036e-05,-0.00021892120370017865,0.375,4,0.5,0.3,3,0.1
16,16,0.328125,0.00017979634294544057,0.00013308407314968195,-4.8426863487716076e-05,-0.00038137675713418836,-8.118504733972687e-05,-0.00018482976670925605,0.3125,10,0.625,0.35,5,0.1
32,32,0.3671875,0.00033452101750240486,0.0002480532526551722,-5.413624190705318e-06,-0.00050206211135203,-8.250950032248627e-06,-0.00015643877192777003,0.375,18,0.5625,0.4,12,0.1
73,73,0.4349315068493151,8.894741116935445e-05,6.515137150769939e-05,-3.5860793794771355e-05,-0.0002826499834810033,-6.138677802526867e-05,-0.00016370771611554205,0.3013698630136986,48,0.6575342465753424,0.45,22,0.1
89,89,0.4438202247191011,-4.066385692405271e-05,-3.468575732591481e-05,-3.9971289818170155e-05,-0.00023833662620341314,-7.013323805548077e-05,-0.00016559632857097574,0.30337078651685395,59,0.6629213483146067,0.5,27,0.1
92,92,0.44021739130434784,2.8720732257203437e-05,2.3272090962266006e-05,-3.291372332509704e-05,-0.000250242607302526,-5.8000366106993836e-05,-0.00015984484408085913,0.31521739130434784,59,0.6413043478260869,0.55,29,0.1
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.6,29,0.1
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.65,29,0.1
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.7,29,0.1
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.75,29,0.1
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.8,29,0.1
1,1,0.25,-0.0006062470065930636,-0.0003996149101999913,-0.00017164171748762502,-0.00012799180852424152,-0.00030128210108959497,-0.0003500711081938501,0.0,1,1.0,0.1,0,0.15
1,1,0.25,-0.0006062470065930636,-0.0003996149101999913,-0.00017164171748762502,-0.00012799180852424152,-0.00030128210108959497,-0.0003500711081938501,0.0,1,1.0,0.15,0,0.15
4,4,0.25,-0.0003107431706324826,-0.00019260648895925991,-0.00010933783767974603,-0.0006321836689017618,-0.00018335858140983152,-0.0003420567414906539,0.25,2,0.5,0.2,1,0.15
6,6,0.25,0.00019360947531343875,0.00015276951957389484,-7.165534793627619e-05,-0.0005251515958686106,-0.0001198947535382781,-0.00023405969254619574,0.3333333333333333,3,0.5,0.25,2,0.15
8,8,0.25,0.00023656143800763335,0.00018471554504374127,-5.1488929139156814e-05,-0.0005638060441897526,-8.462781253353036e-05,-0.00021892120370017865,0.375,4,0.5,0.3,3,0.15
16,16,0.328125,0.00017979634294544057,0.00013308407314968195,-4.8426863487716076e-05,-0.00038137675713418836,-8.118504733972687e-05,-0.00018482976670925605,0.3125,10,0.625,0.35,5,0.15
32,32,0.3671875,0.00033452101750240486,0.0002480532526551722,-5.413624190705318e-06,-0.00050206211135203,-8.250950032248627e-06,-0.00015643877192777003,0.375,18,0.5625,0.4,12,0.15
73,73,0.4349315068493151,8.894741116935445e-05,6.515137150769939e-05,-3.5860793794771355e-05,-0.0002826499834810033,-6.138677802526867e-05,-0.00016370771611554205,0.3013698630136986,48,0.6575342465753424,0.45,22,0.15
89,89,0.4438202247191011,-4.066385692405271e-05,-3.468575732591481e-05,-3.9971289818170155e-05,-0.00023833662620341314,-7.013323805548077e-05,-0.00016559632857097574,0.30337078651685395,59,0.6629213483146067,0.5,27,0.15
92,92,0.44021739130434784,2.8720732257203437e-05,2.3272090962266006e-05,-3.291372332509704e-05,-0.000250242607302526,-5.8000366106993836e-05,-0.00015984484408085913,0.31521739130434784,59,0.6413043478260869,0.55,29,0.15
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.6,29,0.15
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.65,29,0.15
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.7,29,0.15
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.75,29,0.15
92,92,0.44021739130434784,3.6563896101714596e-05,3.0518322784174906e-05,-2.7110274864870474e-05,-0.0002627338559923458,-4.874496599862924e-05,-0.00015856989654495032,0.31521739130434784,59,0.6413043478260869,0.8,29,0.15
1,1,0.25,-0.0006062470065930636,-0.0003996149101999913,-0.00017164171748762502,-0.00012799180852424152,-0.00030128210108959497,-0.0003500711081938501,0.0,1,1.0,0.1,0,0.2
1,1,0.25,-0.0006062470065930636,-0.0003996149101999913,-0.00017164171748762502,-0.00012799180852424152,-0.00030128210108959497,-0.0003500711081938501,0.0,1,1.0,0.15,0,0.2
4,4,0.25,-0.0003107431706324826,-0.00019260648895925991,-0.00010933783767974603,-0.0006321836689017618,-0.00018335858140983152,-0.0003420567414906539,0.25,2,0.5,0.2,1,0.2
6,6,0.25,0.00019360947531343875,0.00015276951957389484,-7.165534793627619e-05,-0.0005251515958686106,-0.0001198947535382781,-0.00023405969254619574,0.3333333333333333,3,0.5,0.25,2,0.2
