accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
30,30,0.4166666666666667,0.00014207168773534563,8.377337570791657e-05,2.0351224803594194e-06,-0.00041966924457763783,-7.866362558669089e-06,-0.00016675609225325443,0.4,18,0.6,0.1,12,0.1
44,44,0.44886363636363635,1.964185427556838e-05,-1.5169572803089535e-05,-2.5347646173426693e-05,-0.0004227283357128039,-4.930248172629124e-05,-0.00020438667506101046,0.4090909090909091,25,0.5681818181818182,0.15,18,0.1
49,49,0.4642857142857143,8.17704769792404e-05,2.7459383057525694e-05,-2.0347274000204538e-05,-0.0004303916989871518,-4.224979613043356e-05,-0.00019853169602259736,0.4489795918367347,26,0.5306122448979592,0.2,22,0.1
61,61,0.47540983606557374,0.00012207102313185436,6.403635049764959e-05,-1.625519579541867e-05,-0.00045747180761536714,-3.472953338028276e-05,-0.00019654500526360347,0.45901639344262296,31,0.5081967213114754,0.25,28,0.1
70,70,0.48928571428571427,8.891480774929865e-05,3.7801140144974204e-05,-2.299106591643975e-05,-0.0004461607479560069,-4.5139647757463136e-05,-0.00020157343982013203,0.4714285714285714,35,0.5,0.3,33,0.1
70,70,0.4857142857142857,7.884781219731153e-05,3.232075976160875e-05,-2.296963898342457e-05,-0.00044727810752538303,-4.5025948153225106e-05,-0.0002025216448401701,0.45714285714285713,36,0.5142857142857142,0.35,32,0.1
73,73,0.4931506849315068,9.07512901044656e-05,4.529175125136991e-05,-2.404038068250065e-05,-0.0004359290124439312,-4.6255288379474404e-05,-0.00020124149602163285,0.4657534246575342,37,0.5068493150684932,0.4,34,0.1
78,78,0.48717948717948717,8.175798674584383e-05,3.8389648643500167e-05,-2.4124185294732562e-05,-0.0004261647824019969,-4.652037113779076e-05,-0.00020086940636054588,0.46153846153846156,40,0.5128205128205128,0.45,36,0.1
80,80,0.490625,0.00011572458721922015,6.352155806967179e-05,-2.5982570297379548e-05,-0.00043837392222807904,-4.964485340351252e-05,-0.00020684198844295038,0.4625,41,0.5125,0.5,37,0.1
84,84,0.5,0.00010983621784303996,6.0509621817366375e-05,-3.422856808204956e-05,-0.0004377920568510714,-6.33200962977657e-05,-0.0002232136910316207,0.4642857142857143,43,0.5119047619047619,0.55,39,0.1
85,85,0.5029411764705882,8.660698947793049e-05,4.242426891200253e-05,-3.964346562169381e-05,-0.0004265584669858121,-7.229010515321067e-05,-0.00022814196802506338,0.4470588235294118,45,0.5294117647058824,0.6,38,0.1
87,87,0.5,7.181830447084508e-05,3.406528121906571e-05,-3.824405435319964e-05,-0.00041699862470787107,-7.055011752983708e-05,-0.00022600360928619255,0.4367816091954023,47,0.5402298850574713,0.65,38,0.1
88,88,0.5028409090909091,4.741483185820925e-05,1.2330636964813702e-05,-4.157023557459606e-05,-0.00040565918849445355,-7.627460661084796e-05,-0.0002268895442052746,0.4318181818181818,48,0.5454545454545454,0.7,38,0.1
89,89,0.49157303370786515,7.990863138010233e-05,3.934132534838635e-05,-3.935428765389215e-05,-0.0003880157624894356,-7.094956954217427e-05,-0.00022379987822788075,0.43820224719101125,48,0.5393258426966292,0.75,39,0.1
90,90,0.49722222222222223,7.164956040711101e-05,3.212334880977515e-05,-3.980406528161969e-05,-0.0003876829111832777,-7.168752717514666e-05,-0.00022586980458036483,0.4444444444444444,48,0.5333333333333333,0.8,40,0.1
30,30,0.4166666666666667,0.00014207168773534563,8.377337570791657e-05,2.0351224803594194e-06,-0.00041966924457763783,-7.866362558669089e-06,-0.00016675609225325443,0.4,18,0.6,0.1,12,0.15
44,44,0.44886363636363635,1.964185427556838e-05,-1.5169572803089535e-05,-2.5347646173426693e-05,-0.0004227283357128039,-4.930248172629124e-05,-0.00020438667506101046,0.4090909090909091,25,0.5681818181818182,0.15,18,0.15
49,49,0.4642857142857143,8.17704769792404e-05,2.7459383057525694e-05,-2.0347274000204538e-05,-0.0004303916989871518,-4.224979613043356e-05,-0.00019853169602259736,0.4489795918367347,26,0.5306122448979592,0.2,22,0.15
61,61,0.47540983606557374,0.00012207102313185436,6.403635049764959e-05,-1.625519579541867e-05,-0.00045747180761536714,-3.472953338028276e-05,-0.00019654500526360347,0.45901639344262296,31,0.5081967213114754,0.25,28,0.15
70,70,0.48928571428571427,8.891480774929865e-05,3.7801140144974204e-05,-2.299106591643975e-05,-0.0004461607479560069,-4.5139647757463136e-05,-0.00020157343982013203,0.4714285714285714,35,0.5,0.3,33,0.15
70,70,0.4857142857142857,7.884781219731153e-05,3.232075976160875e-05,-2.296963898342457e-05,-0.00044727810752538303,-4.5025948153225106e-05,-0.0002025216448401701,0.45714285714285713,36,0.5142857142857142,0.35,32,0.15
73,73,0.4931506849315068,9.07512901044656e-05,4.529175125136991e-05,-2.404038068250065e-05,-0.0004359290124439312,-4.6255288379474404e-05,-0.00020124149602163285,0.4657534246575342,37,0.5068493150684932,0.4,34,0.15
77,77,0.4902597402597403,9.263768859574394e-05,4.7368052709514614e-05,-2.2682118621551672e-05,-0.00043169938996565917,-4.4155223316748475e-05,-0.00020034615216391193,0.4675324675324675,39,0.5064935064935064,0.45,36,0.15
79,79,0.4936708860759494,0.00012675881054726682,7.25907862027007e-05,-2.4600535502034214e-05,-0.0004439229592183079,-4.7379133150923475e-05,-0.00020640758349284392,0.46835443037974683,40,0.5063291139240507,0.5,37,0.15
82,82,0.5,0.00010134213462670226,5.174955311659926e-05,-3.636610695480451e-05,-0.0004383178852979098,-6.716258062687925e-05,-0.00022610563807980255,0.4634146341463415,42,0.5121951219512195,0.55,38,0.15
83,83,0.5030120481927711,7.76555041710641e-05,3.3333951571356367e-05,-4.188573047284072e-05,-0.00042680727123774263,-7.630243928210464e-05,-0.00023111782600021758,0.4457831325301205,44,0.5301204819277109,0.6,37,0.15
85,85,0.5,6.272947328867942e-05,2.4992171634836234e-05,-4.0400632707413825e-05,-0.0004170166372767458,-7.442710291161888e-05,-0.0002288591327504285,0.43529411764705883,46,0.5411764705882353,0.65,37,0.15
87,87,0.5028735632183908,5.822102874140268e-05,2.116043841485418e-05,-4.0719696175349215e-05,-0.0004103219377874932,-7.491842079284227e-05,-0.00022709186397645788,0.4367816091954023,47,0.5402298850574713,0.7,38,0.15
89,89,0.49157303370786515,7.990863138010233e-05,3.934132534838635e-05,-3.935428765389215e-05,-0.0003880157624894356,-7.094956954217427e-05,-0.00022379987822788075,0.43820224719101125,48,0.5393258426966292,0.75,39,0.15
90,90,0.49722222222222223,7.164956040711101e-05,3.212334880977515e-05,-3.980406528161969e-05,-0.0003876829111832777,-7.168752717514666e-05,-0.00022586980458036483,0.4444444444444444,48,0.5333333333333333,0.8,40,0.15
29,29,0.41379310344827586,0.00012504325114362982,6.74859763914689e-05,1.1488883834325761e-07,-0.00041207108907224835,-1.1603682497231021e-05,-0.00016643295011816984,0.3793103448275862,18,0.6206896551724138,0.1,11,0.2
