accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
17,17,0.4852941176470588,-6.790847603541421e-05,-3.8943737843384044e-05,-2.939718388417876e-05,-0.00026241537902488494,-5.881406404440557e-05,-0.0001770411281467664,0.17647058823529413,14,0.8235294117647058,0.1,3,0.1
28,28,0.49107142857142855,0.0001408933654233831,8.851651319221025e-05,-1.714713369095027e-05,-0.0003350856643279239,-4.029652265478768e-05,-0.00016912962510297138,0.25,21,0.75,0.15,7,0.1
34,34,0.4852941176470588,0.00014605217031422624,8.416566786349777e-05,-1.348052119356905e-05,-0.0003880764847290309,-3.3049822739181384e-05,-0.000169796941171327,0.3235294117647059,23,0.6764705882352942,0.2,11,0.1
42,42,0.5059523809523809,0.00011079503860065856,6.0677315664009534e-05,-3.1405832181908265e-05,-0.00036860049057709746,-6.0960959364261426e-05,-0.00019225526407669005,0.30952380952380953,29,0.6904761904761905,0.25,13,0.1
50,50,0.49,0.00011918552599342714,7.214779806385435e-05,-2.5186713905649416e-05,-0.0003706919169744216,-4.922066064021458e-05,-0.00017977870197662726,0.34,32,0.64,0.3,17,0.1
58,58,0.5086206896551724,0.00010871331508671222,5.825633710596629e-05,-2.9100352437232948e-05,-0.0003747224387098201,-5.856792247692988e-05,-0.00020317603632955653,0.3620689655172414,36,0.6206896551724138,0.35,21,0.1
63,63,0.5079365079365079,0.00011560129743249311,6.255573989533489e-05,-2.9240372111614052e-05,-0.0003900325444623848,-5.7988675397481324e-05,-0.00019718410845661686,0.3333333333333333,40,0.6349206349206349,0.4,21,0.1
69,69,0.5144927536231884,0.00015066267639854937,8.819823797509281e-05,-2.9295292078668854e-05,-0.00038992259534169067,-5.736056181128898e-05,-0.00019437523822888694,0.34782608695652173,43,0.6231884057971014,0.45,24,0.1
71,71,0.5176056338028169,0.00010068454080515061,4.824209867327963e-05,-3.7220770226404344e-05,-0.0003929452916068912,-7.058394183775844e-05,-0.00020980719423303892,0.352112676056338,44,0.6197183098591549,0.5,25,0.1
74,74,0.5135135135135135,9.78677061605523e-05,4.7101828528264986e-05,-3.522367629126787e-05,-0.00038981737585002573,-6.702780444607835e-05,-0.00020384068807747656,0.36486486486486486,45,0.6081081081081081,0.55,27,0.1
77,77,0.5097402597402597,9.046736879216411e-05,3.38398929174728e-05,-3.847051933782784e-05,-0.0003726438652035715,-7.24342583822932e-05,-0.0002037410049488275,0.38961038961038963,46,0.5974025974025974,0.6,30,0.1
81,81,0.5092592592592593,8.337643860444037e-05,2.9804180831491973e-05,-4.0871669912271e-05,-0.0003704722957029237,-7.594060333904812e-05,-0.00020700861051896831,0.38271604938271603,49,0.6049382716049383,0.65,31,0.1
82,82,0.5152439024390244,7.543576891782175e-05,2.414245431302287e-05,-3.802022649104177e-05,-0.00038176353981334737,-7.074979243641123e-05,-0.00020690482617584822,0.36585365853658536,51,0.6219512195121951,0.7,30,0.1
84,84,0.5178571428571429,8.297842854826608e-05,3.0058643209873726e-05,-3.701318913167173e-05,-0.0003741758587400585,-6.901585375617652e-05,-0.00020249559681851092,0.38095238095238093,51,0.6071428571428571,0.75,32,0.1
89,89,0.5308988764044944,5.2802839293074533e-05,9.190481134685832e-06,-3.5172204900218186e-05,-0.0003606111902725545,-6.652694150258434e-05,-0.00019949276880267406,0.38202247191011235,54,0.6067415730337079,0.8,34,0.1
17,17,0.4852941176470588,-6.790847603541421e-05,-3.8943737843384044e-05,-2.939718388417876e-05,-0.00026241537902488494,-5.881406404440557e-05,-0.0001770411281467664,0.17647058823529413,14,0.8235294117647058,0.1,3,0.15
28,28,0.49107142857142855,0.0001408933654233831,8.851651319221025e-05,-1.714713369095027e-05,-0.0003350856643279239,-4.029652265478768e-05,-0.00016912962510297138,0.25,21,0.75,0.15,7,0.15
34,34,0.4852941176470588,0.00014605217031422624,8.416566786349777e-05,-1.348052119356905e-05,-0.0003880764847290309,-3.3049822739181384e-05,-0.000169796941171327,0.3235294117647059,23,0.6764705882352942,0.2,11,0.15
42,42,0.5059523809523809,0.00011079503860065856,6.0677315664009534e-05,-3.1405832181908265e-05,-0.00036860049057709746,-6.0960959364261426e-05,-0.00019225526407669005,0.30952380952380953,29,0.6904761904761905,0.25,13,0.15
50,50,0.49,0.00011918552599342714,7.214779806385435e-05,-2.5186713905649416e-05,-0.0003706919169744216,-4.922066064021458e-05,-0.00017977870197662726,0.34,32,0.64,0.3,17,0.15
58,58,0.5086206896551724,0.00010871331508671222,5.825633710596629e-05,-2.9100352437232948e-05,-0.0003747224387098201,-5.856792247692988e-05,-0.00020317603632955653,0.3620689655172414,36,0.6206896551724138,0.35,21,0.15
63,63,0.5079365079365079,0.00011560129743249311,6.255573989533489e-05,-2.9240372111614052e-05,-0.0003900325444623848,-5.7988675397481324e-05,-0.00019718410845661686,0.3333333333333333,40,0.6349206349206349,0.4,21,0.15
69,69,0.5144927536231884,0.00015066267639854937,8.819823797509281e-05,-2.9295292078668854e-05,-0.00038992259534169067,-5.736056181128898e-05,-0.00019437523822888694,0.34782608695652173,43,0.6231884057971014,0.45,24,0.15
71,71,0.5176056338028169,0.00010068454080515061,4.824209867327963e-05,-3.7220770226404344e-05,-0.0003929452916068912,-7.058394183775844e-05,-0.00020980719423303892,0.352112676056338,44,0.6197183098591549,0.5,25,0.15
74,74,0.5135135135135135,9.78677061605523e-05,4.7101828528264986e-05,-3.522367629126787e-05,-0.00038981737585002573,-6.702780444607835e-05,-0.00020384068807747656,0.36486486486486486,45,0.6081081081081081,0.55,27,0.15
77,77,0.5097402597402597,9.046736879216411e-05,3.38398929174728e-05,-3.847051933782784e-05,-0.0003726438652035715,-7.24342583822932e-05,-0.0002037410049488275,0.38961038961038963,46,0.5974025974025974,0.6,30,0.15
79,79,0.5063291139240507,8.741519032992795e-05,3.2656279742869975e-05,-3.944894717798753e-05,-0.0003704588741101833,-7.383773718548559e-05,-0.00020541471163505338,0.3924050632911392,47,0.5949367088607594,0.65,31,0.15
79,79,0.509493670886076,8.43332807447995e-05,3.0122589714160632e-05,-3.572340616557953e-05,-0.0003852803208530196,-6.724716595986986e-05,-0.00020508207805086174,0.379746835443038,48,0.6075949367088608,0.7,30,0.15
82,82,0.5182926829268293,9.516143325881884e-05,3.861595264746834e-05,-3.560231081785563e-05,-0.00038177209895233304,-6.678894005934055e-05,-0.00020274978987190303,0.3902439024390244,49,0.5975609756097561,0.75,32,0.15
86,86,0.5261627906976745,7.018120440088664e-05,2.2307364864979472e-05,-3.36875068923349e-05,-0.0003685063186486225,-6.414487531272588e-05,-0.0001998229791686099,0.38372093023255816,52,0.6046511627906976,0.8,33,0.15
17,17,0.4852941176470588,-6.790847603541421e-05,-3.8943737843384044e-05,-2.939718388417876e-05,-0.00026241537902488494,-5.881406404440557e-05,-0.0001770411281467664,0.17647058823529413,14,0.8235294117647058,0.1,3,0.2
28,28,0.49107142857142855,0.0001408933654233831,8.851651319221025e-05,-1.714713369095027e-05,-0.0003350856643279239,-4.029652265478768e-05,-0.00016912962510297138,0.25,21,0.75,0.15,7,0.2
34,34,0.4852941176470588,0.00014605217031422624,8.416566786349777e-05,-1.348052119356905e-05,-0.0003880764847290309,-3.3049822739181384e-05,-0.000169796941171327,0.3235294117647059,23,0.6764705882352942,0.2,11,0.2
42,42,0.5059523809523809,0.00011079503860065856,6.0677315664009534e-05,-3.1405832181908265e-05,-0.00036860049057709746,-6.0960959364261426e-05,-0.00019225526407669005,0.30952380952380953,29,0.6904761904761905,0.25,13,0.2
50,50,0.49,0.00011918552599342714,7.214779806385435e-05,-2.5186713905649416e-05,-0.0003706919169744216,-4.922066064021458e-05,-0.00017977870197662726,0.34,32,0.64,0.3,17,0.2
57,57,0.5131578947368421,0.00010773347685793784,5.7014933154175974e-05,-3.062437406550815e-05,-0.0003742109512955239,-6.138412595700078e-05,-0.0002057815329151627,0.3508771929824561,36,0.631578947368421,0.35,20,0.2
61,61,0.5122950819672131,0.00012004121444283977,6.46937088286547e-05,-3.0624173017062466e-05,-0.0003961995586853367,-6.0700053794029396e-05,-0.00020186474607031087,0.32786885245901637,39,0.639344262295082,0.4,20,0.2
67,67,0.5186567164179104,0.00015575159722785173,9.091019470780959e-05,-3.055680991697428e-05,-0.00039553405757092466,-5.98103805428867e-05,-0.00019855286739276566,0.34328358208955223,42,0.6268656716417911,0.45,23,0.2
69,69,0.5217391304347826,0.00010417731507147614,4.971729899919844e-05,-3.867544633454832e-05,-0.0003984817171415155,-7.334603770833796e-05,-0.00021431103576909948,0.34782608695652173,43,0.6231884057971014,0.5,24,0.2
72,72,0.5173611111111112,0.00010113670275898654,4.8483888003242326e-05,-3.656226606337428e-05,-0.00039503623043857217,-6.957603139450371e-05,-0.00020799113326743564,0.3611111111111111,44,0.6111111111111112,0.55,26,0.2
74,74,0.5168918918918919,8.925161446638095e-05,3.050801735798858e-05,-4.094054270998038e-05,-0.0003799692427043578,-7.70192272592597e-05,-0.00021052983862948402,0.3783783783783784,45,0.6081081081081081,0.6,28,0.2
76,76,0.5131578947368421,8.611094881026134e-05,2.9365363546479966e-05,-4.189259208666868e-05,-0.00037750522887042043,-7.835744946581584e-05,-0.00021209095916699101,0.3815789473684211,46,0.6052631578947368,0.65,29,0.2
79,79,0.509493670886076,8.43332807447995e-05,3.0122589714160632e-05,-3.572340616557953e-05,-0.0003852803208530196,-6.724716595986986e-05,-0.00020508207805086174,0.379746835443038,48,0.6075949367088608,0.7,30,0.2
82,82,0.5182926829268293,9.516143325881884e-05,3.861595264746834e-05,-3.560231081785563e-05,-0.00038177209895233304,-6.678894005934055e-05,-0.00020274978987190303,0.3902439024390244,49,0.5975609756097561,0.75,32,0.2
86,86,0.5261627906976745,7.018120440088664e-05,2.2307364864979472e-05,-3.36875068923349e-05,-0.0003685063186486225,-6.414487531272588e-05,-0.0001998229791686099,0.38372093023255816,52,0.6046511627906976,0.8,33,0.2
17,17,0.4852941176470588,-6.790847603541421e-05,-3.8943737843384044e-05,-2.939718388417876e-05,-0.00026241537902488494,-5.881406404440557e-05,-0.0001770411281467664,0.17647058823529413,14,0.8235294117647058,0.1,3,0.25
28,28,0.49107142857142855,0.0001408933654233831,8.851651319221025e-05,-1.714713369095027e-05,-0.0003350856643279239,-4.029652265478768e-05,-0.00016912962510297138,0.25,21,0.75,0.15,7,0.25
34,34,0.4852941176470588,0.00014605217031422624,8.416566786349777e-05,-1.348052119356905e-05,-0.0003880764847290309,-3.3049822739181384e-05,-0.000169796941171327,0.3235294117647059,23,0.6764705882352942,0.2,11,0.25
42,42,0.5059523809523809,0.00011079503860065856,6.0677315664009534e-05,-3.1405832181908265e-05,-0.00036860049057709746,-6.0960959364261426e-05,-0.00019225526407669005,0.30952380952380953,29,0.6904761904761905,0.25,13,0.25
49,49,0.49489795918367346,0.00011157919612157926,6.676580018972069e-05,-2.6797753841561908e-05,-0.0003647413867161518,-5.2106076227024305e-05,-0.00018240986391290621,0.32653061224489793,32,0.6530612244897959,0.3,16,0.25
57,57,0.5131578947368421,0.00010773347685793784,5.7014933154175974e-05,-3.062437406550815e-05,-0.0003742109512955239,-6.138412595700078e-05,-0.0002057815329151627,0.3508771929824561,36,0.631578947368421,0.35,20,0.25
61,61,0.5122950819672131,0.00012004121444283977,6.46937088286547e-05,-3.0624173017062466e-05,-0.0003961995586853367,-6.0700053794029396e-05,-0.00020186474607031087,0.32786885245901637,39,0.639344262295082,0.4,20,0.25
67,67,0.5186567164179104,0.00015575159722785173,9.091019470780959e-05,-3.055680991697428e-05,-0.00039553405757092466,-5.98103805428867e-05,-0.00019855286739276566,0.34328358208955223,42,0.6268656716417911,0.45,23,0.25
68,68,0.5220588235294118,0.0001258578288145183,6.825708193437521e-05,-3.6377645234494124e-05,-0.0004043417423935966,-6.954168445903904e-05,-0.00021221634500934663,0.35294117647058826,42,0.6176470588235294,0.5,24,0.25
70,70,0.5214285714285715,0.0001296704865546057,7.10831164038964e-05,-3.410912942046286e-05,-0.0004063229798796743,-6.560913259932101e-05,-0.0002075103874098118,0.37142857142857144,42,0.6,0.55,26,0.25
72,72,0.5243055555555556,9.342232779606578e-05,3.2023898016230674e-05,-4.154120137114032e-05,-0.00038756659594559175,-7.82447605528087e-05,-0.0002143518624864973,0.375,44,0.6111111111111112,0.6,27,0.25
73,73,0.5136986301369864,0.0001220808031343692,5.7775558215415686e-05,-3.613928157866117e-05,-0.0003901023060563299,-6.89312092729616e-05,-0.00020642039745215126,0.3835616438356164,44,0.6027397260273972,0.65,28,0.25
74,74,0.5135135135135135,0.00010456902907578375,4.5801724505227924e-05,-3.327252379639375e-05,-0.00039553260922969,-6.354147715058735e-05,-0.0002047467605855919,0.36486486486486486,46,0.6216216216216216,0.7,27,0.25
77,77,0.5162337662337663,0.00012006721776538549,5.7775303881738486e-05,-3.1278800260493175e-05,-0.0003941624532693467,-5.989903629155308e-05,-0.00019967343781910542,0.38961038961038963,46,0.5974025974025974,0.75,30,0.25
81,81,0.5185185185185185,7.82383498215226e-05,2.795375138373264e-05,-3.065570020666372e-05,-0.00037644963730163405,-5.947355917585296e-05,-0.00019714203914614854,0.37037037037037035,50,0.6172839506172839,0.8,30,0.25
17,17,0.4852941176470588,-6.790847603541421e-05,-3.8943737843384044e-05,-2.939718388417876e-05,-0.00026241537902488494,-5.881406404440557e-05,-0.0001770411281467664,0.17647058823529413,14,0.8235294117647058,0.1,3,0.3
28,28,0.49107142857142855,0.0001408933654233831,8.851651319221025e-05,-1.714713369095027e-05,-0.0003350856643279239,-4.029652265478768e-05,-0.00016912962510297138,0.25,21,0.75,0.15,7,0.3
34,34,0.4852941176470588,0.00014605217031422624,8.416566786349777e-05,-1.348052119356905e-05,-0.0003880764847290309,-3.3049822739181384e-05,-0.000169796941171327,0.3235294117647059,23,0.6764705882352942,0.2,11,0.3
42,42,0.5059523809523809,0.00011079503860065856,6.0677315664009534e-05,-3.1405832181908265e-05,-0.00036860049057709746,-6.0960959364261426e-05,-0.00019225526407669005,0.30952380952380953,29,0.6904761904761905,0.25,13,0.3
49,49,0.49489795918367346,0.00011157919612157926,6.676580018972069e-05,-2.6797753841561908e-05,-0.0003647413867161518,-5.2106076227024305e-05,-0.00018240986391290621,0.32653061224489793,32,0.6530612244897959,0.3,16,0.3
56,56,0.5133928571428571,0.00010206959203881507,5.2852390843169645e-05,-3.154343938586791e-05,-0.00036994309295838016,-6.311841222865886e-05,-0.00020764006860654407,0.3392857142857143,36,0.6428571428571429,0.35,19,0.3
59,59,0.5127118644067796,9.603346379272793e-05,4.947150159248091e-05,-3.416546811155078e-05,-0.0003634272491038011,-6.576760550702024e-05,-0.00020698383010323994,0.3220338983050847,39,0.6610169491525424,0.4,19,0.3
66,66,0.5189393939393939,0.0001394504291477667,8.111519247579107e-05,-3.29416825015655e-05,-0.0003695155680719129,-6.286583385751452e-05,-0.00020156124417144395,0.3484848484848485,42,0.6363636363636364,0.45,23,0.3
66,66,0.5227272727272727,0.00013487934846292875,7.865894154062195e-05,-3.54425803387619e-05,-0.000384583092700892,-6.713439246860038e-05,-0.00021113360723807434,0.36363636363636365,41,0.6212121212121212,0.5,24,0.3
68,68,0.5220588235294118,0.00013853880438218316,8.126215762376886e-05,-3.313484538007479e-05,-0.0003872037386334044,-6.315698002449178e-05,-0.000206321084349473,0.38235294117647056,41,0.6029411764705882,0.55,26,0.3
69,69,0.5181159420289855,0.00014050316821908677,7.49798176938466e-05,-3.574746278224632e-05,-0.0003737976890373465,-6.770397104628633e-05,-0.0002061440681339211,0.391304347826087,42,0.6086956521739131,0.6,27,0.3
70,70,0.5071428571428571,0.00016971728049441716,0.00010122146447760216,-3.0196799835645127e-05,-0.0003766387711086626,-5.814185027596754e-05,-0.00019798993737456843,0.4,42,0.6,0.65,28,0.3
71,71,0.5070422535211268,0.00015079463601983448,8.812977995906581e-05,-2.7292608368817338e-05,-0.0003824881509646671,-5.267634579626753e-05,-0.00019636432233164155,0.38028169014084506,44,0.6197183098591549,0.7,27,0.3
72,72,0.5104166666666666,0.00016121946892571988,9.539307276008532e-05,-2.68407803384823e-05,-0.00038490503321410546,-5.1828947674054104e-05,-0.00019551258057370593,0.3888888888888889,44,0.6111111111111112,0.75,28,0.3
75,75,0.5066666666666667,0.00013063972860341628,7.32201461422984e-05,-2.8049598013112725e-05,-0.0003708331773426704,-5.366877473009494e-05,-0.00019231029295276869,0.38666666666666666,46,0.6133333333333333,0.8,29,0.3
