accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
10,10,0.35,0.00014182777959655945,0.00011048030825567823,-0.00011855492513734855,-0.0003517133782155457,-0.00018728000617259654,-0.00027193066090554495,0.4,4,0.4,0.1,4,0.1
14,14,0.32142857142857145,2.8144443136047486e-05,2.7861930993564044e-05,-0.00010368537235832293,-0.00030968079069896925,-0.0001637632522870477,-0.0002528365761618626,0.2857142857142857,8,0.5714285714285714,0.15,4,0.1
20,20,0.325,-3.876676258821043e-06,4.7155254778191715e-06,-9.233369817107095e-05,-0.0003738701825225357,-0.00014869172244260653,-0.0002578882521840381,0.35,11,0.55,0.2,7,0.1
31,31,0.3467741935483871,6.214774881735833e-05,4.5420043752537755e-05,-6.692492722596673e-05,-0.0004023107882633124,-0.00010919740151440769,-0.0002252511641444541,0.41935483870967744,16,0.5161290322580645,0.25,13,0.1
49,49,0.3826530612244898,0.00019345662868512268,0.0001398212202387493,-2.903766322310955e-05,-0.000435137598413269,-4.7726091929036584e-05,-0.00018201927446496815,0.4897959183673469,22,0.4489795918367347,0.3,24,0.1
62,62,0.4032258064516129,0.00015863313106823454,0.00011096419972608101,-3.1377204971583605e-05,-0.0003843644777714363,-5.2356978700186125e-05,-0.00017492701271924267,0.5,27,0.43548387096774194,0.35,31,0.1
74,74,0.4222972972972973,0.00020177581579936812,0.00015462545687113666,-2.2621181502010564e-05,-0.0003998022904280259,-3.748986738567546e-05,-0.00017628288219847927,0.5,33,0.44594594594594594,0.4,37,0.1
79,79,0.4430379746835443,0.00018149192213418077,0.00013344892142266545,-3.1104080924454704e-05,-0.00038604668684535785,-5.059891236178894e-05,-0.00018592506183665774,0.4810126582278481,37,0.46835443037974683,0.45,38,0.1
84,84,0.43452380952380953,0.00022445289691169139,0.0001701317439873145,-2.0283516983223997e-05,-0.0003956144501987279,-3.227038980362018e-05,-0.0001713667960837943,0.5,38,0.4523809523809524,0.5,42,0.1
87,87,0.4339080459770115,0.00021581762873073383,0.00016254091848526435,-2.1054690021907345e-05,-0.0003998664389717181,-3.420718058926642e-05,-0.00016987586340684734,0.4942528735632184,40,0.45977011494252873,0.55,43,0.1
