action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_rank,candidate_recall,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,r216_bg_channel_proxy,r216_bg_component_count_delta,r216_bg_components_after,r216_bg_components_before,r216_crop_area,r216_cut_adjacent_bg_components_before,r216_cut_adjacent_bg_frac_before,r216_cut_area,r216_cut_component_bg_area_after,r216_cut_component_bg_frac_crop_after,r216_cut_component_border_contacts_after,r216_cut_frac_crop,r216_cut_gt_fg_frac,r216_cut_gt_gap_frac,r216_hard_risk,r216_overerosion_proxy,r216_quick_useful,r216_safe_channel_proxy_positive,r217_anchor_dist_mean,r217_anchor_dist_p90,r217_bg_dist_mean,r217_bg_dist_p10,r217_cut_gradient_mean,r217_cut_gradient_p90,r217_cut_intensity_mean,r217_cut_intensity_p10,r217_cut_intensity_p90,r217_cut_intensity_std,r217_cut_minus_inner_intensity,r217_cut_minus_outer_intensity,r217_cut_minus_ring_intensity,r217_cut_neighbor_bg_frac,r217_cut_neighbor_fg_frac,r217_cut_outer_gradient_ratio,r217_cut_ring_gradient_ratio,r217_cut_touches_boundary_frac,r217_cut_x_center_norm,r217_cut_y_center_norm,r217_feature_matched,r217_inner_minus_outer_intensity,r217_inner_ring_intensity_mean,r217_local_anchor_frac,r217_local_area_frac_image,r217_local_bg_frac,r217_local_h,r217_local_w,r217_outer_ring_gradient_mean,r217_outer_ring_intensity_mean,r217_ring_gradient_mean,r217_ring_intensity_mean,r217_ring_intensity_std,run_id,split
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43655497762187007,0.27922630560928435,1.0,-1.0,0.9024644091736981,0.13879296168393357,0.8222643682053714,0.904886139167381,1.0,0.9000556070435588,0.00017813972025454428,0.00014573908966514226,0.0,0.0,-4.441818181200041e-05,-5.4815545688757794e-05,-7.375154537359041e-05,2.3087183032233227e-05,-0.00011121408711778358,10375.png,1.0,0.0,1.0,1.0,1517.0,1.0,0.4117647058823529,4.0,381.0,0.25115359261700726,3.0,0.0026367831245880024,0.75,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.04644835367798805,0.05559642016887665,0.7205882668495178,0.7082353115081788,0.7321568787097931,0.011221100576221943,-0.039215683937072754,0.037081897258758545,-0.007580101490020752,0.3333333333333333,0.6666666666666666,3.9558423851076716,2.256156921472312,1.0,0.486444212721585,0.7064260563380281,1.0,0.0762975811958313,0.7598039507865906,0.7514831905075807,0.0013924789613593972,0.24851680949241925,41.0,37.0,0.011741709895431995,0.6835063695907593,0.02058737725019455,0.7281683683395386,0.042717307806015015,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43627124795838124,0.27899419729206965,1.0,-1.0,0.9024440107796673,0.13879296168393357,0.8222305008974836,0.9048825941110697,1.0,0.9000185356811863,-0.0001055899432342855,-8.636922754956533e-05,0.0,0.0,-6.481657584278544e-05,-5.4815545688757794e-05,-0.00010761885326138199,1.954212672095057e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1517.0,1.0,0.4375,5.0,382.0,0.25181278839815424,3.0,0.0032959789057350032,0.8,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0447712205350399,0.0544275052845478,0.7207843065261841,0.7090196251869202,0.7317647218704224,0.010044115595519543,-0.04068201780319214,0.037277936935424805,-0.0075490474700927734,0.3333333333333333,0.6666666666666666,3.813006873254272,2.22184234846898,1.0,0.486444212721585,0.7064260563380281,1.0,0.07795995473861694,0.7614663243293762,0.7514831905075807,0.0013924789613593972,0.24851680949241925,41.0,37.0,0.011741709895431995,0.6835063695907593,0.02015049383044243,0.7283333539962769,0.04323507100343704,R216-soft-seam-action-candidate-diagnostic,val
0.75,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4365285757484125,0.27920470369797307,1.0,-1.0,0.9024644091736981,0.13879296168393357,0.8222643682053714,0.904886139167381,1.0,0.9000556070435588,0.00015173784679695101,0.00012413717835385585,0.0,0.0,-4.441818181200041e-05,-5.4815545688757794e-05,-7.375154537359041e-05,2.3087183032233227e-05,-0.00011121408711778358,10375.png,0.0,0.0,1.0,1.0,1444.0,1.0,0.3333333333333333,4.0,339.0,0.2347645429362881,3.0,0.002770083102493075,0.75,0.25,0.0,1.0,1.0,0.0,1.5,2.0,0.0,0.0,0.03557345271110535,0.04026828706264496,0.7352941632270813,0.7082353115081788,0.7607843279838562,0.0256405808031559,-0.022941112518310547,0.04738569259643555,0.003431379795074463,0.25,0.75,2.879963181545172,2.1151641226577658,0.5,0.4859228362877998,0.7051056338028169,1.0,0.0703268051147461,0.7582352757453918,0.768005540166205,0.00132547107462292,0.23199445983379502,38.0,38.0,0.012352051213383675,0.6879084706306458,0.016818294301629066,0.7318627834320068,0.03780234977602959,R216-soft-seam-action-candidate-diagnostic,val
1.0,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43580284245539763,0.2786111970306217,1.0,-1.0,0.9023420074349442,0.13879296168393357,0.8220611643580452,0.9048648648648648,1.0,0.8998331788693235,-0.0005739954462178898,-0.0004693694889975064,0.0,0.0,-0.00016681992056588602,-5.4815545688757794e-05,-0.00027695539269978475,1.812880516038895e-06,-0.0003336422613531287,10375.png,1.0,0.0,1.0,1.0,1558.0,1.0,0.3888888888888889,10.0,387.0,0.248395378690629,3.0,0.006418485237483954,0.9,0.1,1.0,1.0,0.0,0.0,1.5,2.0,0.0,0.0,0.03563666343688965,0.04858293086290359,0.7454901933670044,0.7129411935806275,0.7776470720767975,0.02679610811173916,-0.014277398586273193,0.06198382377624512,0.01518714427947998,0.25,0.75,3.035048877400196,1.9419689697680826,0.5,0.4859228362877998,0.7064260563380281,1.0,0.07626122236251831,0.7597675919532776,0.7580231065468549,0.0014301135278826241,0.24197689345314505,41.0,38.0,0.011741709895431995,0.6835063695907593,0.018350789323449135,0.7303030490875244,0.041878100484609604,R216-soft-seam-action-candidate-diagnostic,val
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4358927815090458,0.2786847195357834,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,-0.00048405639256970945,-0.0003958469838358236,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1480.0,1.0,0.5,4.0,386.0,0.2608108108108108,3.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.046091917902231216,0.052596261352300645,0.7078431844711304,0.6898039400577545,0.7258823692798615,0.016752947121858597,-0.06222909688949585,0.030795931816101074,-0.01830059289932251,0.3888888888888889,0.6111111111111112,3.2704004783203597,1.910767810925689,1.0,0.4874869655891554,0.7112676056338029,1.0,0.09302502870559692,0.7700722813606262,0.7418918918918919,0.0013585160598628267,0.2581081081081081,40.0,37.0,0.014093661680817604,0.6770472526550293,0.024122197180986404,0.7261437773704529,0.05029283091425896,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4358927815090458,0.2786847195357834,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,-0.00048405639256970945,-0.0003958469838358236,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1480.0,1.0,0.5,4.0,386.0,0.2608108108108108,3.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.046091917902231216,0.052596261352300645,0.7078431844711304,0.6898039400577545,0.7258823692798615,0.016752947121858597,-0.06222909688949585,0.030795931816101074,-0.01830059289932251,0.3888888888888889,0.6111111111111112,3.2704004783203597,1.910767810925689,1.0,0.4874869655891554,0.7112676056338029,1.0,0.09302502870559692,0.7700722813606262,0.7418918918918919,0.0013585160598628267,0.2581081081081081,40.0,37.0,0.014093661680817604,0.6770472526550293,0.024122197180986404,0.7261437773704529,0.05029283091425896,R216-soft-seam-action-candidate-diagnostic,val
0.75,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43602927832557015,0.2787963177844821,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,-0.00034755957604537535,-0.0002842487351371048,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1444.0,1.0,0.4166666666666667,4.0,355.0,0.2458448753462604,3.0,0.002770083102493075,1.0,0.0,1.0,1.0,0.0,0.0,1.3535534143447876,1.8242640614509584,0.0,0.0,0.046375274658203125,0.05351888649165631,0.7264706492424011,0.6898039400577545,0.7623529553413391,0.0346759557723999,-0.039542436599731445,0.048319339752197266,-0.0011028647422790527,0.3125,0.6875,3.422297263630046,2.124282301202531,0.75,0.4869655891553702,0.710387323943662,1.0,0.08786177635192871,0.7660130858421326,0.7569252077562327,0.00132547107462292,0.24307479224376732,38.0,38.0,0.013550919480621815,0.6781513094902039,0.021831031888723373,0.7275735139846802,0.047353897243738174,R216-soft-seam-action-candidate-diagnostic,val
1.0,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43554533905994797,0.27840074240197976,1.0,-1.0,0.9023456377086354,0.13884777722962233,0.8220671904632891,0.9048346814776158,2.0,0.899870250231696,-0.0008314988416675551,-0.0006798241176394493,0.0,0.0,-0.00016318964687467297,0.0,-0.00027092928745586775,-2.8370506732988687e-05,-0.0002965708989806082,10375.png,1.0,0.0,1.0,1.0,1520.0,1.0,0.4375,8.0,390.0,0.2565789473684211,3.0,0.005263157894736842,1.0,0.0,1.0,1.0,0.0,0.0,1.426776647567749,2.0,0.0,0.0,0.04393275827169418,0.055115704983472825,0.7382352948188782,0.6945098221302033,0.7733333468437195,0.033376555889844894,-0.02902817726135254,0.06118804216384888,0.009313702583312988,0.2916666666666667,0.7083333333333334,3.117199721878491,2.0594935383621844,0.625,0.4869655891553702,0.7112676056338029,1.0,0.09021621942520142,0.7672634720802307,0.7486842105263158,0.0013952327101293895,0.2513157894736842,40.0,38.0,0.014093661680817604,0.6770472526550293,0.021331826224923134,0.7289215922355652,0.04842928424477577,R216-soft-seam-action-candidate-diagnostic,val
0.25,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.40715799975059236,0.25561731777969154,0.0,0.0,0.8978404868328935,0.19554002329838577,0.8146193687090785,0.8751399776035834,1.0,0.9217500276436549,0.00039525722142647046,0.00031149899983407003,0.0,0.0,1.4459828684421083e-06,-0.00027736173517500795,2.380694487547075e-06,0.00013560468072182363,-0.00014743282591866969,10520.png,1.0,0.0,1.0,1.0,1786.0,1.0,0.41935483870967744,9.0,850.0,0.47592385218365063,3.0,0.005039193729003359,0.4444444444444444,0.5555555555555556,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.04005375877022743,0.04503645449876785,0.7355120182037354,0.7247058987617493,0.7490196228027344,0.009077413938939571,-0.047997236251831055,0.02100205421447754,-0.017997562885284424,0.325,0.675,2.894758554374645,1.7263931845047613,1.0,0.5224929709465792,0.6778877887788779,1.0,0.0689992904663086,0.7835092544555664,0.5291153415453528,0.0011048527533165688,0.4708846584546473,38.0,47.0,0.013836649246513844,0.7145099639892578,0.023200832307338715,0.7535095810890198,0.0423487052321434,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.40790868833031874,0.25620935516728044,0.0,0.0,0.8979496570792488,0.19509624452210572,0.8147991267798378,0.875380684006021,1.0,0.9217131694371752,0.0011459458011528478,0.0009035363874229652,0.0,0.0,0.0001106162292237034,-0.000721140511455054,0.00018213876524686423,0.00037631108315938633,-0.00018429103239836486,10520.png,1.0,0.0,1.0,1.0,2052.0,1.0,0.4772727272727273,18.0,992.0,0.4834307992202729,3.0,0.008771929824561403,0.2777777777777778,0.7222222222222222,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.03307371586561203,0.04262101873755455,0.7235293984413147,0.6929411947727203,0.7435294270515442,0.017598574981093407,-0.05332571268081665,0.010413885116577148,-0.023447751998901367,0.3387096774193548,0.6612903225806451,2.413818716685857,1.4091190345531963,1.0,0.5257731958762887,0.6778877887788779,1.0,0.0637395977973938,0.7768551111221313,0.5253411306042886,0.0012694052910445684,0.4746588693957115,38.0,54.0,0.013701822608709335,0.7131155133247375,0.023471200838685036,0.7469771504402161,0.0413781963288784,R216-soft-seam-action-candidate-diagnostic,val
