rank,image,group,candidate_rank,action_frac,panel
1,1620.png,safe_useful,1.0,0.75,panels/001_safe_useful_1620_r1_f0.75.jpg
2,11852.png,safe_useful,1.0,0.75,panels/002_safe_useful_11852_r1_f0.75.jpg
3,1666.png,safe_useful,2.0,0.75,panels/003_safe_useful_1666_r2_f0.75.jpg
4,13436.png,safe_useful,2.0,1.0,panels/004_safe_useful_13436_r2_f1.00.jpg
5,15067.png,safe_useful,1.0,1.0,panels/005_safe_useful_15067_r1_f1.00.jpg
6,1620.png,safe_useful,1.0,0.5,panels/006_safe_useful_1620_r1_f0.50.jpg
7,11945.png,safe_useful,1.0,1.0,panels/007_safe_useful_11945_r1_f1.00.jpg
8,1660.png,safe_useful,2.0,0.75,panels/008_safe_useful_1660_r2_f0.75.jpg
9,1934.png,hard_risk,1.0,1.0,panels/009_hard_risk_1934_r1_f1.00.jpg
10,1855.png,hard_risk,1.0,1.0,panels/010_hard_risk_1855_r1_f1.00.jpg
11,1560.png,hard_risk,1.0,1.0,panels/011_hard_risk_1560_r1_f1.00.jpg
12,1934.png,hard_risk,1.0,0.75,panels/012_hard_risk_1934_r1_f0.75.jpg
13,1452.png,hard_risk,2.0,1.0,panels/013_hard_risk_1452_r2_f1.00.jpg
14,1855.png,hard_risk,1.0,0.75,panels/014_hard_risk_1855_r1_f0.75.jpg
15,1931.png,hard_risk,1.0,1.0,panels/015_hard_risk_1931_r1_f1.00.jpg
16,5825.png,hard_risk,1.0,1.0,panels/016_hard_risk_5825_r1_f1.00.jpg
17,1694.png,ambiguous,2.0,0.75,panels/017_ambiguous_1694_r2_f0.75.jpg
18,13441.png,ambiguous,2.0,0.25,panels/018_ambiguous_13441_r2_f0.25.jpg
19,10375.png,ambiguous,1.0,0.25,panels/019_ambiguous_10375_r1_f0.25.jpg
20,10375.png,ambiguous,1.0,0.75,panels/020_ambiguous_10375_r1_f0.75.jpg
21,1694.png,ambiguous,1.0,1.0,panels/021_ambiguous_1694_r1_f1.00.jpg
22,1886.png,ambiguous,2.0,0.25,panels/022_ambiguous_1886_r2_f0.25.jpg
23,1694.png,ambiguous,2.0,0.5,panels/023_ambiguous_1694_r2_f0.50.jpg
24,1694.png,ambiguous,2.0,0.25,panels/024_ambiguous_1694_r2_f0.25.jpg
