accepted,accepted_images,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,num_hard_risk,num_images,num_overerosion_proxy,num_quick_useful,num_rows,num_safe_channel_proxy_positive,risk_threshold,useful_threshold
2,2,1.0,0.0,-0.0006284439646101758,-0.0005008357655307688,0.0,-0.0001491809101563102,0.0,-0.0002573257433609588,-0.00027885536780491993,2,2,2,0,2,0,0.05,0.2
15,15,0.5326421447399095,0.4495800774823128,-7.995343258170677e-05,-5.094455163718129e-05,0.0,-4.5178463682845246e-05,-0.00040584931100719754,-6.94229052423075e-05,-0.00020848299688509543,7,15,7,8,15,7,0.1,0.2
40,40,0.5838486408853026,0.3529629533175959,2.2838839002240625e-05,3.508840390555219e-05,0.0,-3.031454595162908e-05,-0.00027706704897370886,-4.201106023109108e-05,-0.00016156900721461947,21,40,23,17,40,13,0.2,0.2
58,58,0.5937435682661324,0.3599920639177757,2.105979037036685e-05,2.370278237680292e-05,0.1206896551724138,-5.86837793239789e-05,-0.000317134721452922,-9.222209651365247e-05,-0.00020539784337902453,33,58,34,22,58,19,0.3,0.2
68,68,0.5698091333207558,0.38824458112276833,0.00011639483395954037,8.77264065354207e-05,0.10294117647058823,-4.247206368251932e-05,-0.0003761310372220124,-6.398309052591386e-05,-0.00019405933916387071,36,68,39,29,68,23,0.4,0.2
76,76,0.5718232965853417,0.39064581633781154,3.5331962461599376e-05,3.681006895351237e-05,0.09210526315789473,-4.7992374239180204e-05,-0.00032482949617001724,-7.401022462219009e-05,-0.00019432432070314325,39,76,45,33,76,27,0.5,0.2
2,2,1.0,0.0,-0.0006284439646101758,-0.0005008357655307688,0.0,-0.0001491809101563102,0.0,-0.0002573257433609588,-0.00027885536780491993,2,2,2,0,2,0,0.05,0.3
15,15,0.5326421447399095,0.4495800774823128,-7.995343258170677e-05,-5.094455163718129e-05,0.0,-4.5178463682845246e-05,-0.00040584931100719754,-6.94229052423075e-05,-0.00020848299688509543,7,15,7,8,15,7,0.1,0.3
39,39,0.5988191188567206,0.33637225981291885,-2.1526326749831953e-06,1.247882667010832e-05,0.0,-3.458553063578184e-05,-0.00027296808782113145,-4.9145395910617405e-05,-0.00016571180227140458,21,39,23,16,39,12,0.2,0.3
56,56,0.5970915528470656,0.35499178048626767,6.522767116778211e-06,9.876054380749092e-06,0.125,-6.0638288225615756e-05,-0.0003206587019704508,-9.573869257449871e-05,-0.0002081110699629421,32,56,33,21,56,18,0.3,0.3
66,66,0.562076076754718,0.3947065381264886,0.0001509849111069555,0.0001139478336956222,0.10606060606060606,-3.624661533422874e-05,-0.00038406790659466835,-5.5169544690496943e-05,-0.00018624194587615883,34,66,37,29,66,23,0.4,0.3
71,71,0.5572988684970843,0.4025272242093895,9.468771646055969e-05,8.369392183302804e-05,0.09859154929577464,-3.9447531306935036e-05,-0.00033749461719505904,-6.081836820985858e-05,-0.00018415591771240179,35,71,41,32,71,26,0.5,0.3
2,2,1.0,0.0,-0.0006284439646101758,-0.0005008357655307688,0.0,-0.0001491809101563102,0.0,-0.0002573257433609588,-0.00027885536780491993,2,2,2,0,2,0,0.05,0.4
15,15,0.5326421447399095,0.4495800774823128,-7.995343258170677e-05,-5.094455163718129e-05,0.0,-4.5178463682845246e-05,-0.00040584931100719754,-6.94229052423075e-05,-0.00020848299688509543,7,15,7,8,15,7,0.1,0.4
