action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_rank,candidate_recall,cut_anchor_area_frac,cut_area,cut_bbox_area,cut_bbox_h,cut_bbox_w,cut_fill,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_min_dist_in,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,dist_percentile,image,inner_mean_image,inner_outer_abs_diff,local_anchor_frac,local_bg_frac,local_h,local_w,outer_mean_image,r216_bg_channel_proxy,r216_bg_component_count_delta,r216_bg_components_after,r216_bg_components_before,r216_crop_area,r216_cut_adjacent_bg_components_before,r216_cut_adjacent_bg_frac_before,r216_cut_area,r216_cut_component_bg_area_after,r216_cut_component_bg_frac_crop_after,r216_cut_component_border_contacts_after,r216_cut_frac_crop,r216_cut_gt_fg_frac,r216_cut_gt_gap_frac,r223_hard_risk,r223_overerosion_proxy,r223_quick_useful,r223_safe_channel_proxy_positive,ring_bg_frac,ring_fg_frac,ring_mean_image,ring_std_image,run_id,split
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43655497762187007,0.27922630560928435,1.0,-1.0,0.9024644091736981,0.13879296168393357,0.8222643682053714,0.904886139167381,1.0,0.9000556070435588,0.00014905906465436928,4.0,5.0,5.0,1.0,0.8,1.0,1.0,0.04645915701985359,0.7205882668495178,1.0,0.05560935065150261,5.0,0.011221100576221943,0.00017813972025454428,0.00014573908966514226,0.0,0.0,-4.441818181200041e-05,-5.4815545688757794e-05,-7.375154537359041e-05,2.3087183032233227e-05,-0.00011121408711778358,10.0,10375.png,0.771459698677063,0.08795332908630371,0.7514831905075807,0.24851680949241925,41.0,37.0,0.6835063695907593,1.0,0.0,1.0,1.0,1517.0,1.0,0.4117647058823529,4.0,381.0,0.25115359261700726,3.0,0.0026367831245880024,0.75,0.25,0.0,1.0,1.0,0.0,0.4146341463414634,0.5853658536585366,0.7281683683395386,0.042717307806015015,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43627124795838124,0.27899419729206965,1.0,-1.0,0.9024440107796673,0.13879296168393357,0.8222305008974836,0.9048825941110697,1.0,0.9000185356811863,0.0001863238308179616,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0447816327214241,0.7207843065261841,1.0,0.05444016382098198,5.0,0.010044115595519543,-0.0001055899432342855,-8.636922754956533e-05,0.0,0.0,-6.481657584278544e-05,-5.4815545688757794e-05,-0.00010761885326138199,1.954212672095057e-05,-0.0001482854494903041,10.0,10375.png,0.771459698677063,0.08795332908630371,0.7514831905075807,0.24851680949241925,41.0,37.0,0.6835063695907593,1.0,0.0,1.0,1.0,1517.0,1.0,0.4375,5.0,382.0,0.25181278839815424,3.0,0.0032959789057350032,0.8,0.2,1.0,1.0,0.0,0.0,0.425,0.575,0.7283333539962769,0.04323507100343704,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4358927815090458,0.2786847195357834,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,0.00014905906465436928,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.04610263556241989,0.7078431844711304,1.0,0.05260849446058274,4.0,0.016752947121858597,-0.00048405639256970945,-0.0003958469838358236,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10.0,10375.png,0.7849169969558716,0.10786974430084229,0.7418918918918919,0.2581081081081081,40.0,37.0,0.6770472526550293,1.0,0.0,1.0,1.0,1480.0,1.0,0.5,4.0,386.0,0.2608108108108108,3.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,0.4722222222222222,0.5277777777777778,0.7261437773704529,0.05029283091425896,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4358927815090458,0.2786847195357834,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,0.00014905906465436928,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.04610263556241989,0.7078431844711304,1.0,0.05260849446058274,4.0,0.016752947121858597,-0.00048405639256970945,-0.0003958469838358236,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10.0,10375.png,0.7849169969558716,0.10786974430084229,0.7418918918918919,0.2581081081081081,40.0,37.0,0.6770472526550293,1.0,0.0,1.0,1.0,1480.0,1.0,0.5,4.0,386.0,0.2608108108108108,3.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,0.4722222222222222,0.5277777777777778,0.7261437773704529,0.05029283091425896,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.40715799975059236,0.25561731777969154,0.0,0.0,0.8978404868328935,0.19554002329838577,0.8146193687090785,0.8751399776035834,1.0,0.9217500276436549,0.00031485044603813187,9.0,22.0,2.0,11.0,0.4090909090909091,1.0,1.0,0.03644115477800369,0.7355120182037354,1.0,0.040974438190460205,5.5,0.009077413938939571,0.00039525722142647046,0.00031149899983407003,0.0,0.0,1.4459828684421083e-06,-0.00027736173517500795,2.380694487547075e-06,0.00013560468072182363,-0.00014743282591866969,10.0,10520.png,0.7945602536201477,0.08005028963088989,0.5291153415453528,0.4708846584546473,38.0,47.0,0.7145099639892578,1.0,0.0,1.0,1.0,1786.0,1.0,0.41935483870967744,9.0,850.0,0.47592385218365063,3.0,0.005039193729003359,0.4444444444444444,0.5555555555555556,0.0,0.0,1.0,1.0,0.43478260869565216,0.5652173913043478,0.7535095810890198,0.0423487052321434,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.40790868833031874,0.25620935516728044,0.0,0.0,0.8979496570792488,0.19509624452210572,0.8147991267798378,0.875380684006021,1.0,0.9217131694371752,0.0006297008920762637,18.0,36.0,2.0,18.0,0.5,1.0,1.0,0.030090663582086563,0.7235293984413147,1.0,0.03877686001360416,9.0,0.017598574981093407,0.0011459458011528478,0.0009035363874229652,0.0,0.0,0.0001106162292237034,-0.000721140511455054,0.00018213876524686423,0.00037631108315938633,-0.00018429103239836486,10.0,10520.png,0.7823094129562378,0.06919389963150024,0.5253411306042886,0.4746588693957115,38.0,54.0,0.7131155133247375,1.0,0.0,1.0,1.0,2052.0,1.0,0.4772727272727273,18.0,992.0,0.4834307992202729,3.0,0.008771929824561403,0.2777777777777778,0.7222222222222222,0.0,0.0,1.0,1.0,0.46875,0.53125,0.7469771504402161,0.0413781963288784,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.406437125748503,0.2550493189290747,0.0,0.0,0.8977599080987938,0.19581738503356078,0.8144867118290776,0.8749868793954025,2.0,0.9217500276436549,0.00013993353157250307,4.0,5.0,5.0,1.0,0.8,1.0,1.0,0.02357294037938118,0.6921569108963013,1.0,0.02520925346761942,5.0,0.004384446889162064,-0.00032561678066289623,-0.0002564998507827987,0.0,0.0,-7.913275123128116e-05,0.0,-0.00013027618551331166,-1.749352745905597e-05,-0.00014743282591866969,10.0,10520.png,0.7260131239891052,0.045228779315948486,0.7389584706657878,0.26104152933421226,41.0,37.0,0.6807843446731567,1.0,0.0,1.0,1.0,1517.0,1.0,0.47058823529411764,4.0,400.0,0.26367831245880025,3.0,0.0026367831245880024,1.0,0.0,1.0,1.0,0.0,0.0,0.4878048780487805,0.5121951219512195,0.6999521851539612,0.02258792147040367,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.406138873292158,0.2548144668858619,0.0,0.0,0.8977401231354669,0.19581738503356078,0.8144541427826993,0.8749825052484255,2.0,0.9217131694371752,0.00017491691446562882,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.022952590137720108,0.6925490498542786,1.0,0.02501564137637615,5.0,0.003999230917543173,-0.0006238692370079124,-0.000491351893995573,0.0,0.0,-9.891771455816656e-05,0.0,-0.00016284523189158406,-2.1867674436126805e-05,-0.00018429103239836486,10.0,10520.png,0.7260131239891052,0.045228779315948486,0.7389584706657878,0.26104152933421226,41.0,37.0,0.6807843446731567,1.0,0.0,1.0,1.0,1517.0,1.0,0.5,5.0,401.0,0.2643375082399473,3.0,0.0032959789057350032,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.7000980377197266,0.022849446162581444,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.406437125748503,0.2550493189290747,0.0,0.0,0.8977599080987938,0.19581738503356078,0.8144867118290776,0.8749868793954025,3.0,0.9217500276436549,0.00013993353157250307,4.0,5.0,5.0,1.0,0.8,1.0,1.0,0.03209031745791435,0.6823529601097107,1.0,0.033382301405072215,5.0,0.0,-0.00032561678066289623,-0.0002564998507827987,0.0,0.0,-7.913275123128116e-05,0.0,-0.00013027618551331166,-1.749352745905597e-05,-0.00014743282591866969,10.0,10520.png,0.7328105568885803,0.05614382028579712,0.6420566908371786,0.35794330916282135,41.0,37.0,0.6766667366027832,1.0,0.0,1.0,1.0,1517.0,1.0,0.47058823529411764,4.0,547.0,0.36058009228740934,3.0,0.0026367831245880024,1.0,0.0,1.0,1.0,0.0,0.0,0.4878048780487805,0.5121951219512195,0.7030129432678223,0.027662290260195732,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.406138873292158,0.2548144668858619,0.0,0.0,0.8977401231354669,0.19581738503356078,0.8144541427826993,0.8749825052484255,3.0,0.9217131694371752,0.00017491691446562882,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.03194676339626312,0.6823529601097107,1.0,0.033095193654298784,5.0,0.0,-0.0006238692370079124,-0.000491351893995573,0.0,0.0,-9.891771455816656e-05,0.0,-0.00016284523189158406,-2.1867674436126805e-05,-0.00018429103239836486,10.0,10520.png,0.7328105568885803,0.05614382028579712,0.6420566908371786,0.35794330916282135,41.0,37.0,0.6766667366027832,1.0,0.0,1.0,1.0,1517.0,1.0,0.5,5.0,548.0,0.3612392880685564,3.0,0.0032959789057350032,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.7035294771194458,0.027809975668787956,R223-structured-seam-background-proposal-diagnostic,val
