accepted,accepted_images,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,num_hard_risk,num_images,num_overerosion_proxy,num_quick_useful,num_rows,num_safe_channel_proxy_positive,risk_threshold,useful_threshold
0,0,,,,,,,,,,0,0,0,0,0,0,0.05,0.2
0,0,,,,,,,,,,0,0,0,0,0,0,0.1,0.2
0,0,,,,,,,,,,0,0,0,0,0,0,0.2,0.2
0,0,,,,,,,,,,0,0,0,0,0,0,0.3,0.2
0,0,,,,,,,,,,0,0,0,0,0,0,0.4,0.2
8,8,0.6014816689158794,0.3985183310841206,0.0003560389675140718,0.00030402586167787085,0.0,-1.560003880130001e-06,-0.0003323336820500143,-7.443226877068554e-07,-0.00012822085630964652,3,8,5,5,8,3,0.5,0.2
0,0,,,,,,,,,,0,0,0,0,0,0,0.05,0.3
0,0,,,,,,,,,,0,0,0,0,0,0,0.1,0.3
0,0,,,,,,,,,,0,0,0,0,0,0,0.2,0.3
0,0,,,,,,,,,,0,0,0,0,0,0,0.3,0.3
0,0,,,,,,,,,,0,0,0,0,0,0,0.4,0.3
8,8,0.6014816689158794,0.3985183310841206,0.0003560389675140718,0.00030402586167787085,0.0,-1.560003880130001e-06,-0.0003323336820500143,-7.443226877068554e-07,-0.00012822085630964652,3,8,5,5,8,3,0.5,0.3
0,0,,,,,,,,,,0,0,0,0,0,0,0.05,0.4
0,0,,,,,,,,,,0,0,0,0,0,0,0.1,0.4
0,0,,,,,,,,,,0,0,0,0,0,0,0.2,0.4
0,0,,,,,,,,,,0,0,0,0,0,0,0.3,0.4
0,0,,,,,,,,,,0,0,0,0,0,0,0.4,0.4
8,8,0.6014816689158794,0.3985183310841206,0.0003560389675140718,0.00030402586167787085,0.0,-1.560003880130001e-06,-0.0003323336820500143,-7.443226877068554e-07,-0.00012822085630964652,3,8,5,5,8,3,0.5,0.4
0,0,,,,,,,,,,0,0,0,0,0,0,0.05,0.5
0,0,,,,,,,,,,0,0,0,0,0,0,0.1,0.5
0,0,,,,,,,,,,0,0,0,0,0,0,0.2,0.5
0,0,,,,,,,,,,0,0,0,0,0,0,0.3,0.5
0,0,,,,,,,,,,0,0,0,0,0,0,0.4,0.5
4,4,0.6346153846153846,0.3653846153846154,3.413902617242781e-05,6.477229888045971e-05,0.0,-3.8504499429298233e-05,-0.00020160132835748967,-5.579518605111633e-05,-0.00014652405517270872,2,4,3,2,4,1,0.5,0.5
0,0,,,,,,,,,,0,0,0,0,0,0,0.05,0.6
0,0,,,,,,,,,,0,0,0,0,0,0,0.1,0.6
0,0,,,,,,,,,,0,0,0,0,0,0,0.2,0.6
0,0,,,,,,,,,,0,0,0,0,0,0,0.3,0.6
0,0,,,,,,,,,,0,0,0,0,0,0,0.4,0.6
0,0,,,,,,,,,,0,0,0,0,0,0,0.5,0.6
0,0,,,,,,,,,,0,0,0,0,0,0,0.05,0.7
0,0,,,,,,,,,,0,0,0,0,0,0,0.1,0.7
0,0,,,,,,,,,,0,0,0,0,0,0,0.2,0.7
0,0,,,,,,,,,,0,0,0,0,0,0,0.3,0.7
0,0,,,,,,,,,,0,0,0,0,0,0,0.4,0.7
0,0,,,,,,,,,,0,0,0,0,0,0,0.5,0.7
0,0,,,,,,,,,,0,0,0,0,0,0,0.05,0.8
0,0,,,,,,,,,,0,0,0,0,0,0,0.1,0.8
0,0,,,,,,,,,,0,0,0,0,0,0,0.2,0.8
0,0,,,,,,,,,,0,0,0,0,0,0,0.3,0.8
0,0,,,,,,,,,,0,0,0,0,0,0,0.4,0.8
0,0,,,,,,,,,,0,0,0,0,0,0,0.5,0.8
