accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,corridor_radius,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,dilate_radius,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,ridge_area,ridge_score,ridge_slenderness,safe_gap_positive,seam_prob_mean,seam_prob_p90
0.0,0.2,0.4092825049793877,0.25729427523149495,1.0,1.0,0.874332549195325,prob_ridge,0.19483170466883823,0.7767236660972252,0.8569886176481353,0.8923930027821182,,25.0,0.12,0.88,0.001648066417114069,0.0013012743566043206,0.0,0.0,0.0001480024426721016,-0.0009554831704668698,0.00023357242235166886,0.0003370107633151598,-5.7166812759690266e-05,0.0,0.0,11852.png,0.0,19.0,1.0,recall_drop,25.0,1.0309267520904541,2.5,1.0,0.9682899305240535,0.9878683352980939
0.0,0.2,0.4088971269694161,0.2569897483690587,1.0,1.0,0.874294088545799,prob_ridge,0.19509229098805647,0.7766629629015407,0.8568971511170476,0.8924120583863714,,18.0,0.1111111111111111,0.8888888888888888,0.0012626884071424982,0.0009967474941680599,0.0,0.0,0.00010954179314615065,-0.0006948968512486275,0.00017286922666714943,0.0002455442322274459,-3.8111208506497185e-05,0.0,0.0,11852.png,0.0,19.0,1.0,recall_drop,18.0,1.0820969104766847,5.0,1.0,0.9698112788808212,0.9894232244357865
0.0,0.25,0.4088781798804504,0.25697478012697306,1.0,1.0,0.874217065407126,corridor,0.19522258414766558,0.776541408245166,0.8568370203655926,0.8923167803651054,1.0,20.0,0.35,0.65,0.0012437413181767831,0.0009817792520824264,0.0,0.0,3.251865447306823e-05,-0.0005646036916395203,5.131457029250441e-05,0.00018541348077250053,-0.0001333892297724626,,0.0,11852.png,0.0,19.0,1.0,low_mean_prob,,,,0.0,0.040335573680646455,0.14010824077065523
0.0,0.35,0.4087354832739555,0.25686206094440567,1.0,1.0,0.874109618454587,corridor,0.19517915309446254,0.776371867796554,0.8568238803784842,0.8921071687183201,1.0,32.0,0.5625,0.4375,0.0011010447116818756,0.0008690600695150374,0.0,0.0,-7.492829806587942e-05,-0.000608034744842556,-0.00011822587831955556,0.00017227349366411016,-0.00034300087655780853,,0.0,11852.png,1.0,19.0,1.0,low_mean_prob,,,,0.0,0.19414447784260458,0.9994738287420584
0.0,0.2,0.4085911768798998,0.2567480907129948,1.0,1.0,0.8742788865448163,prob_ridge,0.19500542888165037,0.7766389704297063,0.8569206558336994,0.8923548915736118,,23.0,0.21739130434782608,0.782608695652174,0.0009567383176262156,0.0007550898381041837,0.0,0.0,9.433979216344479e-05,-0.0007817589576547268,0.00014887675483277185,0.0002690489488792469,-9.527802126607643e-05,0.0,0.0,11852.png,0.0,19.0,1.0,recall_drop,23.0,0.9747781348228455,1.0,1.0,0.9353267751485994,0.9814323134385281
0.0,0.2,0.40823900538133234,0.25647003963627885,1.0,1.0,0.874259098503729,prob_ridge,0.19522258414766558,0.7766077410367815,0.8568474979416338,0.8923930027821182,,16.0,0.1875,0.8125,0.0006045668190587383,0.00047703876138821544,0.0,0.0,7.455175107606848e-05,-0.0005646036916395203,0.00011764736190800207,0.00019589105681372398,-5.7166812759690266e-05,0.0,0.0,11852.png,0.0,19.0,1.0,recall_drop,16.0,0.9826735496520996,1.25,1.0,0.9481597199340944,0.9825086390003113
0.0,0.25,0.40810660744031096,0.25636553889082664,1.0,1.0,0.8740708923168864,corridor,0.19474484256243213,0.7763107697921677,0.8569780642326144,0.8918594458630283,2.0,57.0,0.543859649122807,0.45614035087719296,0.0004721688780373601,0.0003725380159360081,0.0,0.0,-0.00011365443576649703,-0.001042345276872969,-0.00017932388270580635,0.00032645734779424007,-0.0005907237318495406,,0.0,11852.png,1.0,19.0,1.0,low_mean_prob,,,,0.0,0.02141690670346057,0.029436438937332617
0.0,0.5,0.4078297400858686,0.2561470656460218,1.0,1.0,0.8739203914135519,corridor,0.19517915309446254,0.7760733652841578,0.8567766976071475,0.8917641678417623,1.0,50.0,0.72,0.28,0.00019530152359498176,0.00015406477113116823,0.0,0.0,-0.0002641553391009577,-0.000608034744842556,-0.0004167283907157149,0.00012509072232735896,-0.0006860017531156171,,0.0,11852.png,1.0,19.0,1.0,recall_drop,,,,0.0,0.48406910815258053,0.9994906731480931
0.0,0.35,0.4077472907539774,0.2560820203892493,1.0,1.0,0.8738885152805799,corridor,0.1944842562432139,0.7760230910870395,0.857014619133111,0.8914402225694577,2.0,85.0,0.6235294117647059,0.3764705882352941,0.00011285219170381611,8.901951435869027e-05,0.0,0.0,-0.0002960314720730217,-0.0013029315960912113,-0.00046700258783405335,0.00036301224829093925,-0.0010099470254202325,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.030073877631293006,0.059782552906417076
0.0,0.5,0.4069868995633188,0.25548245614035087,1.0,1.0,0.8734652688232326,corridor,0.19444082519001085,0.7753558276102319,0.8569228512760341,0.8906589427950761,2.0,127.0,0.7401574803149606,0.25984251968503935,-0.0006475389989548108,-0.000510544734539764,0.0,0.0,-0.0007192779294202811,-0.001346362649294247,-0.0011342660646416203,0.00027124439121395394,-0.001791226799801815,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.2723347708890485,0.9994906731480931
