rank,image,panel,summary
1,10520.png,panels/01_10520_r235_allanchors_hgb_seam_panel.jpg,"cut=9.0 px, Dice +0.000145, Recall +0.000000, BIoU +0.000430, gapFP -0.000499"
2,11852.png,panels/02_11852_r235_allanchors_hgb_seam_panel.jpg,"cut=31.0 px, Dice +0.000253, Recall +0.000000, BIoU +0.000740, gapFP -0.001086"
3,12827.png,panels/03_12827_r235_allanchors_hgb_seam_panel.jpg,"cut=5.0 px, Dice +0.000031, Recall +0.000000, BIoU +0.000191, gapFP -0.000183"
4,13436.png,panels/04_13436_r235_allanchors_hgb_seam_panel.jpg,"cut=86.0 px, Dice +0.000630, Recall +0.000000, BIoU +0.000959, gapFP -0.002550"
5,13441.png,panels/05_13441_r235_allanchors_hgb_seam_panel.jpg,"cut=7.0 px, Dice +0.000149, Recall +0.000000, BIoU +0.000329, gapFP -0.000464"
6,13517.png,panels/06_13517_r235_allanchors_hgb_seam_panel.jpg,"cut=17.0 px, Dice +0.000506, Recall +0.000000, BIoU +0.000200, gapFP -0.001506"
7,13867.png,panels/07_13867_r235_allanchors_hgb_seam_panel.jpg,"cut=8.0 px, Dice +0.000073, Recall +0.000000, BIoU +0.000010, gapFP -0.000341"
8,14041.png,panels/08_14041_r235_allanchors_hgb_seam_panel.jpg,"cut=41.0 px, Dice +0.000283, Recall +0.000000, BIoU +0.001176, gapFP -0.001611"
9,15446.png,panels/09_15446_r235_allanchors_hgb_seam_panel.jpg,"cut=20.0 px, Dice +0.000222, Recall +0.000000, BIoU +0.001815, gapFP -0.000940"
10,1620.png,panels/10_1620_r235_allanchors_hgb_seam_panel.jpg,"cut=19.0 px, Dice +0.000099, Recall +0.000000, BIoU +0.000744, gapFP -0.000592"
11,3249.png,panels/11_3249_r235_allanchors_hgb_seam_panel.jpg,"cut=24.0 px, Dice +0.000083, Recall +0.000000, BIoU +0.000416, gapFP -0.000673"
12,3602.png,panels/12_3602_r235_allanchors_hgb_seam_panel.jpg,"cut=4.0 px, Dice +0.000037, Recall +0.000000, BIoU +0.000178, gapFP -0.000179"
13,5882.png,panels/13_5882_r235_allanchors_hgb_seam_panel.jpg,"cut=12.0 px, Dice +0.000536, Recall +0.000000, BIoU +0.002064, gapFP -0.001478"
14,6503.png,panels/14_6503_r235_allanchors_hgb_seam_panel.jpg,"cut=14.0 px, Dice +0.000333, Recall +0.000000, BIoU +0.002518, gapFP -0.001073"
15,6698.png,panels/15_6698_r235_allanchors_hgb_seam_panel.jpg,"cut=9.0 px, Dice +0.000163, Recall +0.000000, BIoU +0.001188, gapFP -0.000553"
