rank,image,panel,summary
1,10520.png,panels/01_10520_r236_looseprob_hgb_seam_panel.jpg,"cut=9.0 px, Dice +0.000145, Recall +0.000000, BIoU +0.000430, gapFP -0.000499"
2,10624.png,panels/02_10624_r236_looseprob_hgb_seam_panel.jpg,"cut=8.0 px, Dice +0.000079, Recall +0.000000, BIoU +0.000273, gapFP -0.000370"
3,11852.png,panels/03_11852_r236_looseprob_hgb_seam_panel.jpg,"cut=36.0 px, Dice +0.000294, Recall +0.000000, BIoU +0.000887, gapFP -0.001173"
4,12827.png,panels/04_12827_r236_looseprob_hgb_seam_panel.jpg,"cut=5.0 px, Dice +0.000031, Recall +0.000000, BIoU +0.000191, gapFP -0.000183"
5,13436.png,panels/05_13436_r236_looseprob_hgb_seam_panel.jpg,"cut=92.0 px, Dice +0.000674, Recall +0.000000, BIoU +0.001164, gapFP -0.002775"
6,13441.png,panels/06_13441_r236_looseprob_hgb_seam_panel.jpg,"cut=9.0 px, Dice +0.000192, Recall +0.000000, BIoU +0.000402, gapFP -0.000596"
7,13517.png,panels/07_13517_r236_looseprob_hgb_seam_panel.jpg,"cut=19.0 px, Dice +0.000565, Recall +0.000000, BIoU +0.000361, gapFP -0.001683"
8,13867.png,panels/08_13867_r236_looseprob_hgb_seam_panel.jpg,"cut=15.0 px, Dice +0.000137, Recall +0.000000, BIoU +0.000123, gapFP -0.000639"
9,15446.png,panels/09_15446_r236_looseprob_hgb_seam_panel.jpg,"cut=27.0 px, Dice +0.000300, Recall +0.000000, BIoU +0.001987, gapFP -0.001269"
10,1620.png,panels/10_1620_r236_looseprob_hgb_seam_panel.jpg,"cut=19.0 px, Dice +0.000099, Recall +0.000000, BIoU +0.000744, gapFP -0.000592"
11,1736.png,panels/11_1736_r236_looseprob_hgb_seam_panel.jpg,"cut=37.0 px, Dice +0.000131, Recall +0.000000, BIoU +0.000032, gapFP -0.000408"
12,3058.png,panels/12_3058_r236_looseprob_hgb_seam_panel.jpg,"cut=13.0 px, Dice +0.000081, Recall +0.000000, BIoU +0.000000, gapFP -0.000517"
13,3392.png,panels/13_3392_r236_looseprob_hgb_seam_panel.jpg,"cut=29.0 px, Dice +0.000251, Recall +0.000000, BIoU +0.000123, gapFP -0.001262"
14,3602.png,panels/14_3602_r236_looseprob_hgb_seam_panel.jpg,"cut=4.0 px, Dice +0.000037, Recall +0.000000, BIoU +0.000178, gapFP -0.000179"
15,3678.png,panels/15_3678_r236_looseprob_hgb_seam_panel.jpg,"cut=12.0 px, Dice +0.000170, Recall +0.000000, BIoU +0.001180, gapFP -0.000672"
16,5882.png,panels/16_5882_r236_looseprob_hgb_seam_panel.jpg,"cut=14.0 px, Dice +0.000625, Recall +0.000000, BIoU +0.002465, gapFP -0.001724"
17,6503.png,panels/17_6503_r236_looseprob_hgb_seam_panel.jpg,"cut=9.0 px, Dice +0.000214, Recall +0.000000, BIoU +0.001111, gapFP -0.000690"
18,6606.png,panels/18_6606_r236_looseprob_hgb_seam_panel.jpg,"cut=12.0 px, Dice +0.000061, Recall +0.000000, BIoU +0.000225, gapFP -0.000404"
19,6698.png,panels/19_6698_r236_looseprob_hgb_seam_panel.jpg,"cut=17.0 px, Dice +0.000307, Recall +0.000000, BIoU +0.002010, gapFP -0.001045"
20,8253.png,panels/20_8253_r236_looseprob_hgb_seam_panel.jpg,"cut=4.0 px, Dice +0.000038, Recall +0.000000, BIoU +0.000464, gapFP -0.000175"
