action_frac,background_connected_by_cut,cut_adjacent_bg_components_before,cut_area,cut_bg_channel_area_after,cut_bg_channel_border_contacts_after,cut_bg_channel_frac_after,cut_frac_anchor,cut_gt_fg_frac,cut_gt_fg_pixels,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,gt_a,gt_b,image,local_bg_component_delta,local_bg_components_after,local_bg_components_before,merge_targeted_promotable,num_component_gt_instances,overerosion_proxy,pred_component_id,replayed_cut_pixels,run_id,safe_nonmerge_gain,seam_radius,split
0.35,0.0,0.0,10.0,10.0,0.0,0.0036982248520710057,0.0003726476616359232,0.0,0.0,1.0,0.0024707794203631117,0.002024354557446706,0.0,0.0,0.00016775257014045586,-0.0005481554568875779,0.0,0.0,0.0,0.00027858869833696787,0.0,0.00033732080223092265,0.0,0.0,20.0,22.0,10375.png,1.0,3.0,2.0,0.0,2.0,0.0,21.0,10.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,1.0,23.0,513.0,2.0,0.1796218487394958,0.0005013842565343448,0.0,0.0,1.0,0.003264029211129227,0.0021460597860194497,0.0,0.0,0.00022854185104903557,-0.0010633379565418433,0.0,0.0,0.0,0.00034833155381341907,0.0,0.00040176352421095185,0.0,0.0,27.0,26.0,10624.png,0.0,2.0,2.0,0.0,2.0,0.0,25.0,23.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,0.0,0.0,3.0,3.0,0.0,0.0012,5.487369903605202e-05,0.0,0.0,1.0,0.0008299913416662807,0.0006550047234298861,0.0,0.0,2.4476449333232786e-05,-0.00013029315960910726,0.0,0.0,0.0,3.862366164320008e-05,0.0,4.701022207975747e-05,0.0,0.0,22.0,24.0,11852.png,1.0,2.0,1.0,0.0,4.0,0.0,19.0,3.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,2.0,39.0,393.0,2.0,0.08727514990006663,0.0007471550634123913,0.0,0.0,1.0,0.0030424328557856484,0.002618324445770537,0.0,0.0,0.00035284268983870604,-0.001656824843876109,0.0,0.0,0.0,0.0006266501157802251,0.0,0.0006977353090310556,0.0,0.0,22.0,24.0,11945.png,0.0,3.0,3.0,0.0,2.0,0.0,19.0,39.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,40.0,2424.0,4.0,0.2205641492265696,0.0004880191303499097,0.0,0.0,1.0,0.0025765475480544753,0.00218421359777049,0.0,0.0,0.00022955700711024818,-0.001410984514444949,0.0,0.0,0.0,0.00041620142149734196,0.0,0.0004681109235529224,0.0,0.0,22.0,24.0,12498.png,0.0,2.0,2.0,0.0,4.0,0.0,19.0,40.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.25,0.0,1.0,4.0,238.0,1.0,0.09164420485175202,0.00012093726379440664,0.0,0.0,1.0,0.00048577076984313017,0.0004298882565625384,0.0,0.0,5.495813125899751e-05,-0.00020640899943236146,0.0,0.0,0.0,9.363875191292781e-05,0.0,0.00011179867644528496,0.0,0.0,22.0,24.0,12627.png,0.0,3.0,3.0,0.0,2.0,0.0,19.0,4.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.15,1.0,3.0,5.0,248.0,1.0,0.08104575163398693,6.535520554212144e-05,0.0,0.0,1.0,0.0003891976410228537,0.00029523258803632046,0.0,0.0,3.050520314240579e-05,-0.00018294244630637224,0.0,0.0,0.0,5.2868692659302496e-05,0.0,6.0003767535343755e-05,0.0,0.0,22.0,24.0,12827.png,-1.0,2.0,3.0,0.0,5.0,0.0,20.0,5.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,1.0,11.0,191.0,1.0,0.07066222715501295,0.0001780770911916595,0.0,0.0,1.0,0.0004380799980701622,0.0003270817580067753,0.0,0.0,8.055108041216119e-05,-0.00041246390940793964,0.0,0.0,0.0,0.00013722619776124212,0.0,0.000165367184812526,0.0,0.0,22.0,24.0,13436.png,0.0,1.0,1.0,0.0,2.0,0.0,20.0,11.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,0.0,14.0,14.0,0.0,0.003430531732418525,0.0002913934852742221,0.0,0.0,1.0,0.0028280600539586365,0.002377808239049428,0.0,0.0,0.0001313356396926979,-0.0006013745704467333,0.0,0.0,0.0,0.0002272055038941012,0.0,0.0002765359423241298,0.0,0.0,22.0,24.0,13480.png,2.0,4.0,2.0,0.0,3.0,0.0,21.0,14.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,2.0,16.0,1300.0,4.0,0.33600413543551305,0.0003323777473098176,0.0,0.0,1.0,0.0005792192430653098,0.00039020598306552245,-1.0,1.0,0.0001464626595666374,-0.0006813729665275381,0.0,0.0,0.0,0.00022736082139995784,0.0,0.00028223997108012266,1.0,0.0,21.0,20.0,13867.png,0.0,2.0,2.0,0.0,2.0,0.0,19.0,16.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,4.0,1065.0,3.0,0.4176470588235294,0.00019339554223275153,0.0,0.0,1.0,0.0008669096304905199,0.0005485805411087757,0.0,0.0,7.16105656373145e-05,-0.000278570931123337,0.0,0.0,0.0,0.00010109598581642398,0.0,0.00017126807703027325,0.0,0.0,20.0,21.0,1399.png,0.0,1.0,1.0,0.0,2.0,0.0,19.0,4.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,1.0,1.0,55.0,1114.0,3.0,0.19875111507582516,0.0007886548416237686,0.0,0.0,1.0,0.003266185309016345,0.0027409840114742123,0.0,0.0,0.0003791058977495876,-0.0021608454799041388,0.0,0.0,0.0,0.0006754732545991571,0.0,0.000726215705505906,0.0,0.0,23.0,25.0,14041.png,1.0,3.0,2.0,0.0,8.0,0.0,19.0,55.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,28.0,1355.0,4.0,0.3321078431372549,0.0030864197530864196,0.0,0.0,1.0,0.0018384331051663205,0.0010907943789680158,0.0,0.0,0.000694256788381975,-0.0025619910330313828,0.0,0.0,0.0,0.0007489675586738742,0.0,0.0028048743864016457,0.0,0.0,21.0,20.0,1418.png,0.0,2.0,2.0,0.0,2.0,0.0,13.0,28.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,58.0,1227.0,4.0,0.2103909465020576,0.0004909180166912126,0.0,0.0,1.0,0.0015839558095326889,0.0010878122050326233,0.0,0.0,0.0002300909031422993,-0.0018076983013869397,0.0,0.0,0.0,0.0003958353455801866,0.0,0.00044520104773970726,0.0,0.0,16.0,11.0,1452.png,0.0,3.0,3.0,0.0,2.0,0.0,16.0,58.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,5.0,1085.0,3.0,0.40140584535701074,7.243857209086695e-05,0.0,0.0,1.0,0.00044541061992053876,0.0003664406642919227,0.0,0.0,3.4513953345527426e-05,-0.00018850852058513445,0.0,0.0,0.0,6.13919599350421e-05,0.0,6.712157523192097e-05,0.0,0.0,21.0,20.0,15040.png,0.0,1.0,1.0,0.0,2.0,0.0,21.0,5.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,5.0,1117.0,3.0,0.4211915535444947,7.693254554406697e-05,0.0,0.0,1.0,0.0005061024677038839,0.00042071207327043503,0.0,0.0,3.6739981878808337e-05,-0.0001884161736443457,0.0,0.0,0.0,6.509735080373336e-05,0.0,7.080867372200039e-05,0.0,0.0,20.0,21.0,15067.png,0.0,1.0,1.0,0.0,2.0,0.0,21.0,5.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,1.0,2.0,10.0,1611.0,4.0,0.42450592885375493,0.0002245021664459062,0.0,0.0,1.0,0.0008992717676892248,0.0007927490890895506,0.0,0.0,0.0001036045662533569,-0.0004299410980695695,0.0,0.0,0.0,0.00018144314022405794,0.0,0.00021103697688817924,0.0,0.0,20.0,21.0,15369.png,0.0,3.0,3.0,0.0,2.0,0.0,22.0,10.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,1.0,1.0,5.0,753.0,2.0,0.2896153846153846,0.00013179397965100954,0.0,0.0,1.0,0.000721646210898208,0.0005354755786811938,0.0,0.0,5.545999057232631e-05,-0.0002350286734981652,0.0,0.0,0.0,9.198250317332679e-05,0.0,0.00012738845501025775,0.0,0.0,27.0,24.0,15446.png,0.0,1.0,1.0,0.0,2.0,0.0,25.0,5.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,0.0,26.0,26.0,0.0,0.008176100628930818,0.0002291233388557933,0.0,0.0,1.0,0.0033747227290336357,0.0021578840163930524,0.0,0.0,0.00010433844537149906,-0.0007913077882947261,0.0,0.0,0.0,0.00017173376294310483,0.0,0.0002027696107930188,0.0,0.0,22.0,24.0,1572.png,1.0,2.0,1.0,0.0,5.0,0.0,19.0,26.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,0.0,1.0,38.0,177.0,1.0,0.057504873294346975,0.00025987881440549303,0.0,0.0,1.0,0.0017322514680823131,0.0010658854543153518,0.0,0.0,0.00011874023469249373,-0.0009848386678761312,0.0,0.0,0.0,0.0001921874446344507,0.0,0.00022451044979243662,0.0,0.0,22.0,24.0,1585.png,0.0,1.0,1.0,0.0,7.0,0.0,19.0,38.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.15,1.0,1.0,2.0,353.0,3.0,0.14408163265306123,0.00010712946595961219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.1463274082230726e-05,-0.00016287971333170392,0.0,0.0,0.0,8.824438811938506e-05,0.0,9.438893912461221e-05,0.0,0.0,20.0,22.0,1590.png,0.0,1.0,1.0,0.0,2.0,0.0,18.0,2.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,75.0,1306.0,4.0,0.17870826491516148,0.0008372124175345768,0.0,0.0,1.0,0.004403717544534225,0.003522489786046412,0.0,0.0,0.0003926672339157333,-0.002337103860895584,0.0,0.0,0.0,0.0006891492022903511,0.0,0.0007767327342462771,0.0,0.0,22.0,21.0,1620.png,0.0,2.0,2.0,0.0,4.0,0.0,20.0,75.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.15,1.0,1.0,11.0,528.0,2.0,0.13333333333333333,6.266092464738989e-05,0.0,0.0,1.0,2.2084194851723637e-06,1.4240964818779123e-06,0.0,0.0,2.893758273359026e-05,-0.00025466499976850576,0.0,0.0,0.0,4.915805531591211e-05,0.0,5.679702695515765e-05,0.0,0.0,16.0,11.0,1660.png,0.0,3.0,3.0,0.0,2.0,0.0,17.0,11.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
