action_frac,background_connected_by_cut,cut_adjacent_bg_components_before,cut_area,cut_bg_channel_area_after,cut_bg_channel_border_contacts_after,cut_bg_channel_frac_after,cut_frac_anchor,cut_gt_fg_frac,cut_gt_fg_pixels,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,gt_a,gt_b,image,local_bg_component_delta,local_bg_components_after,local_bg_components_before,merge_targeted_promotable,num_component_gt_instances,overerosion_proxy,pred_component_id,replayed_cut_pixels,run_id,safe_nonmerge_gain,seam_radius,split
0.35,0.0,0.0,14.0,14.0,0.0,0.003430531732418525,0.0002913934852742221,0.0,0.0,1.0,0.0028280600539586365,0.002377808239049428,0.0,0.0,0.0001313356396926979,-0.0006013745704467333,0.0,0.0,0.0,0.0002272055038941012,0.0,0.0002765359423241298,0.0,0.0,22.0,24.0,13480.png,2.0,4.0,2.0,0.0,3.0,0.0,21.0,14.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,1.0,5.0,1085.0,3.0,0.40140584535701074,7.243857209086695e-05,0.0,0.0,1.0,0.00044541061992053876,0.0003664406642919227,0.0,0.0,3.4513953345527426e-05,-0.00018850852058513445,0.0,0.0,0.0,6.13919599350421e-05,0.0,6.712157523192097e-05,0.0,0.0,21.0,20.0,15040.png,0.0,1.0,1.0,0.0,2.0,0.0,21.0,5.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,5.0,1117.0,3.0,0.4211915535444947,7.693254554406697e-05,0.0,0.0,1.0,0.0005061024677038839,0.00042071207327043503,0.0,0.0,3.6739981878808337e-05,-0.0001884161736443457,0.0,0.0,0.0,6.509735080373336e-05,0.0,7.080867372200039e-05,0.0,0.0,20.0,21.0,15067.png,0.0,1.0,1.0,0.0,2.0,0.0,21.0,5.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,1.0,2.0,10.0,1611.0,4.0,0.42450592885375493,0.0002245021664459062,0.0,0.0,1.0,0.0008992717676892248,0.0007927490890895506,0.0,0.0,0.0001036045662533569,-0.0004299410980695695,0.0,0.0,0.0,0.00018144314022405794,0.0,0.00021103697688817924,0.0,0.0,20.0,21.0,15369.png,0.0,3.0,3.0,0.0,2.0,0.0,22.0,10.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.15,1.0,1.0,11.0,528.0,2.0,0.13333333333333333,6.266092464738989e-05,0.0,0.0,1.0,2.2084194851723637e-06,1.4240964818779123e-06,0.0,0.0,2.893758273359026e-05,-0.00025466499976850576,0.0,0.0,0.0,4.915805531591211e-05,0.0,5.679702695515765e-05,0.0,0.0,16.0,11.0,1660.png,0.0,3.0,3.0,0.0,2.0,0.0,17.0,11.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,1.0,32.0,520.0,1.0,0.07142857142857142,0.00021015301766598804,0.0,0.0,1.0,0.0016251538953327982,0.0010301320231790867,0.0,0.0,9.449991093835042e-05,-0.000789032448959448,0.0,0.0,0.0,0.00015720001964902863,0.0,0.00019079532926535858,0.0,0.0,22.0,20.0,1694.png,2.0,4.0,2.0,0.0,7.0,0.0,19.0,32.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,4.0,1219.0,3.0,0.4876,3.5832661470930756e-05,0.0,0.0,1.0,0.0003435104062264327,0.00024316531767809568,0.0,0.0,1.653979002702588e-05,-0.0001122964626614209,0.0,0.0,0.0,2.8545517927525133e-05,0.0,3.3105070009087356e-05,0.0,0.0,22.0,20.0,1828.png,0.0,1.0,1.0,0.0,2.0,0.0,22.0,4.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,2.0,19.0,796.0,2.0,0.19043062200956937,0.00033875338753387534,0.0,0.0,1.0,0.0014390155162751217,0.0010700273891479928,0.0,0.0,0.00015590094090600637,-0.0008669465230881634,0.0,0.0,0.0,0.000264423170800554,0.0,0.0003076264287407149,0.0,0.0,22.0,20.0,2044.png,0.0,2.0,2.0,0.0,7.0,0.0,18.0,19.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,1.0,1.0,19.0,439.0,2.0,0.159288824383164,0.00040948275862068967,0.0,0.0,1.0,0.001586748096004953,0.0012181216071238954,0.0,0.0,0.00019519357742803223,-0.0009774668175738244,0.0,0.0,0.0,0.00032495554295752793,0.0,0.00035109873320593454,0.0,0.0,22.0,20.0,2248.png,0.0,2.0,2.0,0.0,8.0,0.0,20.0,19.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,21.0,927.0,4.0,0.24343487394957983,0.000646531818601644,0.0,0.0,1.0,0.002421603125431604,0.0021031846745329097,-1.0,1.0,0.00029160955896923024,-0.0011649192877350723,0.0,0.0,0.0,0.0004992012731177553,0.0,0.0006058596690765583,1.0,0.0,26.0,23.0,3269.png,0.0,3.0,3.0,0.0,2.0,0.0,24.0,21.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
