rank,image,panel,summary
1,3468.png,panels/01_3468_r238_oracle_panel.jpg,"cut=60.0 px, Dice +0.000819, Recall +0.000000, BIoU +0.004854, Gap -0.003198, Cnt +0.000000"
2,6606.png,panels/02_6606_r238_oracle_panel.jpg,"cut=89.0 px, Dice +0.000455, Recall +0.000000, BIoU +0.004823, Gap -0.002995, Cnt +0.000000"
3,3840.png,panels/03_3840_r238_oracle_panel.jpg,"cut=59.0 px, Dice +0.000474, Recall +0.000000, BIoU +0.004438, Gap -0.002513, Cnt +0.000000"
4,1620.png,panels/04_1620_r238_oracle_panel.jpg,"cut=75.0 px, Dice +0.000393, Recall +0.000000, BIoU +0.003522, Gap -0.002337, Cnt +0.000000"
5,3602.png,panels/05_3602_r238_oracle_panel.jpg,"cut=63.0 px, Dice +0.000581, Recall +0.000000, BIoU +0.003480, Gap -0.002826, Cnt +0.000000"
6,7312.png,panels/06_7312_r238_oracle_panel.jpg,"cut=33.0 px, Dice +0.000450, Recall +0.000000, BIoU +0.003169, Gap -0.001795, Cnt +0.000000"
7,1674.png,panels/07_1674_r238_oracle_panel.jpg,"cut=137.0 px, Dice +0.000416, Recall +0.000000, BIoU +0.003092, Gap -0.003563, Cnt +0.000000"
8,3392.png,panels/08_3392_r238_oracle_panel.jpg,"cut=84.0 px, Dice +0.000726, Recall +0.000000, BIoU +0.002832, Gap -0.003654, Cnt +0.000000"
9,14041.png,panels/09_14041_r238_oracle_panel.jpg,"cut=55.0 px, Dice +0.000379, Recall +0.000000, BIoU +0.002741, Gap -0.002161, Cnt +0.000000"
10,11945.png,panels/10_11945_r238_oracle_panel.jpg,"cut=39.0 px, Dice +0.000353, Recall +0.000000, BIoU +0.002618, Gap -0.001657, Cnt +0.000000"
11,3777.png,panels/11_3777_r238_oracle_panel.jpg,"cut=41.0 px, Dice +0.000278, Recall +0.000000, BIoU +0.002504, Gap -0.001715, Cnt +0.000000"
12,13480.png,panels/12_13480_r238_oracle_panel.jpg,"cut=14.0 px, Dice +0.000131, Recall +0.000000, BIoU +0.002378, Gap -0.000601, Cnt +0.000000"
13,1931.png,panels/13_1931_r238_oracle_panel.jpg,"cut=58.0 px, Dice +0.000145, Recall +0.000000, BIoU +0.002301, Gap -0.001596, Cnt +0.000000"
14,12498.png,panels/14_12498_r238_oracle_panel.jpg,"cut=40.0 px, Dice +0.000230, Recall +0.000000, BIoU +0.002184, Gap -0.001411, Cnt +0.000000"
15,1572.png,panels/15_1572_r238_oracle_panel.jpg,"cut=26.0 px, Dice +0.000104, Recall +0.000000, BIoU +0.002158, Gap -0.000791, Cnt +0.000000"
16,10624.png,panels/16_10624_r238_oracle_panel.jpg,"cut=23.0 px, Dice +0.000229, Recall +0.000000, BIoU +0.002146, Gap -0.001063, Cnt +0.000000"
17,3269.png,panels/17_3269_r238_oracle_panel.jpg,"cut=21.0 px, Dice +0.000292, Recall +0.000000, BIoU +0.002103, Gap -0.001165, Cnt -1.000000"
18,1880.png,panels/18_1880_r238_oracle_panel.jpg,"cut=39.0 px, Dice +0.000283, Recall +0.000000, BIoU +0.002097, Gap -0.001510, Cnt +0.000000"
19,10375.png,panels/19_10375_r238_oracle_panel.jpg,"cut=10.0 px, Dice +0.000168, Recall +0.000000, BIoU +0.002024, Gap -0.000548, Cnt +0.000000"
20,3460.png,panels/20_3460_r238_oracle_panel.jpg,"cut=23.0 px, Dice +0.000094, Recall +0.000000, BIoU +0.001829, Gap -0.000718, Cnt +0.000000"
21,1901.png,panels/21_1901_r238_oracle_panel.jpg,"cut=57.0 px, Dice +0.000161, Recall +0.000000, BIoU +0.001569, Gap -0.001540, Cnt +0.000000"
22,6947.png,panels/22_6947_r238_oracle_panel.jpg,"cut=24.0 px, Dice +0.000227, Recall +0.000000, BIoU +0.001504, Gap -0.001055, Cnt -1.000000"
23,3354.png,panels/23_3354_r238_oracle_panel.jpg,"cut=19.0 px, Dice +0.000223, Recall +0.000000, BIoU +0.001502, Gap -0.000935, Cnt +0.000000"
24,8253.png,panels/24_8253_r238_oracle_panel.jpg,"cut=58.0 px, Dice +0.000554, Recall +0.000000, BIoU +0.001485, Gap -0.002544, Cnt +0.000000"
25,2248.png,panels/25_2248_r238_oracle_panel.jpg,"cut=19.0 px, Dice +0.000195, Recall +0.000000, BIoU +0.001218, Gap -0.000977, Cnt +0.000000"
26,6605.png,panels/26_6605_r238_oracle_panel.jpg,"cut=29.0 px, Dice +0.000161, Recall +0.000000, BIoU +0.001139, Gap -0.001069, Cnt +0.000000"
27,1418.png,panels/27_1418_r238_oracle_panel.jpg,"cut=28.0 px, Dice +0.000694, Recall +0.000000, BIoU +0.001091, Gap -0.002562, Cnt +0.000000"
28,1452.png,panels/28_1452_r238_oracle_panel.jpg,"cut=58.0 px, Dice +0.000230, Recall +0.000000, BIoU +0.001088, Gap -0.001808, Cnt +0.000000"
29,2044.png,panels/29_2044_r238_oracle_panel.jpg,"cut=19.0 px, Dice +0.000156, Recall +0.000000, BIoU +0.001070, Gap -0.000867, Cnt +0.000000"
30,1585.png,panels/30_1585_r238_oracle_panel.jpg,"cut=38.0 px, Dice +0.000119, Recall +0.000000, BIoU +0.001066, Gap -0.000985, Cnt +0.000000"
31,1694.png,panels/31_1694_r238_oracle_panel.jpg,"cut=32.0 px, Dice +0.000094, Recall +0.000000, BIoU +0.001030, Gap -0.000789, Cnt +0.000000"
32,4193.png,panels/32_4193_r238_oracle_panel.jpg,"cut=17.0 px, Dice +0.000108, Recall +0.000000, BIoU +0.000959, Gap -0.000629, Cnt +0.000000"
33,3678.png,panels/33_3678_r238_oracle_panel.jpg,"cut=9.0 px, Dice +0.000128, Recall +0.000000, BIoU +0.000864, Gap -0.000504, Cnt +0.000000"
34,5355.png,panels/34_5355_r238_oracle_panel.jpg,"cut=8.0 px, Dice +0.000034, Recall +0.000000, BIoU +0.000838, Gap -0.000284, Cnt +0.000000"
35,3493.png,panels/35_3493_r238_oracle_panel.jpg,"cut=39.0 px, Dice +0.000113, Recall +0.000000, BIoU +0.000822, Gap -0.000957, Cnt +0.000000"
36,15369.png,panels/36_15369_r238_oracle_panel.jpg,"cut=10.0 px, Dice +0.000104, Recall +0.000000, BIoU +0.000793, Gap -0.000430, Cnt +0.000000"
37,6918.png,panels/37_6918_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000043, Recall +0.000000, BIoU +0.000781, Gap -0.000179, Cnt +0.000000"
38,4047.png,panels/38_4047_r238_oracle_panel.jpg,"cut=16.0 px, Dice +0.000104, Recall +0.000000, BIoU +0.000704, Gap -0.000587, Cnt +0.000000"
39,3567.png,panels/39_3567_r238_oracle_panel.jpg,"cut=2.0 px, Dice +0.000028, Recall +0.000000, BIoU +0.000665, Gap -0.000104, Cnt +0.000000"
40,11852.png,panels/40_11852_r238_oracle_panel.jpg,"cut=3.0 px, Dice +0.000024, Recall +0.000000, BIoU +0.000655, Gap -0.000130, Cnt +0.000000"
41,3249.png,panels/41_3249_r238_oracle_panel.jpg,"cut=56.0 px, Dice +0.000194, Recall +0.000000, BIoU +0.000653, Gap -0.001571, Cnt +0.000000"
42,1399.png,panels/42_1399_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000072, Recall +0.000000, BIoU +0.000549, Gap -0.000279, Cnt +0.000000"
43,15446.png,panels/43_15446_r238_oracle_panel.jpg,"cut=5.0 px, Dice +0.000055, Recall +0.000000, BIoU +0.000535, Gap -0.000235, Cnt +0.000000"
44,1736.png,panels/44_1736_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000014, Recall +0.000000, BIoU +0.000511, Gap -0.000109, Cnt +0.000000"
45,12627.png,panels/45_12627_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000055, Recall +0.000000, BIoU +0.000430, Gap -0.000206, Cnt +0.000000"
46,15067.png,panels/46_15067_r238_oracle_panel.jpg,"cut=5.0 px, Dice +0.000037, Recall +0.000000, BIoU +0.000421, Gap -0.000188, Cnt +0.000000"
