accepted,action_frac,bg_a_area,bg_b_area,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,bg_pair_distance,bridge_score_mean,bridge_score_p90,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,component_area,corridor_radius,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,overerosion_proxy,pred_component_id,r241_label_risk,r241_label_safe,r241_safe_prob,reject_reason,ring_bg_frac,ring_fg_frac,run_id,seam_prob_mean,seam_prob_p90,split
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,45.17742799230607,1.0686286295820613,1.74737149477005,0.4366648527722353,0.2793162128712871,1.0,-1.0,0.9023311149942372,bg_seed,0.1386285150468673,0.822043083593009,0.9049554420373616,0.8997219647822058,4195.0,2.0,1.0,0.0005962362586174771,16.0,38.0,20.0,0.28836872586872586,4.0,0.021052631578947368,0.75,0.25,2.0,1.4633883476483185,0.018584582954645157,0.7338235378265381,0.025969065725803375,1.9,0.025635894387960434,0.0002880148706198016,0.00023564635166789527,0.0,0.0,-0.0001777123612728415,-0.00021926218275503118,-0.0002950361577359617,9.23900530127586e-05,-0.00044485634847080124,10375.png,1.0,19.0,1,0,0.8547922060195453,low_mean_prob,0.4,0.6,R239-gtfree-bg-channel-seam-prob-editor,0.019466539314596402,0.06726664567438778,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,45.17742799230607,0.8215192834028283,1.1309656381607056,0.43678577906765825,0.279415177535391,1.0,-1.0,0.9024943310657596,bg_seed,0.1386285150468673,0.8223140495867769,0.9049837849927312,0.9000185356811863,4195.0,1.0,1.0,0.00029811812930873857,8.0,36.0,20.0,0.2914186507936508,4.0,0.011111111111111112,0.5,0.5,2.0,1.426776695296637,0.019895322620868683,0.7450980544090271,0.025895076245069502,1.8,0.029994230717420578,0.0004089411660427311,0.00033461101577181296,0.0,0.0,-1.4496289750476343e-05,-0.00021926218275503118,-2.407016396810402e-05,0.00012073300838244538,-0.0001482854494903041,10375.png,1.0,19.0,1,0,0.9124490255616378,low_mean_prob,0.375,0.625,R239-gtfree-bg-channel-seam-prob-editor,0.014675116226479856,0.04066641699252541,val
0.0,0.25,1.0,1.0,1.0,1.0,3.0,2.0,53.81449618829484,1.313698236387228,2.0025840658634686,0.43746223564954684,0.279969064191802,1.0,-1.0,0.9024798304643641,bg_seed,0.13840925286411226,0.822289972899729,0.9051045900294568,0.899870250231696,4195.0,2.0,1.0,0.0005962362586174771,16.0,39.0,35.0,0.3123004694835681,4.0,0.011721611721611722,0.5,0.5,3.1622776601683795,2.0400616452992155,0.01741306111216545,0.7602941393852234,0.024210356175899506,1.1142857142857143,0.019155316054821014,0.001085397747931316,0.0008884976721827975,0.0,0.0,-2.8996891145993686e-05,-0.00043852436551006235,-4.8146851015951064e-05,0.0002415380451079585,-0.0002965708989806082,10375.png,1.0,19.0,1,0,0.2910460734938334,low_mean_prob,0.2875,0.7125,R239-gtfree-bg-channel-seam-prob-editor,0.000497023892125143,0.0005679869559706978,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,53.81449618829484,0.7838004510849714,1.086512303352356,0.4370388290794726,0.2796223202538503,1.0,-1.0,0.9025759209010148,bg_seed,0.1386285150468673,0.8224495325836607,0.9049979501323097,0.9001668211306766,4195.0,1.0,1.0,0.00014905906465436928,4.0,2.0,2.0,0.3926592797783934,3.0,1.0,0.0,1.0,2.0,1.5,0.01560191810131073,0.7490196228027344,0.01914429757744074,1.0,0.012087085284292698,0.0006619911778570908,0.0005417537342310985,0.0,0.0,6.709354550471502e-05,-0.00021926218275503118,0.0001114128329157138,0.0001348981479608602,0.0,10375.png,0.0,19.0,0,1,0.8776970594094765,low_mean_prob,0.375,0.625,R239-gtfree-bg-channel-seam-prob-editor,0.00045548441635473983,0.0004788954737575017,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,42.1070065428546,1.1153703583167407,1.760422229766846,0.40807677925962854,0.2563419981208894,0.0,0.0,0.8978741740879058,bg_seed,0.19515171686914073,0.8146748338329206,0.8753369508139331,0.9216025948177362,5134.0,2.0,1.0,0.0006996676578625153,20.0,38.0,5.0,0.4772577455504285,3.0,0.10526315789473684,0.4,0.6,2.0,1.4121320343559645,0.019150469452142715,0.7254902124404907,0.031524389237165454,7.6,0.021586444228887558,0.0013140367304626532,0.0010361793410319509,0.0,0.0,3.5133237880735635e-05,-0.0006656681644200413,5.784581832968261e-05,0.00033257789107155045,-0.00029486565183733937,10520.png,1.0,20.0,1,0,0.41959621258496543,low_mean_prob,0.4051724137931034,0.5948275862068966,R239-gtfree-bg-channel-seam-prob-editor,0.00076326729280893,0.001112425157822603,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,42.1070065428546,0.8493165036193105,0.9449611902236938,0.40765920289403107,0.2560125342734038,0.0,0.0,0.8979357386465625,bg_seed,0.19548455095135076,0.8147762069190175,0.8751880751600826,0.9218974604695735,5134.0,1.0,1.0,0.0002099002973587546,6.0,3.0,2.0,0.50944669365722,3.0,1.0,0.0,1.0,2.0,1.4023689270621826,0.023376794531941414,0.7405229210853577,0.02875762153416872,1.5,0.013663100078701973,0.0008964603648651814,0.0007067154935463393,0.0,0.0,9.669779653742605e-05,-0.00033283408221002064,0.0001592189044266057,0.0001837022372209729,0.0,10520.png,0.0,20.0,0,1,0.7021247781752917,low_mean_prob,0.3888888888888889,0.6111111111111112,R239-gtfree-bg-channel-seam-prob-editor,0.0006684834676469751,0.000921485338836676,val
0.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,63.788713735268246,0.8322108961867649,1.0649211573871802,0.40691074658516807,0.2554224414689531,0.0,0.0,0.8979035037334865,bg_seed,0.19559549564542075,0.8147231270358306,0.8751268325111088,0.9218974604695735,5134.0,1.0,1.0,0.00013993353157250307,4.0,2.0,2.0,0.13088642659279778,2.0,1.0,0.0,1.0,2.0,1.3535533905932737,0.02587863989174366,0.6872549057006836,0.02936352975666523,1.0,0.01188662275671959,0.00014800405600218225,0.00011662268909562457,0.0,0.0,6.44628834614025e-05,-0.00022188938814002301,0.00010613902123968177,0.00012245958824719239,0.0,10520.png,0.0,20.0,0,1,0.6195933231547526,low_mean_prob,0.4375,0.5625,R239-gtfree-bg-channel-seam-prob-editor,0.03632856352999236,0.07212079084881642,val
0.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,63.788713735268246,1.2797205561652119,1.9303751707077026,0.40730810001870676,0.2557356510844883,0.0,0.0,0.8979840953560594,bg_seed,0.19531813391024574,0.8148558397133083,0.8752799552071668,0.9218974604695735,5134.0,2.0,1.0,0.00031485044603813187,9.0,4.0,3.0,0.13525641025641025,2.0,0.75,0.0,1.0,2.23606797749979,1.5166979488747652,0.02475050836801529,0.7015250325202942,0.030002274364233018,1.3333333333333333,0.017385564744472504,0.0005453574895408764,0.00042983230463083943,0.0,0.0,0.00014505450603430337,-0.000499251123315031,0.00023885169871740164,0.00027558228430524245,0.0,10520.png,0.0,20.0,0,1,0.4323740403353123,low_mean_prob,0.4090909090909091,0.5909090909090909,R239-gtfree-bg-channel-seam-prob-editor,0.03396174156996024,0.06877294423491656,val
0.0,0.25,1.0,1.0,1.0,0.0,2.0,2.0,63.0,0.8566941738241592,1.5,0.3226958472597409,0.19238958344707102,1.0,1.0,0.8875980310362089,bg_seed,0.19399547776568127,0.7979112369452309,0.8969332911792602,0.8784550915508949,6579.0,1.0,2.0,0.00016858786588835268,8.0,2.0,62.0,0.32089151450053705,4.0,0.06451612903225806,0.0,0.875,2.0,1.426776695296637,0.053927622735500336,0.8078432083129883,0.07852870225906372,31.0,0.023365439847111702,0.0005555751446645885,0.00039482562475900984,0.0,0.0,7.404671986621647e-05,-0.0002931077799179227,0.00011966948305364156,0.00015121206940416076,0.0,10618.png,0.0,19.0,0,1,0.10723852340179,low_mean_prob,0.40625,0.59375,R239-gtfree-bg-channel-seam-prob-editor,0.0017446559301293125,0.005132244778835128,val
0.0,0.25,1.0,1.0,1.0,0.0,3.0,3.0,63.0,1.3989557383013524,2.4121320343559645,0.3229114213778897,0.192542854023365,1.0,1.0,0.8876813483661699,bg_seed,0.1936186249057868,0.798045908033906,0.8971034657222363,0.8784550915508949,6579.0,2.0,2.0,0.00035824921501274946,17.0,5.0,62.0,0.33076157292185165,4.0,0.054838709677419356,0.0,0.9411764705882353,2.8284271247461903,1.5958229532054093,0.05563155189156532,0.8143022060394287,0.0806516632437706,12.4,0.03180046007037163,0.0007711492628134087,0.0005480962010529777,0.0,0.0,0.0001573640498271356,-0.0006699606398123947,0.00025434057172868396,0.0003213866123802367,0.0,10618.png,0.0,19.0,0,1,0.09421049728454771,low_mean_prob,0.39285714285714285,0.6071428571428571,R239-gtfree-bg-channel-seam-prob-editor,0.0011829111746392985,0.0028167792632273767,val
