mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,risk,risk_threshold,safe_useful,selected,selected_images,useful_threshold
,,,,,,,,,0,0.05,0,0,0,0.2
,,,,,,,,,0,0.1,0,0,0,0.2
,,,,,,,,,0,0.15,0,0,0,0.2
,,,,,,,,,0,0.2,0,0,0,0.2
,,,,,,,,,0,0.3,0,0,0,0.2
,,,,,,,,,0,0.4,0,0,0,0.2
0.75,0.25,-0.0003485710983134327,-0.0002475824497886747,0.0,-7.665212327612192e-05,-0.000125617619964824,-0.0001238633862838956,-0.00018578535598534618,1,0.5,0,1,1,0.2
,,,,,,,,,0,0.05,0,0,0,0.3
,,,,,,,,,0,0.1,0,0,0,0.3
,,,,,,,,,0,0.15,0,0,0,0.3
,,,,,,,,,0,0.2,0,0,0,0.3
,,,,,,,,,0,0.3,0,0,0,0.3
,,,,,,,,,0,0.4,0,0,0,0.3
0.75,0.25,-0.0003485710983134327,-0.0002475824497886747,0.0,-7.665212327612192e-05,-0.000125617619964824,-0.0001238633862838956,-0.00018578535598534618,1,0.5,0,1,1,0.3
,,,,,,,,,0,0.05,0,0,0,0.4
,,,,,,,,,0,0.1,0,0,0,0.4
,,,,,,,,,0,0.15,0,0,0,0.4
,,,,,,,,,0,0.2,0,0,0,0.4
,,,,,,,,,0,0.3,0,0,0,0.4
,,,,,,,,,0,0.4,0,0,0,0.4
0.75,0.25,-0.0003485710983134327,-0.0002475824497886747,0.0,-7.665212327612192e-05,-0.000125617619964824,-0.0001238633862838956,-0.00018578535598534618,1,0.5,0,1,1,0.4
,,,,,,,,,0,0.05,0,0,0,0.5
,,,,,,,,,0,0.1,0,0,0,0.5
,,,,,,,,,0,0.15,0,0,0,0.5
,,,,,,,,,0,0.2,0,0,0,0.5
,,,,,,,,,0,0.3,0,0,0,0.5
,,,,,,,,,0,0.4,0,0,0,0.5
0.75,0.25,-0.0003485710983134327,-0.0002475824497886747,0.0,-7.665212327612192e-05,-0.000125617619964824,-0.0001238633862838956,-0.00018578535598534618,1,0.5,0,1,1,0.5
,,,,,,,,,0,0.05,0,0,0,0.6
,,,,,,,,,0,0.1,0,0,0,0.6
,,,,,,,,,0,0.15,0,0,0,0.6
,,,,,,,,,0,0.2,0,0,0,0.6
,,,,,,,,,0,0.3,0,0,0,0.6
,,,,,,,,,0,0.4,0,0,0,0.6
,,,,,,,,,0,0.5,0,0,0,0.6
,,,,,,,,,0,0.05,0,0,0,0.7
,,,,,,,,,0,0.1,0,0,0,0.7
,,,,,,,,,0,0.15,0,0,0,0.7
,,,,,,,,,0,0.2,0,0,0,0.7
,,,,,,,,,0,0.3,0,0,0,0.7
,,,,,,,,,0,0.4,0,0,0,0.7
,,,,,,,,,0,0.5,0,0,0,0.7
,,,,,,,,,0,0.05,0,0,0,0.8
,,,,,,,,,0,0.1,0,0,0,0.8
,,,,,,,,,0,0.15,0,0,0,0.8
,,,,,,,,,0,0.2,0,0,0,0.8
,,,,,,,,,0,0.3,0,0,0,0.8
,,,,,,,,,0,0.4,0,0,0,0.8
,,,,,,,,,0,0.5,0,0,0,0.8
