config_id,decision_pass,family,max_action_frac,max_cut_area,max_cut_fill,max_max_dist_in,max_mean_dist_in,max_ring_fg_frac,mean_cut_area,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,min_bg_channel_proxy,min_border_contacts,min_cut_bg_frac_after,min_ring_bg_frac,min_seam_prob_p90,min_slenderness,risk,risk_rate,safe,safe_rate,selected,selected_images
6,0.0,any,0.25,4.0,0.05,2.0,1.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
78,0.0,any,0.25,4.0,0.05,3.0,1.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
150,0.0,any,0.25,4.0,0.05,4.0,1.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
222,0.0,any,0.25,4.0,0.05,2.0,1.75,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
294,0.0,any,0.25,4.0,0.05,3.0,1.75,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
366,0.0,any,0.25,4.0,0.05,4.0,1.75,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
438,0.0,any,0.25,4.0,0.05,2.0,2.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
510,0.0,any,0.25,4.0,0.05,3.0,2.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
582,0.0,any,0.25,4.0,0.05,4.0,2.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
5190,0.0,bg_seed,0.25,4.0,0.05,2.0,1.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
5262,0.0,bg_seed,0.25,4.0,0.05,3.0,1.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
5334,0.0,bg_seed,0.25,4.0,0.05,4.0,1.25,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
5406,0.0,bg_seed,0.25,4.0,0.05,2.0,1.75,0.8,3.8,0.5,0.5,0.0003600032871101999,0.00029408430048044056,0.0,-6.847379935503994e-07,-0.00010124991055709826,-1.4549963293974954e-06,-5.2321855916726e-05,1.0,2.0,0.2,0.2,0.5,2.0,3,0.6,2,0.4,5,5
