feature,group,n,mean,p10,p50,p90,min,max
dist_percentile,all,8568,9.322128851540617,6.0,10.0,12.0,6.0,12.0
dist_percentile,safe_useful,971,8.842430484037076,6.0,8.0,12.0,6.0,12.0
dist_percentile,risk,7590,9.36600790513834,6.0,10.0,12.0,6.0,12.0
dist_percentile,oracle_safe_best,87,10.045977011494253,6.0,10.0,12.0,6.0,12.0
dist_percentile,r245_best_selected,9,8.222222222222221,6.0,8.0,10.4,6.0,12.0
candidate_rank,all,8568,24.526143790849673,4.0,21.0,51.0,1.0,64.0
candidate_rank,safe_useful,971,26.93717816683831,6.0,25.0,53.0,1.0,64.0
candidate_rank,risk,7590,24.36060606060606,4.0,21.0,51.0,1.0,64.0
candidate_rank,oracle_safe_best,87,15.839080459770114,3.0,10.0,40.400000000000006,1.0,59.0
candidate_rank,r245_best_selected,9,9.11111111111111,1.0,5.0,28.4,1.0,30.0
background_connected_by_cut,all,8568,0.9471288515406162,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,safe_useful,971,0.9536560247167868,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,risk,7590,0.9450592885375494,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,oracle_safe_best,87,0.9655172413793104,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,r245_best_selected,9,1.0,1.0,1.0,1.0,1.0,1.0
cut_area,all,8568,40.43685807656396,10.0,25.0,84.0,8.0,618.0
cut_area,safe_useful,971,20.500514933058703,8.0,16.0,38.0,8.0,229.0
cut_area,risk,7590,42.578656126482215,10.0,26.0,88.0,8.0,618.0
cut_area,oracle_safe_best,87,28.597701149425287,9.2,23.0,52.400000000000006,8.0,118.0
cut_area,r245_best_selected,9,24.666666666666668,19.6,26.0,28.4,18.0,30.0
cut_anchor_area_frac,all,8568,0.00037495762999862286,9.85640450684096e-05,0.0002534685165421,0.0007677671328904,3.5228944100472945e-05,0.0079617834394904
cut_anchor_area_frac,safe_useful,971,0.0002503002022161979,8.206699402278727e-05,0.0001817080557238,0.0004615952732644,3.5228944100472945e-05,0.0036919831223628
cut_anchor_area_frac,risk,7590,0.00038779439769416027,9.881056779022517e-05,0.0002601387406616,0.000792288392975,3.5228944100472945e-05,0.0079617834394904
cut_anchor_area_frac,oracle_safe_best,87,0.0005250295667441115,0.0001772619757873,0.0003759655478843,0.0009136422377365,0.0001047290397917,0.0036919831223628
cut_anchor_area_frac,r245_best_selected,9,0.00046137215517791103,0.00022451170814194002,0.0004228948780924,0.0006983686793757,0.0002060651852869,0.0010434134525805
cut_bbox_h,all,8568,11.192110177404295,3.0,7.0,24.0,2.0,135.0
cut_bbox_h,safe_useful,971,6.51081359423275,2.0,5.0,13.0,2.0,67.0
cut_bbox_h,risk,7590,11.69604743083004,3.0,8.0,25.0,2.0,135.0
cut_bbox_h,oracle_safe_best,87,9.459770114942529,3.0,7.0,16.0,2.0,42.0
cut_bbox_h,r245_best_selected,9,12.333333333333334,9.8,13.0,14.2,9.0,15.0
cut_bbox_w,all,8568,10.437908496732026,2.0,7.0,22.0,2.0,131.0
cut_bbox_w,safe_useful,971,6.536560247167868,2.0,5.0,12.0,2.0,35.0
cut_bbox_w,risk,7590,10.831225296442687,3.0,7.0,23.0,2.0,131.0
cut_bbox_w,oracle_safe_best,87,8.71264367816092,2.5999999999999996,8.0,16.0,2.0,25.0
cut_bbox_w,r245_best_selected,9,5.222222222222222,4.8,5.0,6.0,4.0,6.0
cut_fill,all,8568,0.5506501240171081,0.20817099567099567,0.5,1.0,0.0497323818019625,1.0
cut_fill,safe_useful,971,0.6931421121435899,0.3295454545454545,0.6666666666666666,1.0,0.1271641791044776,1.0
cut_fill,risk,7590,0.5371071052552499,0.20128134874970321,0.5,1.0,0.0497323818019625,1.0
