feature,group,n,mean,p10,p50,p90,min,max
dist_percentile,all,3533,9.299179167846024,6.0,10.0,12.0,6.0,12.0
dist_percentile,safe_useful,464,8.741379310344827,6.0,8.0,12.0,6.0,12.0
dist_percentile,risk,3086,9.361633182112767,6.0,10.0,12.0,6.0,12.0
dist_percentile,oracle_safe_best,36,10.055555555555555,8.0,10.0,12.0,6.0,12.0
dist_percentile,r245_best_selected,5,8.0,6.0,8.0,10.0,6.0,10.0
candidate_rank,all,3533,24.267195018397963,4.0,21.0,51.0,1.0,64.0
candidate_rank,safe_useful,464,26.74353448275862,5.0,25.0,52.0,1.0,64.0
candidate_rank,risk,3086,24.083603370058327,4.0,21.0,51.0,1.0,64.0
candidate_rank,oracle_safe_best,36,16.694444444444443,2.5,12.0,38.0,1.0,59.0
candidate_rank,r245_best_selected,5,16.4,3.4000000000000004,19.0,28.0,1.0,30.0
background_connected_by_cut,all,3533,0.9640532125672233,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,safe_useful,464,0.9676724137931034,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,risk,3086,0.9630589760207389,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,oracle_safe_best,36,0.9722222222222222,1.0,1.0,1.0,0.0,1.0
background_connected_by_cut,r245_best_selected,5,1.0,1.0,1.0,1.0,1.0,1.0
cut_area,all,3533,39.74186243985282,10.0,24.0,83.80000000000018,8.0,484.0
cut_area,safe_useful,464,20.24353448275862,8.0,16.0,37.69999999999999,8.0,114.0
cut_area,risk,3086,42.21646143875567,10.0,26.0,87.5,8.0,484.0
cut_area,oracle_safe_best,36,30.5,9.0,25.0,64.0,8.0,114.0
cut_area,r245_best_selected,5,18.8,16.8,18.0,21.2,16.0,22.0
cut_anchor_area_frac,all,3533,0.0003694292665765958,9.66488536023334e-05,0.000246184145741,0.0007681388557818401,3.5228944100472945e-05,0.0079617834394904
cut_anchor_area_frac,safe_useful,464,0.0002296810668089602,8.206699402278727e-05,0.0001762487221967,0.00043525327066425,3.5228944100472945e-05,0.0018796992481203
cut_anchor_area_frac,risk,3086,0.0003857907697540061,9.693444807948624e-05,0.00025742518113609997,0.00080230965363915,3.5228944100472945e-05,0.0079617834394904
cut_anchor_area_frac,oracle_safe_best,36,0.00047773620163917767,0.0001926816235681,0.00038567374341865,0.0008048981437441,0.0001067235859124,0.0018796992481203
cut_anchor_area_frac,r245_best_selected,5,0.00029497605975043996,0.00017760038410096,0.0002091366577347,0.00045633883050799997,0.000158623849977,0.0004795849410328
cut_bbox_h,all,3533,11.242003962637984,3.0,7.0,24.0,2.0,118.0
cut_bbox_h,safe_useful,464,6.441810344827586,2.0,5.0,12.699999999999989,2.0,40.0
cut_bbox_h,risk,3086,11.829552819183409,3.0,8.0,26.0,2.0,118.0
cut_bbox_h,oracle_safe_best,36,10.777777777777779,2.0,9.5,18.5,2.0,40.0
cut_bbox_h,r245_best_selected,5,8.6,6.0,9.0,10.6,4.0,11.0
cut_bbox_w,all,3533,10.232380413246533,2.0,7.0,21.0,2.0,117.0
cut_bbox_w,safe_useful,464,6.480603448275862,2.0,6.0,12.0,2.0,25.0
cut_bbox_w,risk,3086,10.699935191186002,3.0,7.0,23.0,2.0,117.0
cut_bbox_w,oracle_safe_best,36,8.583333333333334,2.5,7.0,16.0,2.0,25.0
cut_bbox_w,r245_best_selected,5,5.2,4.0,5.0,6.800000000000001,4.0,8.0
cut_fill,all,3533,0.5516493159094806,0.2114718614718615,0.5,1.0,0.0597560975609756,1.0
cut_fill,safe_useful,464,0.6917224077099523,0.327027972027972,0.6666666666666666,1.0,0.1388888888888889,1.0
cut_fill,risk,3086,0.5354231338267579,0.20449494949494945,0.5,1.0,0.0597560975609756,1.0
cut_fill,oracle_safe_best,36,0.525664100559934,0.19024725274725268,0.34523809523809523,1.0,0.1388888888888889,1.0
cut_fill,r245_best_selected,5,0.45999999999999996,0.4,0.5,0.5,0.4,0.5
cut_slenderness,all,3533,2.546229469525283,1.1666666666666667,2.0,4.333333333333333,1.0,15.75
cut_slenderness,safe_useful,464,2.385426169855049,1.1666666666666667,2.0,3.9399999999999977,1.0,10.666666666666666
cut_slenderness,risk,3086,2.5759063610392716,1.1666666666666667,2.125,4.333333333333333,1.0,15.75
cut_slenderness,oracle_safe_best,36,2.1396096187762854,1.10989010989011,2.0,3.2291666666666665,1.0,6.5
cut_slenderness,r245_best_selected,5,2.1399999999999997,2.0,2.2,2.25,2.0,2.25
cut_mean_dist_in,all,3533,1.7355652430274036,1.4121320343559645,1.555839593450153,2.298576686155338,1.25,3.735649816042656
cut_mean_dist_in,safe_useful,464,1.6015274782834101,1.4023689270621826,1.5,1.9863741544168243,1.25,3.326180688058867
cut_mean_dist_in,risk,3086,1.7544645290367245,1.4163162231961566,1.5683824886462636,2.330611967643306,1.25,3.735649816042656
cut_mean_dist_in,oracle_safe_best,36,1.6303064870309703,1.4061239683290216,1.5219324997090902,1.9782675117989403,1.3495093791412855,2.9485792580573023
cut_mean_dist_in,r245_best_selected,5,1.3904590162633983,1.3612251078938238,1.3934933749769265,1.4170135880028552,1.346813371506627,1.426776695296637
cut_max_dist_in,all,3533,2.744126559574212,2.0,2.23606797749979,4.0,2.0,5.830951894845301
cut_max_dist_in,safe_useful,464,2.420226528106718,2.0,2.23606797749979,3.0,2.0,5.385164807134504
cut_max_dist_in,risk,3086,2.7867276181644507,2.0,2.8284271247461903,4.0,2.0,5.830951894845301
cut_max_dist_in,oracle_safe_best,36,2.512692062086683,2.0,2.23606797749979,3.1622776601683795,2.0,5.0
cut_max_dist_in,r245_best_selected,5,2.0,2.0,2.0,2.0,2.0,2.0
ring_bg_frac,all,3533,0.4144354056892716,0.31434991974317816,0.4318181818181818,0.4852941176470588,0.0736842105263157,0.5588235294117647
ring_bg_frac,safe_useful,464,0.41201187573813586,0.3272836538461539,0.425,0.47291666666666665,0.1666666666666666,0.5217391304347826
ring_bg_frac,risk,3086,0.4138417404734132,0.3088235294117647,0.4318181818181818,0.4857142857142857,0.0736842105263157,0.5588235294117647
ring_bg_frac,oracle_safe_best,36,0.42514485106888183,0.3464285714285714,0.444047619047619,0.4767316017316017,0.2293577981651376,0.5055555555555555
ring_bg_frac,r245_best_selected,5,0.4811126160990712,0.45608552631578947,0.4625,0.5205882352941176,0.453125,0.5441176470588235
ring_fg_frac,all,3533,0.5855645943107283,0.5147058823529411,0.5681818181818182,0.685650080256822,0.4411764705882353,0.9263157894736842
ring_fg_frac,safe_useful,464,0.5879881242618642,0.5270833333333333,0.575,0.6727163461538461,0.4782608695652174,0.8333333333333334
ring_fg_frac,risk,3086,0.5861582595265867,0.5142857142857142,0.5681818181818182,0.6911764705882353,0.4411764705882353,0.9263157894736842
ring_fg_frac,oracle_safe_best,36,0.5748551489311181,0.5232683982683983,0.555952380952381,0.6535714285714286,0.4944444444444444,0.7706422018348624
ring_fg_frac,r245_best_selected,5,0.5188873839009288,0.4794117647058823,0.5375,0.5439144736842105,0.4558823529411764,0.546875
cut_bg_channel_area_after,all,3533,1542.8644211718088,733.0,1496.0,2289.6000000000013,26.0,7758.0
cut_bg_channel_area_after,safe_useful,464,1271.459051724138,692.3,1318.0,1776.4999999999998,137.0,3004.0
cut_bg_channel_area_after,risk,3086,1576.7819183408944,749.0,1523.0,2326.0,26.0,7758.0
cut_bg_channel_area_after,oracle_safe_best,36,1487.0555555555557,598.0,1594.0,2013.5,283.0,3004.0
cut_bg_channel_area_after,r245_best_selected,5,1252.2,1088.4,1288.0,1415.8,1086.0,1489.0
cut_bg_channel_border_contacts_after,all,3533,3.2117180866119446,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,safe_useful,464,3.1551724137931036,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,risk,3086,3.215813350615684,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,oracle_safe_best,36,3.2222222222222223,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,r245_best_selected,5,3.6,3.0,4.0,4.0,3.0,4.0
cut_bg_channel_frac_after,all,3533,0.4454224351539483,0.2273132304733229,0.48,0.6180769230769231,0.0091036414565826,0.8254716981132075
cut_bg_channel_frac_after,safe_useful,464,0.4305399082658443,0.22943625105254967,0.47497011131108835,0.6041204457769386,0.0445094217024041,0.7696005917159763
cut_bg_channel_frac_after,risk,3086,0.44738136119041905,0.2270099217207166,0.4811367573388267,0.6189131019639494,0.0091036414565826,0.8254716981132075
cut_bg_channel_frac_after,oracle_safe_best,36,0.4496334704492991,0.2033911745079909,0.49349121078406033,0.627593566347046,0.0800792303338992,0.6481481481481481
cut_bg_channel_frac_after,r245_best_selected,5,0.41616207936939437,0.3593397938567955,0.4406207827260459,0.4626282256279058,0.3532856213402732,0.4761752478413815
local_bg_component_delta,all,3533,-0.005943956977073309,0.0,0.0,0.0,-2.0,0.0
local_bg_component_delta,safe_useful,464,-0.0021551724137931034,0.0,0.0,0.0,-1.0,0.0
local_bg_component_delta,risk,3086,-0.0064808813998703824,0.0,0.0,0.0,-2.0,0.0
local_bg_component_delta,oracle_safe_best,36,0.0,0.0,0.0,0.0,0.0,0.0
local_bg_component_delta,r245_best_selected,5,0.0,0.0,0.0,0.0,0.0,0.0
local_bg_components_before,all,3533,1.151146334559864,1.0,1.0,2.0,1.0,5.0
local_bg_components_before,safe_useful,464,1.1400862068965518,1.0,1.0,2.0,1.0,4.0
local_bg_components_before,risk,3086,1.1545690213869086,1.0,1.0,2.0,1.0,5.0
local_bg_components_before,oracle_safe_best,36,1.1944444444444444,1.0,1.0,2.0,1.0,3.0
local_bg_components_before,r245_best_selected,5,1.2,1.0,1.0,1.6,1.0,2.0
local_bg_components_after,all,3533,1.1452023775827909,1.0,1.0,2.0,1.0,5.0
local_bg_components_after,safe_useful,464,1.1379310344827587,1.0,1.0,2.0,1.0,4.0
local_bg_components_after,risk,3086,1.1480881399870382,1.0,1.0,2.0,1.0,5.0
local_bg_components_after,oracle_safe_best,36,1.1944444444444444,1.0,1.0,2.0,1.0,3.0
local_bg_components_after,r245_best_selected,5,1.2,1.0,1.0,1.6,1.0,2.0
component_area,all,3533,38190.145485423156,3627.0,16552.0,105039.0,1395.0,133177.0
component_area,safe_useful,464,33277.0,3332.9,13943.0,80526.0,1483.0,133177.0
component_area,risk,3086,38955.55152300713,3635.5,16552.0,105039.0,1395.0,133177.0
component_area,oracle_safe_best,36,21174.61111111111,2559.0,6085.0,65679.5,1503.0,133177.0
component_area,r245_best_selected,5,5920.2,3437.0,6458.0,8271.0,2855.0,9399.0
component_bbox_h,all,3533,198.57288423436174,60.0,168.0,395.0,25.0,418.0
