rows,imgs,safe,risk,dice,iou,recall,biou,bf1,gap,fg,gtgap,min_comp_area,min_distp,max_rank,min_contacts,min_channel,max_mean_dist,max_area,passes
16,16,3,13,-4.2685820378673064e-05,-7.153089075910366e-05,-0.00012991526930751122,3.2369589901656156e-05,4.715087979707848e-05,-0.00014866708135518632,0.6449032738095237,0.35509672619047616,6000,6,8,2,0.1,1.55,16,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,1.55,24,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,1.55,32,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,1.55,48,False
16,16,3,13,-4.2685820378673064e-05,-7.153089075910366e-05,-0.00012991526930751122,3.2369589901656156e-05,4.715087979707848e-05,-0.00014866708135518632,0.6449032738095237,0.35509672619047616,6000,6,8,2,0.1,1.75,16,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,1.75,24,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,1.75,32,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,1.75,48,False
16,16,3,13,-4.2685820378673064e-05,-7.153089075910366e-05,-0.00012991526930751122,3.2369589901656156e-05,4.715087979707848e-05,-0.00014866708135518632,0.6449032738095237,0.35509672619047616,6000,6,8,2,0.1,2.0,16,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,2.0,24,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,2.0,32,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.1,2.0,48,False
16,16,3,13,-4.2685820378673064e-05,-7.153089075910366e-05,-0.00012991526930751122,3.2369589901656156e-05,4.715087979707848e-05,-0.00014866708135518632,0.6449032738095237,0.35509672619047616,6000,6,8,2,0.2,1.55,16,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.2,1.55,24,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.2,1.55,32,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.2,1.55,48,False
16,16,3,13,-4.2685820378673064e-05,-7.153089075910366e-05,-0.00012991526930751122,3.2369589901656156e-05,4.715087979707848e-05,-0.00014866708135518632,0.6449032738095237,0.35509672619047616,6000,6,8,2,0.2,1.75,16,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.2,1.75,24,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,2,0.2,1.75,32,False
