mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,passes_gate,risk,risk_threshold,safe_useful,selected,selected_images,useful_threshold
,,,,,,,,,False,0,0.7,0,0,0,0.2
0.4479166666666667,0.5520833333333333,6.652060566117446e-05,9.901589346038644e-05,0.0,-7.139327144210783e-05,-0.00021600949362355487,-9.322903424305307e-05,-0.0002067867767708842,False,5,0.72,3,8,8,0.2
0.6190476190476191,0.38095238095238093,-0.00017297951073022566,-0.00011993400261301706,0.0,-8.309770707087034e-05,-0.00013453208633277926,-0.00011905981446841143,-0.00018391473733454723,False,18,0.74,6,21,21,0.2
0.5511363636363636,0.42613636363636365,0.00010549446940911655,7.900297806414203e-05,0.0,-3.278255756340846e-05,-0.00017781653326043973,-4.858394797564094e-05,-0.00012863893897110704,False,34,0.76,12,44,44,0.2
0.5452380952380953,0.4093073593073593,0.00011021793196816846,7.409451161279415e-05,0.0,-2.7556343755673048e-05,-0.00017305285362669871,-4.3601924972355455e-05,-0.00011877094746035802,False,51,0.78,18,66,66,0.2
0.5615445665445666,0.4007887667887668,9.983105210659741e-05,6.394454932108495e-05,0.0,-3.5178555070191444e-05,-0.00017126716669196536,-5.556032941844406e-05,-0.00012749201781369143,False,60,0.8,18,75,75,0.2
0.572571783055654,0.3871056362991847,-2.5352204844735847e-05,-1.7492067571710696e-05,0.0,-9.577726889748432e-05,-0.00017360859756481987,-0.00014511405817072744,-0.0002492103844204486,False,74,0.85,24,93,93,0.2
0.569672083235913,0.39043429974281035,-2.5807347330066335e-05,-1.7913196495743155e-05,0.0,-9.488571337037895e-05,-0.00017180044878457794,-0.00014364611308526773,-0.0002460586462498792,False,75,0.9,24,94,94,0.2
0.5682205815018314,0.39271691849816853,-2.4009944827897527e-05,-1.7679920922423868e-05,0.0,-8.124572498342461e-05,-0.00019776312090625213,-0.0001254796153399631,-0.00024580971190081916,False,76,0.95,25,96,96,0.2
0.5682205815018314,0.39271691849816853,-2.4009944827897527e-05,-1.7679920922423868e-05,0.0,-8.124572498342461e-05,-0.00019776312090625213,-0.0001254796153399631,-0.00024580971190081916,False,76,0.99,25,96,96,0.2
,,,,,,,,,False,0,0.7,0,0,0,0.3
0.4479166666666667,0.5520833333333333,6.652060566117446e-05,9.901589346038644e-05,0.0,-7.139327144210783e-05,-0.00021600949362355487,-9.322903424305307e-05,-0.0002067867767708842,False,5,0.72,3,8,8,0.3
0.6190476190476191,0.38095238095238093,-0.00017297951073022566,-0.00011993400261301706,0.0,-8.309770707087034e-05,-0.00013453208633277926,-0.00011905981446841143,-0.00018391473733454723,False,18,0.74,6,21,21,0.3
0.5511363636363636,0.42613636363636365,0.00010549446940911655,7.900297806414203e-05,0.0,-3.278255756340846e-05,-0.00017781653326043973,-4.858394797564094e-05,-0.00012863893897110704,False,34,0.76,12,44,44,0.3
0.5452380952380953,0.4093073593073593,0.00011021793196816846,7.409451161279415e-05,0.0,-2.7556343755673048e-05,-0.00017305285362669871,-4.3601924972355455e-05,-0.00011877094746035802,False,51,0.78,18,66,66,0.3
0.5615445665445666,0.4007887667887668,9.983105210659741e-05,6.394454932108495e-05,0.0,-3.5178555070191444e-05,-0.00017126716669196536,-5.556032941844406e-05,-0.00012749201781369143,False,60,0.8,18,75,75,0.3
0.572571783055654,0.3871056362991847,-2.5352204844735847e-05,-1.7492067571710696e-05,0.0,-9.577726889748432e-05,-0.00017360859756481987,-0.00014511405817072744,-0.0002492103844204486,False,74,0.85,24,93,93,0.3
0.569672083235913,0.39043429974281035,-2.5807347330066335e-05,-1.7913196495743155e-05,0.0,-9.488571337037895e-05,-0.00017180044878457794,-0.00014364611308526773,-0.0002460586462498792,False,75,0.9,24,94,94,0.3
0.5742018507807982,0.3863244650086755,-3.5316832614025826e-05,-2.677299862481126e-05,0.0,-9.643115175125342e-05,-0.00016999202300789818,-0.00014649548059508097,-0.0002483971825524067,False,76,0.95,24,95,95,0.3
0.5742018507807982,0.3863244650086755,-3.5316832614025826e-05,-2.677299862481126e-05,0.0,-9.643115175125342e-05,-0.00016999202300789818,-0.00014649548059508097,-0.0002483971825524067,False,76,0.99,24,95,95,0.3
,,,,,,,,,False,0,0.7,0,0,0,0.4
0.4479166666666667,0.5520833333333333,6.652060566117446e-05,9.901589346038644e-05,0.0,-7.139327144210783e-05,-0.00021600949362355487,-9.322903424305307e-05,-0.0002067867767708842,False,5,0.72,3,8,8,0.4
0.6190476190476191,0.38095238095238093,-0.00017297951073022566,-0.00011993400261301706,0.0,-8.309770707087034e-05,-0.00013453208633277926,-0.00011905981446841143,-0.00018391473733454723,False,18,0.74,6,21,21,0.4
0.5511363636363636,0.42613636363636365,0.00010549446940911655,7.900297806414203e-05,0.0,-3.278255756340846e-05,-0.00017781653326043973,-4.858394797564094e-05,-0.00012863893897110704,False,34,0.76,12,44,44,0.4
0.5452380952380953,0.4093073593073593,0.00011021793196816846,7.409451161279415e-05,0.0,-2.7556343755673048e-05,-0.00017305285362669871,-4.3601924972355455e-05,-0.00011877094746035802,False,51,0.78,18,66,66,0.4
0.5615445665445666,0.4007887667887668,9.983105210659741e-05,6.394454932108495e-05,0.0,-3.5178555070191444e-05,-0.00017126716669196536,-5.556032941844406e-05,-0.00012749201781369143,False,60,0.8,18,75,75,0.4
0.572571783055654,0.3871056362991847,-2.5352204844735847e-05,-1.7492067571710696e-05,0.0,-9.577726889748432e-05,-0.00017360859756481987,-0.00014511405817072744,-0.0002492103844204486,False,74,0.85,24,93,93,0.4
0.569672083235913,0.39043429974281035,-2.5807347330066335e-05,-1.7913196495743155e-05,0.0,-9.488571337037895e-05,-0.00017180044878457794,-0.00014364611308526773,-0.0002460586462498792,False,75,0.9,24,94,94,0.4
0.5742018507807982,0.3863244650086755,-3.5316832614025826e-05,-2.677299862481126e-05,0.0,-9.643115175125342e-05,-0.00016999202300789818,-0.00014649548059508097,-0.0002483971825524067,False,76,0.95,24,95,95,0.4
0.5742018507807982,0.3863244650086755,-3.5316832614025826e-05,-2.677299862481126e-05,0.0,-9.643115175125342e-05,-0.00016999202300789818,-0.00014649548059508097,-0.0002483971825524067,False,76,0.99,24,95,95,0.4
,,,,,,,,,False,0,0.7,0,0,0,0.5
0.4479166666666667,0.5520833333333333,6.652060566117446e-05,9.901589346038644e-05,0.0,-7.139327144210783e-05,-0.00021600949362355487,-9.322903424305307e-05,-0.0002067867767708842,False,5,0.72,3,8,8,0.5
0.6190476190476191,0.38095238095238093,-0.00017297951073022566,-0.00011993400261301706,0.0,-8.309770707087034e-05,-0.00013453208633277926,-0.00011905981446841143,-0.00018391473733454723,False,18,0.74,6,21,21,0.5
0.5511363636363636,0.42613636363636365,0.00010549446940911655,7.900297806414203e-05,0.0,-3.278255756340846e-05,-0.00017781653326043973,-4.858394797564094e-05,-0.00012863893897110704,False,34,0.76,12,44,44,0.5
0.5452380952380953,0.4093073593073593,0.00011021793196816846,7.409451161279415e-05,0.0,-2.7556343755673048e-05,-0.00017305285362669871,-4.3601924972355455e-05,-0.00011877094746035802,False,51,0.78,18,66,66,0.5
0.5615445665445666,0.4007887667887668,9.983105210659741e-05,6.394454932108495e-05,0.0,-3.5178555070191444e-05,-0.00017126716669196536,-5.556032941844406e-05,-0.00012749201781369143,False,60,0.8,18,75,75,0.5
0.5679258241758242,0.39131330625895844,7.004171538977687e-05,4.944438543513619e-05,0.0,-4.007189368346079e-05,-0.00017549564753835054,-6.409590451465956e-05,-0.00014260408851439417,False,73,0.85,24,92,92,0.5
0.5650449013352239,0.3946325180196148,6.855593782143731e-05,4.829898143657815e-05,0.0,-3.976973406696744e-05,-0.00017364776543817554,-6.348333801598058e-05,-0.00014056476494313106,False,74,0.9,24,93,93,0.5
0.569672083235913,0.39043429974281035,5.7941423064760124e-05,3.8640541221750585e-05,0.0,-4.1917953487036435e-05,-0.00017180044878457794,-6.721581342557149e-05,-0.00014405045462448067,False,75,0.95,24,94,94,0.5
0.569672083235913,0.39043429974281035,5.7941423064760124e-05,3.8640541221750585e-05,0.0,-4.1917953487036435e-05,-0.00017180044878457794,-6.721581342557149e-05,-0.00014405045462448067,False,75,0.99,24,94,94,0.5
,,,,,,,,,False,0,0.7,0,0,0,0.6
