mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,passes_gate,risk,risk_threshold,safe_useful,selected,selected_images,useful_threshold
,,,,,,,,,False,0,0.05,0,0,0,0.2
,,,,,,,,,False,0,0.1,0,0,0,0.2
,,,,,,,,,False,0,0.15,0,0,0,0.2
,,,,,,,,,False,0,0.2,0,0,0,0.2
,,,,,,,,,False,0,0.3,0,0,0,0.2
,,,,,,,,,False,0,0.4,0,0,0,0.2
,,,,,,,,,False,0,0.5,0,0,0,0.2
,,,,,,,,,False,0,0.05,0,0,0,0.3
,,,,,,,,,False,0,0.1,0,0,0,0.3
,,,,,,,,,False,0,0.15,0,0,0,0.3
,,,,,,,,,False,0,0.2,0,0,0,0.3
,,,,,,,,,False,0,0.3,0,0,0,0.3
,,,,,,,,,False,0,0.4,0,0,0,0.3
,,,,,,,,,False,0,0.5,0,0,0,0.3
,,,,,,,,,False,0,0.05,0,0,0,0.4
,,,,,,,,,False,0,0.1,0,0,0,0.4
,,,,,,,,,False,0,0.15,0,0,0,0.4
,,,,,,,,,False,0,0.2,0,0,0,0.4
,,,,,,,,,False,0,0.3,0,0,0,0.4
,,,,,,,,,False,0,0.4,0,0,0,0.4
,,,,,,,,,False,0,0.5,0,0,0,0.4
,,,,,,,,,False,0,0.05,0,0,0,0.5
,,,,,,,,,False,0,0.1,0,0,0,0.5
,,,,,,,,,False,0,0.15,0,0,0,0.5
,,,,,,,,,False,0,0.2,0,0,0,0.5
,,,,,,,,,False,0,0.3,0,0,0,0.5
,,,,,,,,,False,0,0.4,0,0,0,0.5
,,,,,,,,,False,0,0.5,0,0,0,0.5
,,,,,,,,,False,0,0.05,0,0,0,0.6
,,,,,,,,,False,0,0.1,0,0,0,0.6
,,,,,,,,,False,0,0.15,0,0,0,0.6
,,,,,,,,,False,0,0.2,0,0,0,0.6
,,,,,,,,,False,0,0.3,0,0,0,0.6
,,,,,,,,,False,0,0.4,0,0,0,0.6
,,,,,,,,,False,0,0.5,0,0,0,0.6
,,,,,,,,,False,0,0.05,0,0,0,0.7
,,,,,,,,,False,0,0.1,0,0,0,0.7
,,,,,,,,,False,0,0.15,0,0,0,0.7
,,,,,,,,,False,0,0.2,0,0,0,0.7
,,,,,,,,,False,0,0.3,0,0,0,0.7
,,,,,,,,,False,0,0.4,0,0,0,0.7
,,,,,,,,,False,0,0.5,0,0,0,0.7
,,,,,,,,,False,0,0.05,0,0,0,0.8
,,,,,,,,,False,0,0.1,0,0,0,0.8
,,,,,,,,,False,0,0.15,0,0,0,0.8
,,,,,,,,,False,0,0.2,0,0,0,0.8
,,,,,,,,,False,0,0.3,0,0,0,0.8
,,,,,,,,,False,0,0.4,0,0,0,0.8
,,,,,,,,,False,0,0.5,0,0,0,0.8
