metric,direction,n,baseline_mean,ours_mean,mean_delta_ours_minus_baseline,median_delta,delta_ci95_low,delta_ci95_high,wilcoxon_statistic,p_raw,rank_biserial_ours_minus_baseline,improved_images,worsened_images,p_holm
dice,higher,96,0.897111622494327,0.8935129478020235,-0.003598674692303284,-0.0010145226737937607,-0.0083277028935633,9.255399317139355e-05,1503.0,0.002571433194838585,-0.3543814432989691,37,59,0.009112608182724009
iou,higher,96,0.8192153504568375,0.8150557489914109,-0.004159601465426397,-0.0017014540391602218,-0.00890816508345163,-0.00016775598422499817,1493.0,0.0022781520456810023,-0.3586769759450172,37,59,0.009112608182724009
precision,higher,96,0.8864863442763076,0.8688087769495745,-0.017677567326733076,-0.014093381357184909,-0.022429424705867722,-0.013628635058796034,94.0,3.2483360352361204e-16,-0.9596219931271478,1,95,3.573169638759732e-15
recall,higher,96,0.9162382794735201,0.930435544035662,0.014197264562142051,0.011818509911623032,0.012278540551881456,0.016697366386512216,0.0,1.781293897222056e-17,1.0,96,0,2.3156820663886727e-16
boundary_iou,higher,96,0.23989332340874725,0.2336640190776965,-0.00622930433105074,-0.004782782667424788,-0.009022760331736596,-0.003537080108311367,1161.0,2.0027793497445403e-05,-0.5012886597938144,31,65,0.00014019455448211783
boundary_f1,higher,96,0.37901739161165926,0.37099619058100375,-0.008021201030655572,-0.0059767579508701735,-0.01170379006873325,-0.004377812601479214,1189.0,3.151132446653029e-05,-0.4892611683848797,31,65,0.0001890679467991817
surface_dice_2px,higher,96,0.6545112433415333,0.6421133133427135,-0.012397929998819812,-0.011469509717846604,-0.017285332494967207,-0.0076399411172947025,1069.0,4.209172375048938e-06,-0.540807560137457,28,68,3.36733790003915e-05
surface_dice_5px,higher,96,0.8964598518860374,0.8900691034919603,-0.006390748394077157,-0.0037311910061981757,-0.010293274116475667,-0.002264845570904525,935.0,3.572054156723666e-07,-0.5983676975945017,21,75,3.2148487410512995e-06
hd95_px,lower,96,54.34135250509038,40.565352488800436,-13.776000016289927,0.18302472264827752,-32.27773070160034,0.5494151275883146,455.5,9.262887873553725e-05,0.5620192307692308,12,52,0.00046314439367768623
assd_px,lower,96,14.173772263935398,12.483078462259527,-1.6906938016758695,0.07604244214452394,-7.164804313628458,1.880240902616605,731.0,5.348995114087561e-09,0.6859965635738832,15,81,5.3489951140875614e-08
gap_region_fp_rate,lower,96,0.20554692036837063,0.24673833253220553,0.041191412163834935,0.03762526518372346,0.036619966856799704,0.0459967729520132,0.0,1.781293897222056e-17,1.0,0,96,2.3156820663886727e-16
component_merge_rate,lower,96,0.5729166666666666,0.5833333333333334,0.010416666666666666,0.0,-0.052083333333333336,0.07291666666666667,20.0,0.7388826803635273,0.1111111111111111,4,5,1.0
component_count_mae,lower,96,5.666666666666667,4.395833333333333,-1.2708333333333333,0.0,-3.83359375,0.15625,169.5,0.6306557368030796,-0.10317460317460317,13,14,1.0
