stem,fold,checkpoint,checkpoint_sha256,num_proposals
10004,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,29
10055,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,31
10066,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
10390,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,21
10526,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
10542,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,22
10621,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,31
10685,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,31
10779,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
11112,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,30
11142,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
11336,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,25
11779,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
11917,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,34
12277,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
12316,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
12434,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,24
12482,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,31
12522,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
12648,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,26
12915,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,26
12974,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,24
13039,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,30
13298,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,26
13496,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
