stem,fold,checkpoint,checkpoint_sha256,num_proposals
10003,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10043,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10144,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10390,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10474,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10526,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10542,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10621,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10685,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10779,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10833,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10852,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11285,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11355,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11382,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11383,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11488,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11662,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11779,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
11784,0,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold0_seed258_20260714_222424.pt,136abfbee0c5266756e4dda58a360dcdeed51d40a8746d84c43ac154deeaa4a7,0
10004,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
10015,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
10055,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
10066,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
10693,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
10727,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
10910,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11013,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11023,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11112,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11115,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11142,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11152,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11201,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11237,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11283,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11336,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11612,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11630,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
11666,1,outputs/oof_proposals/r258_center_basin_oof_sanity_20260714_222417/fold1_seed259_20260714_222424.pt,a47dda01f2007651d674a9ff9491ac36c9875cae34e54e3da6ee9a34d45baf57,0
