distance,gt_gap_coverage,i,image,j,rank,roi_area_fraction,roi_xyxy,valley_score
49.69975715000917,0.24279835390946503,20,10375.png,23,0,0.026435988191925275,"[304, 728, 454, 920]",0.044774651527404785
49.69975715000917,0.24279835390946503,23,10375.png,20,1,0.026435988191925275,"[304, 728, 454, 920]",0.044774651527404785
53.91887440255153,0.33150434385002286,19,10375.png,20,2,0.035000146866601065,"[313, 720, 518, 906]",0.027035057544708252
54.16546526457689,0.2459228776101204,25,10375.png,23,3,0.021724324046468593,"[310, 776, 471, 923]",0.035536348819732666
58.287544596323414,0.1928059746989788,21,10375.png,22,4,0.03035732644039419,"[422, 725, 634, 881]",0.010110914707183838
58.287544596323414,0.1928059746989788,22,10375.png,21,5,0.03035732644039419,"[422, 725, 634, 881]",0.010110914707183838
60.28492664841255,0.23212924859015394,24,10375.png,21,6,0.02960830677495631,"[420, 729, 588, 921]",0.05686277151107788
63.231060017249206,0.19890260631001372,27,10375.png,23,7,0.02574755099942722,"[280, 770, 430, 957]",0.037531375885009766
67.54897943350417,0.2524982570299791,24,10618.png,28,0,0.019780967777224052,"[676, 978, 882, 1215]",0.053570330142974854
67.54897943350417,0.2524982570299791,28,10618.png,24,1,0.019780967777224052,"[676, 978, 882, 1215]",0.05357015132904053
67.96304674265906,0.18370904020450848,29,10618.png,25,2,0.0184953790926734,"[844, 981, 1035, 1220]",0.043773651123046875
67.96304674265906,0.18370904020450848,25,10618.png,29,3,0.0184953790926734,"[844, 981, 1035, 1220]",0.0437735915184021
71.22898936773944,0.15686730188240763,27,10618.png,25,4,0.018552507363874673,"[859, 980, 1100, 1170]",0.03528112173080444
72.72747963331489,0.3085056937020683,31,10618.png,28,5,0.021080737238314027,"[675, 1035, 917, 1250]",0.039305031299591064
79.82843350578213,0.2213571926562863,33,10618.png,28,6,0.018752658895601123,"[644, 1037, 847, 1265]",0.002350330352783203
59.54800854358025,0.138019332949235,19,10624.png,22,0,0.02400673873367963,"[552, 931, 768, 1102]",0.04540640115737915
59.54800854358025,0.138019332949235,22,10624.png,19,1,0.02400673873367963,"[552, 931, 768, 1102]",0.04540640115737915
78.75507879991838,0.21215031047948274,24,10624.png,22,2,0.02954565544064351,"[535, 945, 726, 1183]",0.05383986234664917
228.40811704352282,0.4231483259714487,27,10624.png,24,3,0.10761760286188196,"[245, 944, 774, 1257]",-0.053081393241882324
64.98292345304124,0.18677229624294803,21,11852.png,24,0,0.03263090614091155,"[316, 904, 520, 1148]",0.026274502277374268
