image,rank,pair_a,pair_b,peak_a_y,peak_a_x,peak_b_y,peak_b_x,peak_min,neck_score,saddle_score,gray_valley_score,two_side_support,basin_balance,score,roi_xyxy,component_id,seam_gt_fg_fraction,seam_gt_gap_fraction,seam_gt_interinstance_fraction,seam_destructive_fg_fraction,roi_gt_gap_coverage
10375.png,1,1,2,796,492,805,519,18.973665961010276,0.0989130799824609,0.09891307998246095,0.0,0.04292992258153532,0.0018429782528566164,0.06578733637670685,"[482, 786, 505, 808]",21,1.0,0.0,0.0,1.0,0.0
10624.png,1,1,2,1018,488,1068,460,23.08679276123039,0.6806122590096573,0.6806122590096573,0.09494204023087788,0.43705457531057,0.1910167017999027,0.4976610517600993,"[438, 1019, 508, 1108]",21,0.9343724364232978,0.02132895816242822,0.02789171452009844,0.9179655455291222,0.1678832116788321
10624.png,2,1,2,1123,521,1157,522,22.627416997969522,0.538680721237798,0.5386807212377979,0.05496524915154875,0.21770017209205406,0.04739336492890995,0.36960477084437404,"[474, 1143, 543, 1173]",25,0.8904593639575972,0.0,0.0,0.8904593639575972,0.01824817518248175
11852.png,1,1,3,1097,566,1007,506,34.92849839314596,0.4859160874863516,0.4859160874863517,0.06344943102837385,0.36567163208424247,0.1337157425111536,0.36226275506154076,"[471, 968, 531, 1101]",19,0.8497519489723601,0.011339475549255847,0.013465627214741318,0.8391211906449326,0.25
11852.png,2,1,2,1097,566,1086,501,36.22154055254967,0.10772651508999054,0.10772651508999058,0.1767933986317014,0.041483024241142356,0.0017208413001912047,0.11505671234809103,"[481, 1066, 520, 1104]",19,0.09433962264150944,0.0,0.0,0.09433962264150944,0.08333333333333333
11852.png,3,1,2,996,576,1023,615,19.79898987322333,0.15381978037401522,0.1538197803740152,0.03270196888462134,0.07266942228468333,0.00528084493518963,0.11136777378826697,"[602, 1010, 628, 1035]",21,1.0,0.0,0.0,1.0,0.0
11852.png,4,2,3,1086,501,1007,506,34.92849839314596,0.08758083105622483,0.08758083105622487,0.08706495579964031,0.11344337542592203,0.012869399428026692,0.09133124389753329,"[484, 1066, 518, 1099]",19,0.0,0.0,0.0,0.0,0.05952380952380952
11945.png,1,1,2,985,548,973,498,12.0,0.0,0.0,0.0,0.22035340670743492,0.04855562384757222,0.033053011006115234,"[535, 973, 572, 998]",19,1.0,0.0,0.0,1.0,0.0
12498.png,1,1,3,1111,622,1268,745,30.59411708155671,0.0,0.0,0.0,0.23161446219077214,0.05364525909592062,0.03474216932861582,"[552, 1073, 654, 1145]",19,0.9867330016583747,0.013266998341625208,0.05555555555555555,0.9444444444444444,0.075
12498.png,2,2,3,1233,628,1268,745,30.59411708155671,0.0,0.0,0.0,0.011739547651073238,0.0001378169790518192,0.0017609321476609856,"[614, 1218, 644, 1249]",19,1.0,0.0,0.0,1.0,0.0
