split,stem,positive,a,b,gap,relative_gap,pa,pb,psa,psb,rank_a,rank_b,fold_a,fold_b
train,10003,True,20,22,0.0,0.0,"[886.0814606741573, 1246.78125]","[856.685393258427, 1229.9895833333333]",50.732811636042086,52.10421585108953,25,26,1,1
train,10003,True,24,22,4.385164807134504,0.07276340269257413,"[802.0926966292135, 1255.1770833333333]","[856.685393258427, 1229.9895833333333]",72.11465196377088,52.10421585108953,18,26,1,1
train,10003,True,26,24,7.062257748298549,0.1069548096539839,"[739.1011235955056, 1242.5833333333333]","[802.0926966292135, 1255.1770833333333]",68.22043233255306,72.11465196377088,16,18,1,1
train,10003,True,25,23,7.0,0.16381273202031815,"[718.1039325842696, 1297.15625]","[776.8960674157304, 1330.7395833333333]",63.95234832127155,68.22043233255306,19,24,1,1
train,10003,True,27,23,9.04987562112089,0.18811092451333292,"[818.8904494382023, 1372.71875]","[776.8960674157304, 1330.7395833333333]",71.99231998092543,68.22043233255306,23,24,1,1
train,10003,True,24,23,11.083045973594572,0.19001679127883522,"[802.0926966292135, 1255.1770833333333]","[776.8960674157304, 1330.7395833333333]",72.11465196377088,68.22043233255306,18,24,1,1
train,10003,True,26,25,10.40175425099138,0.19713873868662765,"[739.1011235955056, 1242.5833333333333]","[718.1039325842696, 1297.15625]",68.22043233255306,63.95234832127155,16,19,1,1
train,10003,True,14,19,10.180339887498949,0.24346103253650583,"[911.2780898876405, 906.75]","[898.6797752808989, 952.9270833333334]",50.55877060291594,57.569363593250145,5,11,1,1
train,10003,True,24,21,18.697715603592208,0.3348769987083831,"[802.0926966292135, 1255.1770833333333]","[860.8848314606741, 1309.75]",72.11465196377088,53.60512413972735,18,21,1,1
train,10003,True,16,11,9.770329614269007,0.3547573669640184,"[629.9157303370787, 1036.8854166666667]","[604.7191011235955, 1011.6979166666666]",44.632552616258366,43.02364024677909,20,22,1,1
train,10003,True,18,13,14.0,0.35756661096715786,"[793.693820224719, 957.125]","[797.8932584269663, 906.75]",59.67441752719282,48.05605895410458,0,10,1,1
train,10003,True,12,17,15.15549442140351,0.46737499177425984,"[692.9073033707865, 940.3333333333334]","[701.3061797752808, 986.5104166666666]",43.63393513016928,53.93298728306528,8,13,1,1
train,10003,True,24,25,32.54101966249684,0.5090129580900169,"[802.0926966292135, 1255.1770833333333]","[718.1039325842696, 1297.15625]",72.11465196377088,63.95234832127155,18,19,1,1
train,10003,True,24,20,32.52610922848042,0.5451005510370708,"[802.0926966292135, 1255.1770833333333]","[886.0814606741573, 1246.78125]",72.11465196377088,50.732811636042086,18,25,1,1
train,10003,True,15,20,21.825424421026653,0.5591669169952682,"[940.6741573033707, 1225.7916666666667]","[886.0814606741573, 1246.78125]",62.276449452156804,50.732811636042086,17,25,1,1
train,10003,True,28,27,29.14962686336267,0.603821324145232,"[684.5084269662922, 1368.5208333333333]","[818.8904494382023, 1372.71875]",52.943307108228325,71.99231998092543,9,23,1,1
train,10003,True,24,27,45.389654018972806,0.671023287704451,"[802.0926966292135, 1255.1770833333333]","[818.8904494382023, 1372.71875]",72.11465196377088,71.99231998092543,18,23,1,1
train,10003,True,25,27,39.85339643163099,0.7276807832188211,"[718.1039325842696, 1297.15625]","[818.8904494382023, 1372.71875]",63.95234832127155,71.99231998092543,19,23,1,1
train,10003,True,21,27,33.17601498127012,0.7363362806795913,"[860.8848314606741, 1309.75]","[818.8904494382023, 1372.71875]",53.60512413972735,71.99231998092543,21,23,1,1
train,10003,True,26,23,34.0,0.7421175424954368,"[739.1011235955056, 1242.5833333333333]","[776.8960674157304, 1330.7395833333333]",68.22043233255306,68.22043233255306,16,24,1,1
train,10003,True,28,25,31.89376840679705,0.7431235480006364,"[684.5084269662922, 1368.5208333333333]","[718.1039325842696, 1297.15625]",52.943307108228325,63.95234832127155,9,19,1,1
train,10003,True,18,19,39.26164427839479,0.7832771343727126,"[793.693820224719, 957.125]","[898.6797752808989, 952.9270833333334]",59.67441752719282,57.569363593250145,0,11,1,1
train,10003,False,21,20,31.202484376209235,0.9793911002952389,"[860.8848314606741, 1309.75]","[886.0814606741573, 1246.78125]",53.60512413972735,50.732811636042086,21,25,1,1
train,10003,False,21,23,49.80354318352215,1.7017531270283581,"[860.8848314606741, 1309.75]","[776.8960674157304, 1330.7395833333333]",53.60512413972735,68.22043233255306,21,24,1,1
train,10003,False,15,22,41.190046219457976,1.0313639225756581,"[940.6741573033707, 1225.7916666666667]","[856.685393258427, 1229.9895833333333]",62.276449452156804,52.10421585108953,17,26,1,1
train,10003,False,21,22,37.47076812334269,1.1367834194784097,"[860.8848314606741, 1309.75]","[856.685393258427, 1229.9895833333333]",53.60512413972735,52.10421585108953,21,26,1,1
train,10003,False,28,23,49.774009099144415,1.4633086619388251,"[684.5084269662922, 1368.5208333333333]","[776.8960674157304, 1330.7395833333333]",52.943307108228325,68.22043233255306,9,24,1,1
train,10003,False,18,17,45.51881339845203,1.0345184863284553,"[793.693820224719, 957.125]","[701.3061797752808, 986.5104166666666]",59.67441752719282,53.93298728306528,0,13,1,1
train,10003,False,17,16,45.14108798023731,1.2517478204299746,"[701.3061797752808, 986.5104166666666]","[629.9157303370787, 1036.8854166666667]",53.93298728306528,44.632552616258366,13,20,1,1
train,10003,False,1,6,43.204072210600685,2.873892134046836,"[470.3370786516854, 885.7604166666666]","[499.7331460674157, 923.5416666666666]",27.850874874470428,22.217312289199278,15,27,1,1
train,10003,False,26,22,69.03570517957252,1.430503817549151,"[739.1011235955056, 1242.5833333333333]","[856.685393258427, 1229.9895833333333]",68.22043233255306,52.10421585108953,16,26,1,1
train,10003,False,18,12,45.238512086787566,1.1882264142866181,"[793.693820224719, 957.125]","[692.9073033707865, 940.3333333333334]",59.67441752719282,43.63393513016928,0,8,1,1
train,10003,False,15,21,84.60373823613078,2.573814049829226,"[940.6741573033707, 1225.7916666666667]","[860.8848314606741, 1309.75]",62.276449452156804,53.60512413972735,17,21,1,1
train,10003,False,17,11,59.8276253029822,1.8957108502895843,"[701.3061797752808, 986.5104166666666]","[604.7191011235955, 1011.6979166666666]",53.93298728306528,43.02364024677909,13,22,1,1
train,10003,False,13,19,46.12748667179272,1.1149909446689628,"[797.8932584269663, 906.75]","[898.6797752808989, 952.9270833333334]",48.05605895410458,57.569363593250145,10,11,1,1
train,10003,False,23,22,84.14693182963201,2.272581975989763,"[776.8960674157304, 1330.7395833333333]","[856.685393258427, 1229.9895833333333]",68.22043233255306,52.10421585108953,24,26,1,1
train,10003,False,15,24,89.47098982546837,1.4858273290404251,"[940.6741573033707, 1225.7916666666667]","[802.0926966292135, 1255.1770833333333]",62.276449452156804,72.11465196377088,17,18,1,1
train,10003,False,28,26,94.25754563287887,2.0495614371147592,"[684.5084269662922, 1368.5208333333333]","[739.1011235955056, 1242.5833333333333]",52.943307108228325,68.22043233255306,9,16,1,1
train,10003,False,26,27,80.05553651663777,1.399431176264889,"[739.1011235955056, 1242.5833333333333]","[818.8904494382023, 1372.71875]",68.22043233255306,71.99231998092543,16,23,1,1
train,10003,False,26,21,90.23595782365635,2.118366726634157,"[739.1011235955056, 1242.5833333333333]","[860.8848314606741, 1309.75]",68.22043233255306,53.60512413972735,16,21,1,1
train,10003,False,23,20,97.73702446397704,2.7112587784947118,"[776.8960674157304, 1330.7395833333333]","[886.0814606741573, 1246.78125]",68.22043233255306,50.732811636042086,24,25,1,1
train,10003,False,14,13,46.67598976424087,1.6831792401046508,"[911.2780898876405, 906.75]","[797.8932584269663, 906.75]",50.55877060291594,48.05605895410458,5,10,1,1
