dataset,split,protocol,num_images,clean_test_used,experiment,backbone,arm,route,coefficient_name,coefficient_value,alpha_screening,checkpoint_label,selected,gate_pass,reference_experiment,source_json,notes,dice,delta_dice,iou,delta_iou,precision,delta_precision,recall,delta_recall,specificity,delta_specificity,boundary_iou,delta_boundary_iou,boundary_f1,delta_boundary_f1,gap_region_fp_rate,delta_gap_region_fp_rate,gap_region_precision,delta_gap_region_precision,component_merge_rate,delta_component_merge_rate,component_count_mae,delta_component_count_mae,component_delta_mean,delta_component_delta_mean,surface_dice_2px,delta_surface_dice_2px,surface_dice_5px,delta_surface_dice_5px,hd95_px,delta_hd95_px,assd_px,delta_assd_px
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R260_mature_baseline,nnU-Net v2 2D,plain,native,,,False,mature_baseline,,,,outputs/analysis/r260_mature_baseline_original_val_r201.json,Mature nnU-Net baseline; reference for R260 prior.,0.897111622494327,,0.8192153504568375,,0.8864863442763076,,0.9162382794735201,,0.9972465444828337,,0.23989332340874725,,0.37901739161165926,,0.20554692036837063,,0.7944530796316293,,0.5729166666666666,,5.666666666666667,,2.3333333333333335,,0.6545112433415333,,0.8964598518860374,,54.34135250509038,,14.173772263935398,
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R260_mature_prior,nnU-Net v2 2D,prior,R259/R260_background_separation,background_separation_weight,0.05,False,mature_prior,True,,R260_mature_baseline,outputs/analysis/r260_mature_prior_original_val_r201.json,The 0.05 coefficient is not the R316c/R317 continuous-prior alpha.,0.9027585385931185,0.005646916098791532,0.826195708970261,0.00698035851342349,0.9112938995635168,0.024807555287209238,0.8996319568216095,-0.016606322651910643,0.9977208551721607,0.0004743106893270177,0.24464180359870488,0.004748480189957632,0.38593795724285546,0.006920565631196196,0.1752000176390118,-0.030346902729358832,0.8247999823609882,0.030346902729358916,0.5,-0.07291666666666663,1.90625,-3.760416666666667,-0.8229166666666666,-3.15625,0.6672811375876165,0.012769894246083213,0.9122112924552733,0.01575144056923594,15.864083649434889,-38.47726885565549,4.320394541478605,-9.853377722456791
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R316c_continuous_alpha0.020,nnU-Net v2 2D,prior,continuous,prior_alpha,0.02,True,best,False,True,R260_mature_prior,outputs/analysis/r316c_continuous_alpha020_original_val_r201.json,R316c dual-route alpha screening; selection used original-val only.,0.9036434743536353,0.0008849357605168473,0.8276765116209841,0.0014808026507231453,0.9064447735599784,-0.004849126003538373,0.9061392231093358,0.006507266287726354,0.9975460345258739,-0.0001748206462868218,0.245532263455979,0.0008904598572741229,0.38712196328705545,0.0011840060441999922,0.18997200333455486,0.014771985695543055,0.8100279966654451,-0.014771985695543055,0.5520833333333334,0.05208333333333337,1.8958333333333333,-0.01041666666666674,-1.1041666666666667,-0.2812500000000001,0.6686314520875252,0.0013503144999086336,0.912818552687933,0.0006072602326596677,13.984424262891897,-1.8796593865429916,4.076146883482181,-0.24424765799642412
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R316c_continuous_alpha0.035,nnU-Net v2 2D,prior,continuous,prior_alpha,0.035,True,best,True,True,R260_mature_prior,outputs/analysis/r316c_continuous_alpha035_original_val_r201.json,R316c dual-route alpha screening; selection used original-val only.,0.9033083652689115,0.0005498266757929526,0.827140523813083,0.0009448148428220504,0.9085335575637906,-0.00276034199972619,0.9034494950376225,0.00381753821601305,0.9976212499952498,-9.960517691087745e-05,0.24539785490292546,0.000756051304220573,0.3869499823236624,0.0010120250808069442,0.18428911669534095,0.009089099056329153,0.815710883304659,-0.009089099056329153,0.5208333333333334,0.02083333333333337,1.8958333333333333,-0.01041666666666674,-1.0416666666666667,-0.2187500000000001,0.6685199826780167,0.0012388450904001758,0.9132406856194014,0.0010293931641280896,13.944442437662952,-1.9196412117719373,4.067454572651908,-0.25293996882669756
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R316c_gated_alpha0.020,nnU-Net v2 2D,prior,gated,prior_alpha,0.02,True,best,False,False,R260_mature_prior,outputs/analysis/r316c_gated_alpha020_original_val_r201.json,R316c dual-route alpha screening; selection used original-val only.,0.9031336427063611,0.00037510411324259696,0.826828113226845,0.0006324042565840626,0.9074113911902358,-0.0038825083732809684,0.9041563840741222,0.004524427252512786,0.9975885098938423,-0.00013234527831840204,0.24505215176915937,0.0004103481704544887,0.38648108674585013,0.000543129502994677,0.18677089261219038,0.011570874973178574,0.8132291073878095,-0.011570874973178658,0.5208333333333334,0.02083333333333337,1.8333333333333333,-0.07291666666666674,-0.9166666666666666,-0.09375,0.667708319169614,0.00042718158199750444,0.9127684136025271,0.000557121147253814,14.001457581459936,-1.8626260679749524,4.149609863013212,-0.17078467846539347
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R316c_gated_alpha0.035,nnU-Net v2 2D,prior,gated,prior_alpha,0.035,True,best,False,False,R260_mature_prior,outputs/analysis/r316c_gated_alpha035_original_val_r201.json,R316c dual-route alpha screening; selection used original-val only.,0.9020848021324791,-0.0006737364606393959,0.8250300161469569,-0.001165692823304032,0.9097637043560276,-0.0015301952074892045,0.8997312522726281,9.929545101861059e-05,0.9976767293253124,-4.412584684831966e-05,0.2439078330833723,-0.0007339705153325826,0.3850373578328942,-0.0009005994099612336,0.17940243441946344,0.004202416780451634,0.8205975655805365,-0.004202416780451634,0.4895833333333333,-0.010416666666666685,1.7604166666666667,-0.14583333333333326,-0.65625,0.16666666666666663,0.6653843247406583,-0.0018968128469581957,0.9119788291173417,-0.0002324633379315877,13.960669772907883,-1.903413876527006,4.091560886916839,-0.2288336545617664
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R317_image_centers_only_ema_best,nnU-Net v2 2D,prior,continuous_image_centers_only,prior_alpha,0.035,False,ema_best,True,True,R260_mature_prior,outputs/analysis/r317_image_centers_only_ema_best_original_val_r201.json,Fixed alpha=0.035 checkpoint-maturity audit; not a new alpha value.,0.9028583903238084,9.985173068993713e-05,0.8263687488131889,0.00017303984292793562,0.909300321134217,-0.0019935784292998138,0.9017662627461774,0.0021343059245679807,0.997653815944771,-6.703922738970913e-05,0.24524544778342836,0.000603644184723473,0.3867457632733853,0.0008078060305298229,0.18173690758574482,0.0065368899467330155,0.8182630924142552,-0.00653688994673296,0.5,0.0,1.8541666666666667,-0.05208333333333326,-0.8333333333333334,-0.01041666666666674,0.6684083882252784,0.0011272506376618363,0.9133118652600611,0.0011005728047878138,14.008440946406063,-1.8556427030288258,4.047526459376801,-0.27286808210180435
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R317_image_centers_only_epoch003,nnU-Net v2 2D,prior,continuous_image_centers_only,prior_alpha,0.035,False,epoch003,False,False,R260_mature_prior,outputs/analysis/r317_image_centers_only_epoch003_original_val_r201.json,Fixed alpha=0.035 checkpoint-maturity audit; not a new alpha value.,0.902937247784978,0.00017870919185947187,0.8264691979937817,0.00027348902352075655,0.9117188955513513,0.00042499598783451997,0.8995125955316698,-0.00011936128993961237,0.9977291833484846,8.328176323901815e-06,0.24552150262484895,0.0008796990261440707,0.3871341535719532,0.0011961963290977318,0.17514825152176464,-5.1766117247165067e-05,0.8248517484782353,5.1766117247109555e-05,0.46875,-0.03125,1.8229166666666667,-0.08333333333333326,-0.7395833333333334,0.08333333333333326,0.6689866983382563,0.0017055607506397674,0.913291759734092,0.0010804672788187197,13.906754436476247,-1.9573292129586424,4.167148399409178,-0.15324614206942755
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R317_image_centers_only_epoch006,nnU-Net v2 2D,prior,continuous_image_centers_only,prior_alpha,0.035,False,epoch006,False,False,R260_mature_prior,outputs/analysis/r317_image_centers_only_epoch006_original_val_r201.json,Fixed alpha=0.035 checkpoint-maturity audit; not a new alpha value.,0.9029881090694483,0.00022957047632976568,0.8264860210173158,0.0002903120470548748,0.9128325307560324,0.001538631192515627,0.898434833840291,-0.0011971229813184658,0.9977805304903594,5.96753181987264e-05,0.24527810162564997,0.0006362980269450924,0.38677844374531833,0.0008404865024628783,0.17082323877956987,-0.004376778859441932,0.82917676122043,0.004376778859441877,0.4791666666666667,-0.020833333333333315,1.8229166666666667,-0.08333333333333326,-0.6979166666666666,0.125,0.6688209505846562,0.0015398129970396468,0.9130156489199234,0.0008043564646500467,16.463215262006912,0.5991316125720232,4.3051473497853445,-0.015247191693260831
TSRS_RSNA-Epiphysis,original-val,R201,96,False,R317_image_centers_only_epoch009,nnU-Net v2 2D,prior,continuous_image_centers_only,prior_alpha,0.035,False,epoch009,False,False,R260_mature_prior,outputs/analysis/r317_image_centers_only_epoch009_original_val_r201.json,Fixed alpha=0.035 checkpoint-maturity audit; not a new alpha value.,0.9030048788610846,0.0002463402679661053,0.8265600890529042,0.0003643800826432786,0.9108836055162421,-0.0004102940472746619,0.9003696630640476,0.0007377062424381853,0.9977291145824086,8.259410247957177e-06,0.24577678077177265,0.0011349771730677638,0.3873661339744312,0.0014281767315757476,0.1750253945679051,-0.00017462307110668873,0.8249746054320948,0.00017462307110660547,0.4791666666666667,-0.020833333333333315,1.8125,-0.09375,-0.7083333333333334,0.11458333333333326,0.6691414713875581,0.0018603337999415492,0.9130877220358693,0.0008764295805959721,16.385944563877054,0.5218609144421649,4.335123653584986,0.01472911210638106
