case,dice_delta_vs_r350,iou_delta_vs_r350,gap_region_fp_rate_delta_vs_r350,component_merge_rate_delta_vs_r350,hd95_px_delta_vs_r350,assd_px_delta_vs_r350
10375.png,-0.0006386379397737008,-0.0010607410105959447,0.00761936085073725,0.0,0.0,0.01344827036189411
10520.png,-0.0010407156328735567,-0.0017220680772142005,0.008709158484495466,0.0,0.0,0.0208334736443736
10618.png,-0.00046387156075045066,-0.0007505892796233482,0.006406498618206191,0.0,0.07464047124119944,0.005553416730161853
10624.png,-0.0011219219758342724,-0.001699540310186154,0.007535829865926935,0.0,0.0,0.022125731130457016
11852.png,-4.043216645444048e-05,-6.459636387412537e-05,0.006688382193268172,0.0,-0.18110377727625604,0.007662789393752423
11945.png,-0.00041729006580681904,-0.0007443338574346647,0.008454054972598657,0.0,0.0,0.012511986796547525
12498.png,0.0002245822227334715,0.00041316894793741454,0.008113160958058502,0.0,0.0,0.0009246556738629064
12627.png,0.00010648101363708307,0.0001832913142214565,0.0058310542339646,0.0,0.0,0.0022052245486923194
12827.png,5.636644241735489e-05,9.796425256469732e-05,0.008671471954922988,0.0,0.0,0.0076983811182982365
13220.png,0.0005139980494353047,0.0007990845980425654,0.005221052631578953,0.0,-0.11953506150162418,-0.012390368148511133
13436.png,0.0003349931001108697,0.0005765002908855177,0.007161873336083091,0.0,0.0,-0.0013047724167634112
13441.png,0.0012346576626239836,0.002144702732761128,0.004836038423318978,0.0,0.0,-0.017982367624742812
13454.png,0.00045970170403564214,0.000783989074884528,0.005856605634671108,0.0,0.0,-0.0012530972196389545
13480.png,0.0006885367070187387,0.0011953880848698528,0.006271477663230246,0.0,0.0,-0.008077200049504185
13517.png,-0.002130476731322717,-0.0028957471537615076,0.009036144578313254,0.0,0.0,0.03685040112336013
13840.png,-0.0004252320259986453,-0.0006651031379961703,0.007176849861836032,0.0,0.0,0.02729549214986715
13867.png,-0.0002948010975081239,-0.0004557889790687275,0.006600800613235702,0.0,0.0,0.011000309409280984
1399.png,0.002766912704672775,0.004129726310416526,0.004596420363535067,0.0,0.0,-0.03812723745042046
14041.png,-0.0005505057316248507,-0.0009922440307433833,0.009939889207559005,0.0,0.0,0.025180584814308737
1418.png,0.003275939325066868,0.003877124237959162,0.004666483667307167,0.0,1.5569791388748015,0.052287975664898845
1452.png,-0.0009108589592184968,-0.0015868423126745856,0.017983481377590815,0.0,0.06225774829854913,0.061489910511884016
15040.png,-0.0005123310771503187,-0.0009201198120517562,0.009953249886894888,0.0,0.0,0.017760812007481697
15067.png,-0.0006673741895908414,-0.0011911083547939683,0.010626672193541076,0.0,0.0,0.018314735720144304
1518.png,-0.00627722183942192,-0.010087818313165964,0.016752577319587625,0.0,0.34984573115241346,1.6998712979841102
1522.png,-5.96028028906348e-05,-8.446285142660326e-05,0.0073866292660121485,0.0,0.4812701171718672,0.040127993979443666
15274.png,0.0015807424456223407,0.0026773160362458803,0.0031621609584465346,0.0,0.0,-0.027815727268381663
15369.png,-0.00010925386098659118,-0.0001930479830812848,0.007051034008340867,0.0,0.0,0.00668365195270515
15446.png,0.001746384043093241,0.002953780521325111,0.0033374071636739708,0.0,-0.22949526788029484,-0.032818019956074806
1560.png,-0.0010846710983613006,-0.001703349046914382,0.01137975393343671,0.0,0.0,0.040086814053900355
1572.png,-2.7040555442781056e-05,-4.4950149065026146e-05,0.009343518884864732,0.0,0.3620248212909658,0.030187998123469395
1585.png,7.206505591728085e-05,0.00011681797680718198,0.00878579758973691,0.0,0.3234084704079656,0.058902362988487056
1590.png,-0.0032551015283615037,-0.00565307004699489,0.011483019789885168,0.0,0.0,0.06425122858424626
1620.png,-0.000574244113409339,-0.0010306288746838588,0.011560873765230129,0.0,0.0,0.03632608619007671
1660.png,7.604684642492643e-05,0.00013157171770550313,0.00949205908227993,0.0,0.3300231053584568,0.03684243339098758
1666.png,0.000306080886804061,0.0005433271202958112,0.01435241224278061,0.0,1.3380962103093985,1.095515409787339
1674.png,0.0006218848259104126,0.001090119156561764,0.009023768658657089,0.0,0.0,0.012338571938459886
1678.png,0.0007843533919653645,0.0013573068457903847,0.007837381262289167,0.0,0.2917960675006306,5.29804546589574e-06
1694.png,0.0003143725986757273,0.0005281775341485773,0.00890127231482396,0.0,0.6398403278009166,0.06084852339297875
1736.png,0.0005269217833432371,0.0008831496130456973,0.006770351840774375,0.0,-0.06225774829854913,-0.006488988553005726
1742.png,0.0007793053393498894,0.0012901208005680065,0.010574620909816479,0.0,0.10124568708510573,0.017505190646731172
1807.png,0.0005529371915832249,0.001008912689716257,0.01366585132404552,0.0,-0.32455532033675905,-0.06296218943005494
1812.png,0.0002094210938451413,0.00037427583450810875,0.015359017022910537,0.0,0.05572809000084078,0.027079822741848947
1827.png,-0.00011745790347927887,-0.00020615559571035558,0.013963039014373735,0.0,0.0,0.025871523753022707
1828.png,-0.0005794860973169502,-0.0010221014800378958,0.013840539023020765,0.0,0.014307264677397846,0.016890995975126888
1846.png,0.0009409901315364788,0.0017080600101215815,0.013195426822197986,0.0,-0.07910573476518223,0.0037993337441948327
1855.png,0.0013029642966762012,0.0022454059083458766,0.011278289293110783,0.0,-0.1627612611192788,-0.03212961616875232
1880.png,0.00020231785616842135,0.0003481523633787065,0.008129137150156784,0.0,-0.28614529354171925,0.0027521108118617743
1884.png,0.006099788923230931,0.007896887946641451,0.006636814329122026,0.0,-3.713946234947045,-0.10522727943252264
1886.png,0.0015243353625313816,0.0025864923787107807,0.010413786747765191,0.0,-0.2101092569933627,-0.020437926594939704
1901.png,0.0010212780287224277,0.0017496291212986126,0.011837197989297887,0.0,-0.052851848448534966,-0.009108684921878218
1931.png,0.000669263989985236,0.0011917995075870769,0.017808483113594453,0.0,-0.7400333785883983,-0.0495871016730427
1934.png,-0.0004187477700497988,-0.0007349183715201768,0.012795436022819906,0.0,0.18975032409334602,0.03241269906152411
2024.png,-0.0012599091714450283,-0.0021172073063935315,0.010835410120273031,0.0,0.0,0.02868681063829981
2044.png,3.919843685684654e-05,6.727762669334059e-05,0.011452819857638269,0.0,0.09901951359278449,0.020188287560978457
2246.png,-0.0025840582886199615,-0.002901702834259834,0.011786945401979332,0.0,-0.027737516461343148,0.39671936966547605
2248.png,-0.0007430969254156317,-0.0012566629285705178,0.01111225434715507,0.0,0.0,0.027728899914410077
2709.png,0.0011051423964421048,0.0016017314430629703,0.007191329889597892,0.0,0.0,-0.015138940250003952
2853.png,0.0023473974132357522,0.0036918458522087194,0.0038209606986899652,0.0,0.0,-0.025146666030978038
3058.png,0.000511250924832396,0.000882461481205632,0.009265150310163839,0.0,0.0,0.002941463109289
3249.png,0.001173609760187766,0.002020590752988216,0.007882409043731956,0.0,0.0,-0.022857210013249585
3269.png,0.0004201983151204125,0.0007326441674267992,0.007155932767515402,0.0,0.0,-0.003381818739602638
3352.png,0.0007363483816393845,0.0013041754397944416,0.00400861109049068,0.0,0.0,-0.008803907962116164
3353.png,0.001098243143032973,0.0019411758677853053,0.005180700330815802,0.0,0.0,-0.014648329375425595
3354.png,0.00010437645268823736,0.00018338644599269482,0.0072371012209531405,0.0,0.0,0.0027204283707342736
3366.png,0.001537236596013014,0.0026269864759184136,0.0045283995342217526,0.0,0.0,-0.02143758751281899
3392.png,-8.239567508172563e-06,-1.4460638085522781e-05,0.008309044242397867,0.0,0.0,0.022762689458617036
3460.png,0.00017773876815652123,0.0003187757846578876,0.01068015739179315,0.0,0.675444679663241,0.026303150964383626
3468.png,0.0003964015804069909,0.0006947267206893759,0.007569296375266529,0.0,0.0,0.0017976052185975089
3493.png,-0.0001702176754322382,-0.0003015874164929988,0.01314724422968433,0.0,0.21954445729288707,0.036912681180103935
3567.png,0.0006828917571264359,0.001185259392432192,0.005983350676378771,0.0,0.0,-0.00891164240164355
3595.png,0.0012399710319674906,0.0021370791082505614,0.004916631038905515,0.0,0.0,-0.01714414289143862
3596.png,0.0025657616006443673,0.004347204190102927,0.005038778837128888,0.0,0.0,-0.053866145164545465
3602.png,0.0006838664140770279,0.0012004200675799215,0.0068622174381055,0.0,-0.12310562561766059,-0.004318719683726435
3678.png,0.001414307662398251,0.0024362253043972437,0.005378452574373915,0.0,0.0,-0.02033181329928757
3700.png,0.0006534403998471605,0.0010751544330417362,0.011018772723899978,1.0,0.16840634597252624,0.022105965425564644
3725.png,0.001635553862690875,0.002881559348451024,0.004816475668493608,0.0,0.0,-0.022028244844642497
3732.png,0.003868946445810151,0.006110293221006646,0.0016426707894482556,0.0,-0.12170824512628453,-0.03934964924623219
3777.png,-0.0004045426603150881,-0.0007013510815472301,0.014595182335229162,0.0,0.0,0.01716204526926335
3840.png,0.00018806140963056883,0.00032542010999281334,0.01009283706668937,0.0,0.19447657004274532,0.010686638330151599
4047.png,0.0010099526574414153,0.00174024104444781,0.007041736961783909,0.0,0.0,-0.019950825413032724
4193.png,8.463499414268494e-05,0.00013080843283663768,0.012276290489572572,0.0,-0.4725134940930573,0.017864331987715865
5355.png,0.000515519381248386,0.0008230033767098188,0.007988354753958704,0.0,0.04103055513726339,-0.004266770723628355
5825.png,0.00038296338963983434,0.0005528128245667618,0.005364806866952787,0.0,0.007106781186573485,-0.0024543273573360835
5882.png,-0.0035438807877070655,-0.004817840260081474,0.009113300492610832,0.0,0.6219687978047119,0.09808144942930674
6503.png,-0.0002866867131586792,-0.00042105325501529123,0.006207847946045397,0.0,-0.08452405257734963,0.004597791341143687
6605.png,-2.7053636258878022e-05,-4.888914621925533e-05,0.009251068848592059,0.0,0.0,0.026472659169163082
6606.png,0.0007089123733606817,0.0012444724120465045,0.007269789983844893,0.0,0.0,0.009824344566215615
6698.png,-0.0011000520577965078,-0.0018505157279100626,0.007743362831858419,0.0,0.0,0.018099570748872473
6918.png,-2.5875222426030575e-05,-4.424774726574654e-05,0.00706271512225648,0.0,0.0,0.005245924505789423
6947.png,0.00017250276572222667,0.00030907730815599166,0.0074256338151940104,0.0,0.0,0.00042999357683082273
7253.png,0.00036921414055846036,0.0005962397301362277,0.005088001661388286,0.0,0.0,-0.0034563705605226147
7259.png,0.0001309339372780327,0.00022328271597449323,0.006614404703576687,0.0,0.0,2.5312458196147247e-05
7269.png,5.2990669142993774e-05,9.077592619433084e-05,0.00639929656587368,0.0,0.0,-0.0004615352532697514
7312.png,0.00041376672107762413,0.0006980092029028606,0.005384238864415053,0.0,0.0,0.00300131402543502
7654.png,-0.0006989463356701364,-0.001209712131674756,0.008458739057735809,0.0,0.4432736152956096,0.014915667656092646
8253.png,0.0004947342201412352,0.0008322434377088239,0.006095689163706536,0.0,0.0,-0.004388274404987458
