dataset,split,baseline,method,metric,direction,baseline_value,method_value,delta,relative_improvement_percent
TSRS,original-val96,matched_native,R350_best,dice,up,0.9036632774628299,0.9036457376150722,-1.7539847757763738e-05,-0.00194097162020454
TSRS,original-val96,matched_native,R350_best,iou,up,0.8276977543158907,0.827664338047676,-3.341626821462551e-05,-0.004037254908616341
TSRS,original-val96,matched_native,R350_best,precision,up,0.8968376368557184,0.9084516494796483,0.011614012623929915,1.2949961226703464
TSRS,original-val96,matched_native,R350_best,recall,up,0.9159013477381809,0.9041451245786435,-0.011756223159537393,-1.2835687149679817
TSRS,original-val96,matched_native,R350_best,specificity,up,0.9972288115921618,0.9976143191070311,0.000385507514869321,0.038657879755181264
TSRS,original-val96,matched_native,R350_best,boundary_iou,up,0.24322050882152116,0.2457666854648455,0.0025461766433243493,1.0468593523060061
TSRS,original-val96,matched_native,R350_best,boundary_f1,up,0.38411192588320775,0.3874665014300091,0.0033545755468013527,0.8733328284686839
TSRS,original-val96,matched_native,R350_best,gap_region_fp_rate,down,0.2148550220193001,0.18415193043842978,-0.030703091580870312,14.290143787335955
TSRS,original-val96,matched_native,R350_best,gap_region_precision,up,0.7851449779806998,0.8158480695615703,0.03070309158087048,3.9104996455349186
TSRS,original-val96,matched_native,R350_best,component_merge_rate,down,0.6354166666666666,0.5625,-0.07291666666666663,11.475409836065568
TSRS,original-val96,matched_native,R350_best,component_count_mae,down,2.1666666666666665,1.9583333333333333,-0.20833333333333326,9.615384615384613
TSRS,original-val96,matched_native,R350_best,component_delta_mean,diagnostic,-1.3125,-1.0208333333333333,0.29166666666666674,
TSRS,original-val96,matched_native,R350_best,surface_dice_2px,up,0.6633426237785511,0.6691965690490588,0.005853945270507643,0.8824919522225534
TSRS,original-val96,matched_native,R350_best,surface_dice_5px,up,0.9089936225500499,0.9125022786481543,0.003508656098104357,0.38599347795877054
TSRS,original-val96,matched_native,R350_best,hd95_px,down,16.963342422177195,16.585256996980338,-0.3780854251968577,2.2288380189894883
TSRS,original-val96,matched_native,R350_best,assd_px,down,4.381480329887412,4.268397751105215,-0.11308257878219763,2.5809217494559293
RAM,validation69,R325_native,R350_epoch29,overall_dsc,up,0.9788577444266571,0.9794093217837375,0.0005515773570804461,0.05634908240967328
RAM,validation69,R325_native,R350_epoch29,overall_iou,up,0.9591005183070165,0.9601360861101293,0.001035567803112869,0.10797281237433078
RAM,validation69,R325_native,R350_epoch29,overall_nsd_2px,up,0.8872615864685836,0.892634741427718,0.005373154959134485,0.605588593158906
RAM,validation69,R325_native,R350_epoch29,overall_msd_px,down,1.1692853896336834,1.0793616970601896,-0.08992369257349386,7.690482868486484
RAM,validation69,R325_native,R350_epoch29,overall_ravd,down,0.02026307045041241,0.020029111127607566,-0.00023395932280484422,1.1546094328467504
RAM,validation69,R325_native,R350_epoch29,overlap_dsc,up,0.8737309196313807,0.877764717434274,0.0040337978028932575,0.4616750663459502
RAM,validation69,R325_native,R350_epoch29,overlap_iou,up,0.7773445485080297,0.783591186377279,0.006246637869249283,0.8035867597243151
RAM,validation69,R325_native,R350_epoch29,overlap_nsd_2px,up,0.7803977023041856,0.7884740257906417,0.00807632348645615,1.034898419435394
RAM,validation69,R325_native,R350_epoch29,overlap_msd_px,down,1.9463779703847481,1.8089606625611279,-0.13741730782362027,7.060155320009939
RAM,validation69,R325_native,R350_epoch29,overlap_ravd,down,0.05105809505782287,0.05095113592808928,-0.00010695912973358868,0.20948515531662185
RAM,validation69,R325_native,R350_epoch29,pair_dsc,up,0.8336301534661839,0.8369592013823759,0.0033290479161920405,0.399343510110576
RAM,validation69,R325_native,R350_epoch29,pair_iou,up,0.7388246535146219,0.7448368327870316,0.006012179272409712,0.8137491411269923
RAM,validation69,R325_native,R350_epoch29,pair_nsd_2px,up,0.7828341446395287,0.7891073927813813,0.006273248141852594,0.8013508589027161
RAM,validation69,R325_native,R350_epoch29,pair_msd_px,down,1.7424218935936666,1.654357885556156,-0.08806400803751058,5.054115100441176
RAM,validation69,R325_native,R350_epoch29,pair_ravd,down,0.6661879887701326,0.6524432309476044,-0.013744757822528264,2.0631950822023715
RAM,validation69,R325_native,R350_epoch29,pair_msd_fail_rate,down,0.00199203187250996,0.00199203187250996,0.0,-0.0
RAM,validation69,R332_anchor,R350_epoch29,overall_dsc,up,0.9793887278762697,0.9794093217837375,2.059390746778078e-05,0.0021027307014689772
RAM,validation69,R332_anchor,R350_epoch29,overall_iou,up,0.9601000060271913,0.9601360861101293,3.6080082938094726e-05,0.0037579504959479077
RAM,validation69,R332_anchor,R350_epoch29,overall_nsd_2px,up,0.8926001862903746,0.892634741427718,3.4555137343406095e-05,0.003871289506113194
RAM,validation69,R332_anchor,R350_epoch29,overall_msd_px,down,1.083031717685968,1.0793616970601896,-0.0036700206257784806,0.3388654797312803
RAM,validation69,R332_anchor,R350_epoch29,overall_ravd,down,0.020048841741321183,0.020029111127607566,-1.9730613713617173e-05,0.09841273609812515
RAM,validation69,R332_anchor,R350_epoch29,overlap_dsc,up,0.8770053422932838,0.877764717434274,0.0007593751409902261,0.08658728794108983
RAM,validation69,R332_anchor,R350_epoch29,overlap_iou,up,0.7823914252083409,0.783591186377279,0.0011997611689380516,0.15334538829059513
RAM,validation69,R332_anchor,R350_epoch29,overlap_nsd_2px,up,0.7876488477653405,0.7884740257906417,0.0008251780253012431,0.10476470925367028
RAM,validation69,R332_anchor,R350_epoch29,overlap_msd_px,down,1.8189993198975911,1.8089606625611279,-0.010038657336463253,0.5518780148322664
RAM,validation69,R332_anchor,R350_epoch29,overlap_ravd,down,0.05386668727019946,0.05095113592808928,-0.002915551342110183,5.41253136188894
RAM,validation69,R332_anchor,R350_epoch29,pair_dsc,up,0.8355764266398339,0.8369592013823759,0.0013827747425420034,0.16548752435521177
RAM,validation69,R332_anchor,R350_epoch29,pair_iou,up,0.7433706468513726,0.7448368327870316,0.001466185935659059,0.19723484399999505
RAM,validation69,R332_anchor,R350_epoch29,pair_nsd_2px,up,0.7875246466373967,0.7891073927813813,0.0015827461439845703,0.2009773472795602
RAM,validation69,R332_anchor,R350_epoch29,pair_msd_px,down,1.6631362433668286,1.654357885556156,-0.008778357810672599,0.5278195244486898
RAM,validation69,R332_anchor,R350_epoch29,pair_ravd,down,0.6408184433996473,0.6524432309476044,0.011624787547957038,-1.8140532108104797
RAM,validation69,R332_anchor,R350_epoch29,pair_msd_fail_rate,down,0.00199203187250996,0.00199203187250996,0.0,-0.0
